--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Luca/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0002, Std=2.4537, Min=-7.7765, Max=12.4558, RMS=2.4537
  Col 1: Mean=0.0018, Std=2.7076, Min=-10.2318, Max=9.9103, RMS=2.7076
  Col 2: Mean=0.0097, Std=4.1350, Min=-6.9550, Max=11.8890, RMS=4.1350
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0011, Std=1.9955, Min=-3.9026, Max=6.2210, RMS=1.9955
  Col 13: Mean=0.0125, Std=1.6912, Min=-5.1064, Max=6.6991, RMS=1.6912
  Col 14: Mean=0.0007, Std=4.2121, Min=-9.5535, Max=9.4723, RMS=4.2121
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0042, Std=1.6100, Min=-5.7352, Max=5.4392, RMS=1.6100
