--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Ludovica/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0158, Std=1.2753, Min=-3.5257, Max=4.9178, RMS=1.2754
  Col 1: Mean=-0.0062, Std=1.4157, Min=-4.0757, Max=5.3930, RMS=1.4157
  Col 2: Mean=0.0190, Std=2.0129, Min=-4.5706, Max=6.6650, RMS=2.0130
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0159, Std=0.7530, Min=-1.8811, Max=2.5729, RMS=0.7532
  Col 13: Mean=0.0030, Std=0.9598, Min=-2.8612, Max=2.3289, RMS=0.9598
  Col 14: Mean=0.0160, Std=1.6596, Min=-3.8215, Max=6.3050, RMS=1.6596
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0143, Std=0.6305, Min=-1.5453, Max=1.6605, RMS=0.6307
  Col 19: Mean=0.0029, Std=0.8117, Min=-2.5330, Max=2.3938, RMS=0.8117
