--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Ludovica/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0053, Std=1.2928, Min=-3.2111, Max=4.9312, RMS=1.2928
  Col 1: Mean=0.0017, Std=1.3734, Min=-4.9843, Max=3.1399, RMS=1.3734
  Col 2: Mean=0.0193, Std=1.8576, Min=-4.0657, Max=6.4404, RMS=1.8577
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0077, Std=0.7551, Min=-1.7580, Max=2.9787, RMS=0.7552
  Col 13: Mean=0.0107, Std=1.0207, Min=-3.3487, Max=2.3702, RMS=1.0208
  Col 14: Mean=0.0143, Std=1.5861, Min=-3.5068, Max=5.8958, RMS=1.5862
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0149, Std=0.6466, Min=-1.3349, Max=2.4487, RMS=0.6468
  Col 19: Mean=0.0019, Std=0.8538, Min=-2.4830, Max=2.1673, RMS=0.8538
  Col 20: Mean=0.0096, Std=1.8600, Min=-4.1514, Max=10.8316, RMS=1.8600
  Col 21: Mean=-0.0152, Std=0.7395, Min=-2.2225, Max=3.3915, RMS=0.7397
  Col 22: Mean=0.0014, Std=1.1709, Min=-3.4136, Max=2.7897, RMS=1.1709
  Col 23: Mean=0.0159, Std=1.7915, Min=-4.4325, Max=8.7144, RMS=1.7916
  Col 24: Mean=-0.0091, Std=1.0686, Min=-3.0885, Max=4.3623, RMS=1.0686
  Col 25: Mean=0.0112, Std=1.3405, Min=-3.8927, Max=3.0986, RMS=1.3405
  Col 26: Mean=0.0128, Std=1.8117, Min=-4.1000, Max=6.4118, RMS=1.8117
  Col 27: Mean=-0.0527, Std=1.0468, Min=-3.3978, Max=2.5010, RMS=1.0481
  Col 28: Mean=0.0348, Std=1.3656, Min=-4.2884, Max=4.7375, RMS=1.3660
  Col 29: Mean=0.0198, Std=1.9593, Min=-4.4167, Max=6.0969, RMS=1.9594
  Col 30: Mean=-0.0893, Std=1.3828, Min=-4.5253, Max=3.2597, RMS=1.3857
  Col 31: Mean=0.0585, Std=1.7921, Min=-4.3936, Max=5.3909, RMS=1.7930
  Col 32: Mean=0.0177, Std=2.1030, Min=-4.4844, Max=5.7421, RMS=2.1031
  Col 33: Mean=-0.0226, Std=0.8828, Min=-3.2450, Max=3.1422, RMS=0.8831
  Col 34: Mean=0.0094, Std=1.0089, Min=-3.3568, Max=2.6728, RMS=1.0090
  Col 35: Mean=0.0139, Std=1.6993, Min=-4.2147, Max=7.4844, RMS=1.6993
  Col 36: Mean=-0.0233, Std=1.0128, Min=-3.3641, Max=2.7351, RMS=1.0131
  Col 37: Mean=0.0132, Std=1.3713, Min=-4.9213, Max=3.9554, RMS=1.3714
  Col 38: Mean=0.0011, Std=1.6522, Min=-4.4231, Max=7.2007, RMS=1.6522
  Col 39: Mean=-0.0022, Std=1.4534, Min=-3.8641, Max=2.9252, RMS=1.4534
  Col 40: Mean=-0.0109, Std=2.6202, Min=-6.2316, Max=5.9416, RMS=2.6202
  Col 41: Mean=-0.0063, Std=1.7584, Min=-3.5317, Max=5.5719, RMS=1.7584
  Col 42: Mean=0.0030, Std=2.0993, Min=-5.4611, Max=3.5664, RMS=2.0993
  Col 43: Mean=-0.0554, Std=3.3470, Min=-9.3385, Max=8.9162, RMS=3.3474
  Col 44: Mean=-0.0247, Std=2.2063, Min=-4.7743, Max=7.2051, RMS=2.2064
  Col 45: Mean=0.0072, Std=2.0566, Min=-5.1017, Max=9.8746, RMS=2.0567
  Col 46: Mean=-0.0158, Std=4.3448, Min=-12.5850, Max=13.2574, RMS=4.3448
  Col 47: Mean=0.0078, Std=3.8213, Min=-10.1172, Max=16.3729, RMS=3.8213
  Col 48: Mean=-0.0092, Std=3.3677, Min=-12.4455, Max=13.7439, RMS=3.3677
  Col 49: Mean=0.0251, Std=4.3236, Min=-14.7548, Max=20.4597, RMS=4.3237
  Col 50: Mean=-0.0652, Std=3.2239, Min=-7.9890, Max=17.4101, RMS=3.2245
  Col 51: Mean=-0.0027, Std=4.5904, Min=-18.6218, Max=15.3216, RMS=4.5904
  Col 52: Mean=0.0105, Std=7.6885, Min=-25.4623, Max=35.1966, RMS=7.6885
  Col 53: Mean=-0.1042, Std=6.3156, Min=-29.5729, Max=26.4984, RMS=6.3165
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0072, Std=2.5956, Min=-9.9493, Max=6.7551, RMS=2.5956
  Col 58: Mean=0.0089, Std=2.7483, Min=-9.8990, Max=7.7654, RMS=2.7483
  Col 59: Mean=-0.0058, Std=3.6359, Min=-13.4914, Max=11.9429, RMS=3.6359
  Col 60: Mean=-0.0117, Std=3.5283, Min=-18.5662, Max=9.5317, RMS=3.5283
  Col 61: Mean=0.0484, Std=3.8740, Min=-10.4526, Max=13.6577, RMS=3.8743
  Col 62: Mean=-0.0717, Std=2.8371, Min=-8.3019, Max=13.0431, RMS=2.8380
  Col 63: Mean=-0.0337, Std=5.3221, Min=-17.6539, Max=21.1127, RMS=5.3222
  Col 64: Mean=0.0133, Std=7.0371, Min=-26.2132, Max=25.1206, RMS=7.0371
  Col 65: Mean=-0.1223, Std=5.9611, Min=-25.7348, Max=27.1613, RMS=5.9624
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-1.1619, Std=7.6911, Min=-15.0373, Max=16.4143, RMS=7.7783
  Col 1: Mean=-69.0307, Std=3.0564, Min=-75.0920, Max=-63.4598, RMS=69.0983
  Col 2: Mean=126.0193, Std=7.7917, Min=107.2107, Max=140.5693, RMS=126.2599
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-10.8891, Std=2.9445, Min=-18.7988, Max=-5.4516, RMS=11.2802
  Col 13: Mean=-65.4374, Std=4.1887, Min=-75.3755, Max=-57.2229, RMS=65.5713
  Col 14: Mean=-48.7432, Std=5.0026, Min=-58.1756, Max=-37.4677, RMS=48.9992
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
