--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Ludovica/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0052, Std=0.9837, Min=-3.7314, Max=3.5245, RMS=0.9837
  Col 1: Mean=0.0038, Std=1.4320, Min=-4.5836, Max=4.2502, RMS=1.4320
  Col 2: Mean=0.0036, Std=1.8364, Min=-4.0176, Max=6.2284, RMS=1.8364
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0007, Std=0.7348, Min=-2.4870, Max=2.2277, RMS=0.7348
  Col 13: Mean=-0.0039, Std=1.0998, Min=-3.0234, Max=3.3006, RMS=1.0998
  Col 14: Mean=-0.0073, Std=1.6204, Min=-3.7064, Max=5.8832, RMS=1.6204
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0171, Std=0.6144, Min=-1.8133, Max=1.5831, RMS=0.6147
  Col 19: Mean=0.0045, Std=0.8425, Min=-1.7673, Max=2.4802, RMS=0.8425
  Col 20: Mean=-0.0090, Std=1.5960, Min=-3.3176, Max=6.0175, RMS=1.5960
  Col 21: Mean=0.0076, Std=0.7923, Min=-2.5276, Max=2.4227, RMS=0.7923
  Col 22: Mean=0.0039, Std=1.1370, Min=-3.1328, Max=3.3713, RMS=1.1370
  Col 23: Mean=-0.0048, Std=1.5717, Min=-3.4373, Max=7.0899, RMS=1.5717
  Col 24: Mean=0.0015, Std=0.8267, Min=-2.8183, Max=2.3072, RMS=0.8267
  Col 25: Mean=0.0033, Std=1.1966, Min=-2.6849, Max=3.2883, RMS=1.1966
  Col 26: Mean=-0.0094, Std=1.7829, Min=-3.7370, Max=5.9718, RMS=1.7829
  Col 27: Mean=-0.0026, Std=0.9195, Min=-3.1841, Max=3.7315, RMS=0.9195
  Col 28: Mean=-0.0094, Std=1.2086, Min=-3.8532, Max=3.1024, RMS=1.2086
  Col 29: Mean=-0.0108, Std=1.6766, Min=-3.4659, Max=6.2716, RMS=1.6766
  Col 30: Mean=-0.0038, Std=0.9641, Min=-3.3002, Max=2.7833, RMS=0.9641
  Col 31: Mean=-0.0109, Std=1.4299, Min=-5.1142, Max=3.0676, RMS=1.4299
  Col 32: Mean=-0.0074, Std=1.6477, Min=-3.3508, Max=5.8332, RMS=1.6477
  Col 33: Mean=0.0099, Std=0.9441, Min=-2.9612, Max=3.0727, RMS=0.9442
  Col 34: Mean=-0.0013, Std=1.1387, Min=-3.4077, Max=3.8010, RMS=1.1387
  Col 35: Mean=-0.0269, Std=1.5604, Min=-9.8127, Max=5.0220, RMS=1.5606
  Col 36: Mean=0.0191, Std=1.0416, Min=-3.2050, Max=3.3188, RMS=1.0418
  Col 37: Mean=-0.0088, Std=1.3818, Min=-4.2117, Max=4.5621, RMS=1.3818
  Col 38: Mean=-0.1879, Std=1.9445, Min=-9.1461, Max=5.1902, RMS=1.9536
  Col 39: Mean=-0.0074, Std=1.4829, Min=-3.6062, Max=5.9414, RMS=1.4829
  Col 40: Mean=0.0353, Std=2.1332, Min=-6.7643, Max=6.3902, RMS=2.1335
  Col 41: Mean=-0.3615, Std=2.3156, Min=-8.8602, Max=5.9796, RMS=2.3436
  Col 42: Mean=-0.0077, Std=1.9136, Min=-4.5988, Max=6.8921, RMS=1.9136
  Col 43: Mean=-0.0271, Std=2.6139, Min=-8.9764, Max=7.3197, RMS=2.6140
  Col 44: Mean=-0.0155, Std=1.9362, Min=-5.4652, Max=7.1751, RMS=1.9363
  Col 45: Mean=-0.0001, Std=2.1265, Min=-7.5795, Max=6.8943, RMS=2.1265
  Col 46: Mean=0.0366, Std=3.4908, Min=-11.2092, Max=8.6653, RMS=3.4910
  Col 47: Mean=-0.0081, Std=2.9260, Min=-7.9611, Max=13.9880, RMS=2.9260
  Col 48: Mean=0.0041, Std=2.9991, Min=-10.3811, Max=10.5831, RMS=2.9991
  Col 49: Mean=-0.0046, Std=3.5403, Min=-13.2391, Max=8.3369, RMS=3.5403
  Col 50: Mean=-0.0660, Std=2.4051, Min=-8.1129, Max=14.1500, RMS=2.4060
