--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Ludovica/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0041, Std=1.1780, Min=-3.9443, Max=5.0671, RMS=1.1780
  Col 1: Mean=-0.0167, Std=1.4881, Min=-4.6615, Max=3.7300, RMS=1.4882
  Col 2: Mean=0.0018, Std=1.9953, Min=-4.3134, Max=7.0862, RMS=1.9953
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0041, Std=0.7653, Min=-2.9257, Max=1.9984, RMS=0.7653
  Col 13: Mean=-0.0248, Std=1.1212, Min=-3.2487, Max=3.1261, RMS=1.1215
  Col 14: Mean=-0.0118, Std=1.8149, Min=-3.5438, Max=6.1302, RMS=1.8149
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0217, Std=0.6605, Min=-2.2597, Max=1.7044, RMS=0.6609
  Col 19: Mean=-0.0223, Std=0.8578, Min=-2.1278, Max=1.9391, RMS=0.8581
  Col 20: Mean=-0.0110, Std=1.7322, Min=-3.7758, Max=6.6301, RMS=1.7323
  Col 21: Mean=0.0012, Std=0.7524, Min=-2.4086, Max=2.6925, RMS=0.7524
  Col 22: Mean=-0.0290, Std=1.1870, Min=-3.1141, Max=3.4470, RMS=1.1874
  Col 23: Mean=-0.0028, Std=1.7060, Min=-3.3493, Max=7.6450, RMS=1.7060
  Col 24: Mean=0.0002, Std=0.8934, Min=-3.5341, Max=2.5810, RMS=0.8934
  Col 25: Mean=-0.0388, Std=1.3059, Min=-3.2740, Max=3.5155, RMS=1.3064
  Col 26: Mean=0.0013, Std=1.8551, Min=-3.5041, Max=5.5660, RMS=1.8551
  Col 27: Mean=-0.0338, Std=1.1034, Min=-4.1955, Max=2.5615, RMS=1.1040
  Col 28: Mean=-0.0398, Std=1.3269, Min=-4.0942, Max=4.0404, RMS=1.3275
  Col 29: Mean=-0.0012, Std=1.7700, Min=-3.9693, Max=5.5278, RMS=1.7700
  Col 30: Mean=-0.0392, Std=1.3479, Min=-4.5221, Max=2.6122, RMS=1.3485
  Col 31: Mean=-0.0435, Std=1.5041, Min=-3.6153, Max=4.1610, RMS=1.5047
  Col 32: Mean=0.0079, Std=1.8664, Min=-3.3397, Max=6.5581, RMS=1.8665
  Col 33: Mean=-0.0056, Std=0.8965, Min=-2.8676, Max=2.8776, RMS=0.8965
  Col 34: Mean=-0.0274, Std=1.1211, Min=-2.8932, Max=3.7908, RMS=1.1215
  Col 35: Mean=-0.0117, Std=1.6782, Min=-3.4674, Max=6.1826, RMS=1.6783
  Col 36: Mean=0.0082, Std=1.0657, Min=-2.9784, Max=3.4877, RMS=1.0658
  Col 37: Mean=-0.0161, Std=1.3487, Min=-3.8696, Max=5.1442, RMS=1.3488
  Col 38: Mean=-0.2274, Std=2.1561, Min=-9.0448, Max=5.1782, RMS=2.1680
  Col 39: Mean=-0.0216, Std=1.6224, Min=-3.9611, Max=4.3522, RMS=1.6226
  Col 40: Mean=0.1828, Std=2.4393, Min=-6.3323, Max=7.7396, RMS=2.4462
  Col 41: Mean=-0.4692, Std=2.4756, Min=-8.9917, Max=5.2277, RMS=2.5196
  Col 42: Mean=-0.0137, Std=2.3051, Min=-4.1798, Max=6.7020, RMS=2.3052
  Col 43: Mean=0.1283, Std=3.3076, Min=-10.7897, Max=9.4549, RMS=3.3101
  Col 44: Mean=-0.0480, Std=1.8363, Min=-3.2347, Max=4.8618, RMS=1.8369
  Col 45: Mean=0.0016, Std=2.5528, Min=-10.4461, Max=8.4040, RMS=2.5528
  Col 46: Mean=-0.0050, Std=3.8106, Min=-11.8792, Max=9.6576, RMS=3.8106
  Col 47: Mean=0.0015, Std=3.1262, Min=-6.9783, Max=10.3979, RMS=3.1262
  Col 48: Mean=0.0199, Std=3.2449, Min=-8.5738, Max=9.5125, RMS=3.2449
  Col 49: Mean=-0.0558, Std=3.8850, Min=-14.6527, Max=7.9136, RMS=3.8854
  Col 50: Mean=-0.0919, Std=2.6414, Min=-8.5606, Max=10.8080, RMS=2.6430
  Col 51: Mean=0.0261, Std=5.0326, Min=-19.7543, Max=21.3772, RMS=5.0327
  Col 52: Mean=-0.0718, Std=7.2920, Min=-27.9677, Max=23.1547, RMS=7.2923
  Col 53: Mean=-0.1381, Std=4.8089, Min=-18.3268, Max=15.7756, RMS=4.8109
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0440, Std=2.5103, Min=-5.5297, Max=8.2756, RMS=2.5107
  Col 58: Mean=-0.0262, Std=2.6279, Min=-8.0956, Max=7.1581, RMS=2.6280
  Col 59: Mean=0.0067, Std=2.7774, Min=-8.2777, Max=10.4576, RMS=2.7774
  Col 60: Mean=0.0201, Std=3.3227, Min=-7.6485, Max=10.2758, RMS=3.3228
  Col 61: Mean=-0.0545, Std=3.8107, Min=-12.9566, Max=8.9624, RMS=3.8110
  Col 62: Mean=-0.1052, Std=2.6668, Min=-9.0211, Max=10.3829, RMS=2.6689
  Col 63: Mean=0.0461, Std=5.4834, Min=-15.9511, Max=19.4328, RMS=5.4836
  Col 64: Mean=-0.0177, Std=7.7512, Min=-28.6329, Max=28.3648, RMS=7.7512
  Col 65: Mean=-0.1495, Std=4.6238, Min=-22.7931, Max=15.6367, RMS=4.6263
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-4.2964, Std=5.2185, Min=-14.8691, Max=6.6069, RMS=6.7596
