--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Ludovica/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0055, Std=1.3448, Min=-4.1901, Max=4.9948, RMS=1.3448
  Col 1: Mean=0.0076, Std=1.2094, Min=-6.0240, Max=4.6552, RMS=1.2094
  Col 2: Mean=-0.0019, Std=2.9496, Min=-5.5622, Max=12.7176, RMS=2.9496
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0044, Std=0.6303, Min=-1.5532, Max=2.2268, RMS=0.6304
  Col 13: Mean=-0.0068, Std=0.6907, Min=-1.3855, Max=3.4494, RMS=0.6908
  Col 14: Mean=0.0032, Std=2.5240, Min=-4.0458, Max=9.7644, RMS=2.5240
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0004, Std=0.5413, Min=-1.6472, Max=1.4494, RMS=0.5413
  Col 19: Mean=-0.0005, Std=0.5789, Min=-1.7323, Max=2.2498, RMS=0.5789
  Col 20: Mean=0.0045, Std=2.7859, Min=-4.3378, Max=15.0489, RMS=2.7860
  Col 21: Mean=-0.0035, Std=0.8324, Min=-2.3214, Max=3.1824, RMS=0.8324
  Col 22: Mean=-0.0101, Std=0.6904, Min=-2.2839, Max=2.8347, RMS=0.6905
  Col 23: Mean=0.0028, Std=2.7499, Min=-4.5022, Max=10.8659, RMS=2.7499
  Col 24: Mean=-0.0055, Std=1.1664, Min=-3.0937, Max=3.7918, RMS=1.1664
  Col 25: Mean=-0.0012, Std=1.0999, Min=-2.5222, Max=5.3128, RMS=1.0999
  Col 26: Mean=-0.0033, Std=2.6983, Min=-4.6918, Max=9.3444, RMS=2.6983
  Col 27: Mean=-0.0027, Std=1.0530, Min=-4.0437, Max=3.4194, RMS=1.0530
  Col 28: Mean=-0.0172, Std=0.8926, Min=-4.5886, Max=5.7240, RMS=0.8927
  Col 29: Mean=-0.0048, Std=2.6522, Min=-5.1485, Max=8.9626, RMS=2.6522
  Col 30: Mean=0.0008, Std=1.2554, Min=-3.3836, Max=5.3573, RMS=1.2554
  Col 31: Mean=-0.0361, Std=1.1860, Min=-4.1140, Max=4.9537, RMS=1.1866
  Col 32: Mean=-0.0149, Std=2.6054, Min=-5.0669, Max=9.2753, RMS=2.6055
  Col 33: Mean=-0.0038, Std=0.6331, Min=-1.7958, Max=2.6041, RMS=0.6331
  Col 34: Mean=-0.0106, Std=0.9561, Min=-2.2060, Max=4.8719, RMS=0.9561
  Col 35: Mean=0.0029, Std=2.7353, Min=-4.1706, Max=8.9955, RMS=2.7353
