--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Ludovica/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0003, Std=1.1045, Min=-3.3119, Max=2.5606, RMS=1.1045
  Col 1: Mean=-0.0034, Std=0.9031, Min=-2.7485, Max=2.4446, RMS=0.9031
  Col 2: Mean=0.0013, Std=1.5499, Min=-3.2061, Max=6.3290, RMS=1.5499
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0033, Std=0.9069, Min=-3.0850, Max=2.3830, RMS=0.9069
  Col 13: Mean=-0.0029, Std=0.7277, Min=-2.9119, Max=2.2476, RMS=0.7277
  Col 14: Mean=-0.0020, Std=1.6052, Min=-2.8223, Max=6.3621, RMS=1.6052
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0059, Std=0.6843, Min=-2.1855, Max=1.9084, RMS=0.6844
  Col 19: Mean=0.0024, Std=0.5884, Min=-2.2178, Max=1.5736, RMS=0.5884
  Col 20: Mean=0.0008, Std=1.5516, Min=-2.6670, Max=5.9740, RMS=1.5516
  Col 21: Mean=0.0004, Std=0.8813, Min=-3.2932, Max=2.3181, RMS=0.8813
