--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Ludovica/imu/walk/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0462, Std=1.6344, Min=-5.4575, Max=5.1504, RMS=1.6351
  Col 1: Mean=-0.0154, Std=1.1750, Min=-4.3976, Max=4.2902, RMS=1.1751
  Col 2: Mean=-0.4706, Std=3.2645, Min=-9.1999, Max=6.4002, RMS=3.2983
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0041, Std=1.1450, Min=-3.4757, Max=3.0658, RMS=1.1450
  Col 13: Mean=0.0023, Std=0.7124, Min=-1.7131, Max=2.0142, RMS=0.7124
  Col 14: Mean=0.0001, Std=2.4389, Min=-5.2810, Max=7.6749, RMS=2.4389
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0004, Std=0.5700, Min=-1.7277, Max=1.7273, RMS=0.5700
  Col 19: Mean=-0.0038, Std=0.4722, Min=-1.3046, Max=1.2540, RMS=0.4722
  Col 20: Mean=-0.0003, Std=2.3113, Min=-4.0389, Max=8.6087, RMS=2.3113
  Col 21: Mean=0.0051, Std=1.1835, Min=-3.2812, Max=3.7768, RMS=1.1835
  Col 22: Mean=-0.0039, Std=0.8230, Min=-2.7452, Max=2.6823, RMS=0.8230
  Col 23: Mean=0.0026, Std=2.2434, Min=-4.7195, Max=8.5683, RMS=2.2434
  Col 24: Mean=0.0065, Std=1.5052, Min=-3.2758, Max=5.2593, RMS=1.5053
  Col 25: Mean=0.0053, Std=0.7910, Min=-2.6196, Max=3.0275, RMS=0.7910
  Col 26: Mean=-0.0019, Std=2.4352, Min=-5.3659, Max=6.4484, RMS=2.4352
  Col 27: Mean=-0.0224, Std=2.0070, Min=-5.3190, Max=5.4113, RMS=2.0071
  Col 28: Mean=-0.0110, Std=0.7392, Min=-2.5625, Max=2.4291, RMS=0.7393
  Col 29: Mean=0.0018, Std=2.2352, Min=-4.7271, Max=5.4970, RMS=2.2352
