--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Manuel/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0002, Std=1.1955, Min=-4.6211, Max=4.5112, RMS=1.1955
  Col 1: Mean=-0.0072, Std=1.2027, Min=-4.4254, Max=4.5101, RMS=1.2027
  Col 2: Mean=0.0155, Std=1.9179, Min=-4.0584, Max=7.1358, RMS=1.9179
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0023, Std=0.7260, Min=-2.5295, Max=2.1232, RMS=0.7260
  Col 13: Mean=0.0052, Std=0.7494, Min=-2.1637, Max=1.9202, RMS=0.7494
  Col 14: Mean=0.0081, Std=1.8088, Min=-4.0459, Max=5.4114, RMS=1.8088
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0004, Std=0.6650, Min=-1.2281, Max=1.3266, RMS=0.6650
  Col 19: Mean=0.0081, Std=0.6388, Min=-1.5059, Max=1.5704, RMS=0.6388
  Col 20: Mean=0.0032, Std=1.6974, Min=-4.0767, Max=7.4651, RMS=1.6974
  Col 21: Mean=0.0027, Std=0.8122, Min=-2.1905, Max=2.1195, RMS=0.8122
  Col 22: Mean=0.0067, Std=0.8070, Min=-2.3769, Max=2.1339, RMS=0.8070
  Col 23: Mean=0.0100, Std=1.7318, Min=-4.4525, Max=5.6402, RMS=1.7318
  Col 24: Mean=-0.0017, Std=0.7988, Min=-2.8676, Max=2.0061, RMS=0.7988
  Col 25: Mean=0.0802, Std=1.4440, Min=-5.6343, Max=3.3725, RMS=1.4462
  Col 26: Mean=-0.4136, Std=2.5621, Min=-9.1072, Max=5.7087, RMS=2.5952
  Col 27: Mean=-0.0073, Std=0.7536, Min=-1.9277, Max=2.2259, RMS=0.7536
  Col 28: Mean=0.0381, Std=1.8921, Min=-5.7537, Max=4.5781, RMS=1.8925
  Col 29: Mean=0.0059, Std=1.7851, Min=-3.7801, Max=5.2157, RMS=1.7851
  Col 30: Mean=-0.0138, Std=0.8591, Min=-2.4689, Max=2.1426, RMS=0.8592
  Col 31: Mean=0.0629, Std=2.2803, Min=-7.5314, Max=5.8337, RMS=2.2812
  Col 32: Mean=0.0028, Std=1.7764, Min=-3.5280, Max=4.9877, RMS=1.7764
  Col 33: Mean=0.0021, Std=0.8278, Min=-2.2207, Max=2.2577, RMS=0.8278
  Col 34: Mean=0.0062, Std=0.8077, Min=-2.8024, Max=2.7362, RMS=0.8077
  Col 35: Mean=0.0107, Std=1.8023, Min=-4.4405, Max=5.3716, RMS=1.8023
  Col 36: Mean=-0.0025, Std=0.7906, Min=-3.6837, Max=2.9021, RMS=0.7906
