--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Manuel/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0000, Std=1.2754, Min=-7.1337, Max=3.9421, RMS=1.2754
  Col 1: Mean=-0.0088, Std=1.3327, Min=-5.0024, Max=3.9854, RMS=1.3327
  Col 2: Mean=0.0129, Std=2.0955, Min=-3.6337, Max=10.1677, RMS=2.0955
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0066, Std=0.7863, Min=-2.9542, Max=1.7495, RMS=0.7863
  Col 13: Mean=0.0011, Std=0.9636, Min=-2.5494, Max=2.2019, RMS=0.9636
  Col 14: Mean=0.0055, Std=1.8788, Min=-3.7842, Max=6.8499, RMS=1.8788
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0038, Std=0.6209, Min=-1.6179, Max=1.3528, RMS=0.6209
  Col 19: Mean=0.0034, Std=0.8648, Min=-2.4693, Max=2.0087, RMS=0.8648
  Col 20: Mean=0.0036, Std=1.7821, Min=-3.6268, Max=6.8883, RMS=1.7821
  Col 21: Mean=0.0039, Std=0.7994, Min=-2.2607, Max=1.8137, RMS=0.7994
  Col 22: Mean=-0.0001, Std=0.9880, Min=-3.6675, Max=2.1901, RMS=0.9880
  Col 23: Mean=0.0055, Std=1.9003, Min=-3.8407, Max=5.5468, RMS=1.9003
  Col 24: Mean=0.0137, Std=0.7195, Min=-2.2339, Max=1.8597, RMS=0.7196
  Col 25: Mean=0.0693, Std=1.5582, Min=-6.9316, Max=3.9390, RMS=1.5598
  Col 26: Mean=-0.7599, Std=3.1005, Min=-9.1611, Max=6.4925, RMS=3.1923
  Col 27: Mean=0.0012, Std=0.7579, Min=-2.4434, Max=2.2576, RMS=0.7579
  Col 28: Mean=-0.0401, Std=1.7885, Min=-4.8525, Max=4.0715, RMS=1.7889
  Col 29: Mean=-0.1897, Std=2.1960, Min=-8.8181, Max=6.6655, RMS=2.2042
  Col 30: Mean=0.0056, Std=0.8205, Min=-2.8154, Max=2.7053, RMS=0.8206
  Col 31: Mean=0.0172, Std=2.1661, Min=-6.8175, Max=5.3642, RMS=2.1662
  Col 32: Mean=0.0015, Std=1.9459, Min=-3.6934, Max=6.2018, RMS=1.9459
  Col 33: Mean=0.0035, Std=0.8212, Min=-3.1182, Max=2.1005, RMS=0.8212
  Col 34: Mean=0.0011, Std=1.0156, Min=-2.8029, Max=2.7852, RMS=1.0156
  Col 35: Mean=0.0070, Std=1.9136, Min=-3.9017, Max=6.0635, RMS=1.9136
  Col 36: Mean=-0.0037, Std=0.8506, Min=-3.6327, Max=2.8688, RMS=0.8506
  Col 37: Mean=0.0034, Std=1.4830, Min=-5.5470, Max=3.5701, RMS=1.4831
  Col 38: Mean=0.0004, Std=1.9728, Min=-4.1051, Max=6.9624, RMS=1.9728
  Col 39: Mean=0.0019, Std=0.8984, Min=-3.5642, Max=2.2836, RMS=0.8984
  Col 40: Mean=0.0026, Std=1.9631, Min=-5.3734, Max=4.0376, RMS=1.9631
  Col 41: Mean=-0.0012, Std=2.0271, Min=-3.9760, Max=7.9352, RMS=2.0271
  Col 42: Mean=0.0043, Std=1.1729, Min=-4.2508, Max=3.5664, RMS=1.1729
  Col 43: Mean=0.0032, Std=2.3041, Min=-6.6126, Max=5.0100, RMS=2.3041
  Col 44: Mean=-0.0071, Std=2.0593, Min=-3.6731, Max=7.0694, RMS=2.0593
  Col 45: Mean=-0.0210, Std=2.1376, Min=-13.8208, Max=10.0929, RMS=2.1377
  Col 46: Mean=-0.0031, Std=3.4209, Min=-15.0278, Max=18.6865, RMS=3.4209
  Col 47: Mean=-0.0033, Std=4.1627, Min=-14.4179, Max=24.4482, RMS=4.1627
  Col 48: Mean=0.0049, Std=2.2379, Min=-9.7574, Max=8.8243, RMS=2.2379
  Col 49: Mean=0.0277, Std=4.1008, Min=-12.6280, Max=13.1858, RMS=4.1009
  Col 50: Mean=-0.0683, Std=3.4235, Min=-13.3960, Max=28.4153, RMS=3.4242
  Col 51: Mean=0.0375, Std=3.5574, Min=-21.5342, Max=17.5704, RMS=3.5576
  Col 52: Mean=0.0255, Std=7.9055, Min=-32.3973, Max=36.0023, RMS=7.9056
  Col 53: Mean=-0.1082, Std=5.5279, Min=-29.7264, Max=15.4804, RMS=5.5290
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0071, Std=1.7417, Min=-7.3035, Max=9.1829, RMS=1.7417
