--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Manuel/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0030, Std=1.1765, Min=-5.3860, Max=4.1936, RMS=1.1765
  Col 1: Mean=-0.0005, Std=1.3785, Min=-4.1737, Max=3.5595, RMS=1.3785
  Col 2: Mean=0.0060, Std=1.8071, Min=-3.3827, Max=6.4886, RMS=1.8071
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0039, Std=0.8041, Min=-2.2651, Max=2.6343, RMS=0.8042
  Col 13: Mean=-0.0042, Std=1.1396, Min=-2.3916, Max=3.8513, RMS=1.1396
  Col 14: Mean=-0.0091, Std=1.9290, Min=-3.8701, Max=5.5016, RMS=1.9291
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0051, Std=0.6835, Min=-1.6128, Max=1.8075, RMS=0.6835
