--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Manuel/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0017, Std=1.0123, Min=-4.7197, Max=3.9718, RMS=1.0123
  Col 1: Mean=0.0053, Std=1.3266, Min=-4.2714, Max=4.2010, RMS=1.3266
  Col 2: Mean=0.0033, Std=1.9816, Min=-3.5177, Max=7.9936, RMS=1.9816
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0044, Std=0.7890, Min=-2.2927, Max=2.8842, RMS=0.7891
  Col 13: Mean=0.0013, Std=1.1268, Min=-2.7074, Max=3.7788, RMS=1.1268
  Col 14: Mean=-0.0090, Std=2.0757, Min=-4.4938, Max=5.9557, RMS=2.0757
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0032, Std=0.7446, Min=-2.0779, Max=2.3971, RMS=0.7446
  Col 19: Mean=0.0003, Std=0.8680, Min=-1.8607, Max=2.1143, RMS=0.8680
  Col 20: Mean=-0.0110, Std=1.9570, Min=-3.6952, Max=6.4338, RMS=1.9570
  Col 21: Mean=-0.0131, Std=0.8566, Min=-2.3240, Max=2.1688, RMS=0.8567
  Col 22: Mean=-0.0109, Std=1.1365, Min=-3.0077, Max=3.9737, RMS=1.1366
  Col 23: Mean=-0.1817, Std=2.2572, Min=-8.7880, Max=7.7038, RMS=2.2645
  Col 24: Mean=-0.0086, Std=0.7509, Min=-1.9527, Max=2.1497, RMS=0.7509
  Col 25: Mean=0.0002, Std=1.4043, Min=-3.3722, Max=6.9338, RMS=1.4043
  Col 26: Mean=-0.0129, Std=2.0323, Min=-4.0297, Max=6.1761, RMS=2.0323
  Col 27: Mean=-0.0059, Std=0.7635, Min=-2.7732, Max=1.8681, RMS=0.7636
  Col 28: Mean=-0.0152, Std=1.5005, Min=-4.1570, Max=4.1735, RMS=1.5006
  Col 29: Mean=-0.0127, Std=2.0535, Min=-3.9834, Max=6.9085, RMS=2.0535
  Col 30: Mean=-0.0019, Std=0.9703, Min=-3.0873, Max=3.1095, RMS=0.9703
  Col 31: Mean=-0.0357, Std=1.8427, Min=-5.9264, Max=5.0129, RMS=1.8431
  Col 32: Mean=-0.0098, Std=1.9761, Min=-4.0058, Max=6.4648, RMS=1.9761
  Col 33: Mean=-0.0046, Std=0.8309, Min=-2.8617, Max=2.1055, RMS=0.8310
  Col 34: Mean=0.0014, Std=1.1422, Min=-2.6168, Max=3.4987, RMS=1.1422
  Col 35: Mean=-0.0104, Std=1.9888, Min=-3.4544, Max=7.4484, RMS=1.9888
  Col 36: Mean=0.0027, Std=0.8383, Min=-3.4262, Max=3.6831, RMS=0.8384
  Col 37: Mean=0.0009, Std=1.4202, Min=-4.1489, Max=4.0005, RMS=1.4202
  Col 38: Mean=-0.0142, Std=2.0685, Min=-3.9302, Max=6.4477, RMS=2.0686
  Col 39: Mean=-0.0078, Std=0.8309, Min=-1.9167, Max=2.4433, RMS=0.8310
  Col 40: Mean=-0.0081, Std=2.0605, Min=-4.5993, Max=5.7793, RMS=2.0605
  Col 41: Mean=-0.0138, Std=1.9532, Min=-3.6883, Max=5.9214, RMS=1.9532
  Col 42: Mean=-0.0142, Std=1.0986, Min=-3.6730, Max=3.6956, RMS=1.0987
  Col 43: Mean=-0.0123, Std=2.3121, Min=-5.5966, Max=6.9795, RMS=2.3122
  Col 44: Mean=-0.0198, Std=1.8804, Min=-4.1402, Max=5.7415, RMS=1.8805
  Col 45: Mean=0.0128, Std=2.0343, Min=-9.1743, Max=7.7406, RMS=2.0344
  Col 46: Mean=-0.0099, Std=2.9948, Min=-11.2392, Max=13.2782, RMS=2.9948
  Col 47: Mean=0.0014, Std=3.1065, Min=-12.6006, Max=14.7042, RMS=3.1065
  Col 48: Mean=-0.0088, Std=1.9609, Min=-8.5615, Max=5.8350, RMS=1.9609
  Col 49: Mean=-0.0353, Std=3.9805, Min=-12.9057, Max=9.4698, RMS=3.9807
  Col 50: Mean=-0.0773, Std=2.8289, Min=-9.8304, Max=19.5022, RMS=2.8299
  Col 51: Mean=-0.0374, Std=3.6639, Min=-16.4989, Max=18.7464, RMS=3.6641
  Col 52: Mean=-0.0348, Std=7.8457, Min=-30.6651, Max=28.3839, RMS=7.8458
  Col 53: Mean=-0.1022, Std=5.2336, Min=-27.5599, Max=17.2374, RMS=5.2346
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0146, Std=1.7436, Min=-6.4341, Max=11.7773, RMS=1.7437
  Col 58: Mean=-0.0132, Std=3.0628, Min=-7.9714, Max=11.2159, RMS=3.0628
  Col 59: Mean=-0.0032, Std=3.2167, Min=-18.4960, Max=12.1264, RMS=3.2167
  Col 60: Mean=-0.0041, Std=1.8639, Min=-6.5270, Max=11.2270, RMS=1.8639
  Col 61: Mean=-0.0360, Std=4.0301, Min=-13.9273, Max=11.5986, RMS=4.0302
  Col 62: Mean=-0.0751, Std=2.6661, Min=-8.7287, Max=17.4550, RMS=2.6671
  Col 63: Mean=0.0125, Std=3.0285, Min=-9.7204, Max=20.5095, RMS=3.0286
  Col 64: Mean=-0.0568, Std=8.0745, Min=-39.5469, Max=27.3846, RMS=8.0747
  Col 65: Mean=-0.0947, Std=5.0140, Min=-23.0849, Max=15.8309, RMS=5.0149
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-8.8741, Std=6.7658, Min=-31.0311, Max=12.8064, RMS=11.1591
  Col 1: Mean=-69.9359, Std=2.9205, Min=-76.2143, Max=-64.4793, RMS=69.9969
  Col 2: Mean=-97.6029, Std=5.7741, Min=-113.7722, Max=-76.8903, RMS=97.7735
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=13.7914, Std=4.8075, Min=0.1837, Max=24.5045, RMS=14.6053
  Col 13: Mean=-71.4703, Std=4.3995, Min=-78.4218, Max=-65.1992, RMS=71.6056
  Col 14: Mean=57.4176, Std=5.6571, Min=46.0014, Max=68.2082, RMS=57.6956
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-88.0964, Std=1.1222, Min=-90.6223, Max=-85.5397, RMS=88.1035
  Col 19: Mean=18.7633, Std=3.5808, Min=9.4579, Max=24.3303, RMS=19.1019
  Col 20: Mean=65.7773, Std=4.6203, Min=58.3706, Max=77.0800, RMS=65.9394
  Col 21: Mean=65.7281, Std=14.8437, Min=57.5418, Max=173.5572, RMS=67.3833
  Col 22: Mean=-3.4709, Std=2.1036, Min=-5.9568, Max=1.4996, RMS=4.0586
  Col 23: Mean=160.4465, Std=53.3709, Min=-179.7921, Max=179.9859, RMS=169.0903
  Col 24: Mean=14.6617, Std=12.3702, Min=-9.9708, Max=42.7443, RMS=19.1830
  Col 25: Mean=-73.7615, Std=1.3414, Min=-76.8109, Max=-70.2169, RMS=73.7737
  Col 26: Mean=-23.4518, Std=14.9627, Min=-59.7934, Max=7.3638, RMS=27.8185
  Col 27: Mean=-11.7801, Std=16.1040, Min=-39.4190, Max=38.4849, RMS=19.9526
  Col 28: Mean=-72.6297, Std=4.1040, Min=-80.7020, Max=-60.4910, RMS=72.7455
  Col 29: Mean=30.1667, Std=20.1874, Min=-34.7835, Max=64.4104, RMS=36.2982
  Col 30: Mean=-60.6524, Std=5.6160, Min=-76.2537, Max=-46.3842, RMS=60.9118
  Col 31: Mean=6.0623, Std=4.0467, Min=-3.2758, Max=17.3844, RMS=7.2888
  Col 32: Mean=123.7855, Std=7.5173, Min=106.9905, Max=136.0915, RMS=124.0136
  Col 33: Mean=68.1240, Std=4.0010, Min=61.0855, Max=74.3033, RMS=68.2413
  Col 34: Mean=-4.5766, Std=1.7709, Min=-6.7384, Max=-0.3348, RMS=4.9072
  Col 35: Mean=161.0671, Std=5.0352, Min=154.1693, Max=174.0392, RMS=161.1457
  Col 36: Mean=-1.0597, Std=27.9793, Min=-58.4466, Max=37.1124, RMS=27.9994
  Col 37: Mean=-79.7069, Std=2.4159, Min=-84.6817, Max=-72.1209, RMS=79.7436
  Col 38: Mean=94.5004, Std=86.4975, Min=-179.0848, Max=179.3179, RMS=128.1099
  Col 39: Mean=64.2344, Std=12.8529, Min=7.6655, Max=80.8610, RMS=65.5077
  Col 40: Mean=-74.8934, Std=6.6829, Min=-86.4609, Max=-57.6707, RMS=75.1910
  Col 41: Mean=73.9378, Std=18.8448, Min=46.3261, Max=150.1467, RMS=76.3015
  Col 42: Mean=77.0980, Std=5.5687, Min=63.3903, Max=85.9421, RMS=77.2988
  Col 43: Mean=14.8448, Std=6.3596, Min=1.1326, Max=30.2065, RMS=16.1497
  Col 44: Mean=32.5607, Std=9.4868, Min=18.7974, Max=58.4330, RMS=33.9146
  Col 45: Mean=-65.3637, Std=116.1408, Min=-179.7067, Max=179.9670, RMS=133.2708
  Col 46: Mean=-74.9430, Std=7.2534, Min=-88.1141, Max=-56.1779, RMS=75.2932
  Col 47: Mean=-33.7504, Std=121.8002, Min=-177.4228, Max=179.3960, RMS=126.3898
  Col 48: Mean=-27.5510, Std=148.5933, Min=-179.9830, Max=179.8457, RMS=151.1258
  Col 49: Mean=-74.1682, Std=13.1950, Min=-87.2290, Max=-36.2069, RMS=75.3328
  Col 50: Mean=-76.3442, Std=96.5011, Min=-179.1573, Max=179.3911, RMS=123.0484
  Col 51: Mean=-8.0878, Std=19.5295, Min=-23.2385, Max=133.4214, RMS=21.1379
  Col 52: Mean=-32.4056, Std=18.8307, Min=-87.9074, Max=1.2806, RMS=37.4796
  Col 53: Mean=57.8549, Std=20.5848, Min=-89.5753, Max=68.1954, RMS=61.4078
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=78.1761, Std=117.9701, Min=-179.3812, Max=179.9507, RMS=141.5219
  Col 58: Mean=-72.0924, Std=5.5723, Min=-82.2653, Max=-55.2344, RMS=72.3075
  Col 59: Mean=-14.9384, Std=45.4978, Min=-70.3300, Max=58.9751, RMS=47.8874
  Col 60: Mean=-109.5252, Std=51.7919, Min=-153.1535, Max=18.2911, RMS=121.1535
  Col 61: Mean=-73.4213, Std=14.2264, Min=-89.0547, Max=-34.8593, RMS=74.7869
  Col 62: Mean=-81.8195, Std=96.5369, Min=-178.3582, Max=178.2227, RMS=126.5456
  Col 63: Mean=29.1476, Std=31.9745, Min=14.7787, Max=164.9174, RMS=43.2660
  Col 64: Mean=-38.0357, Std=17.2108, Min=-85.9645, Max=-2.8235, RMS=41.7484
  Col 65: Mean=63.0832, Std=30.2891, Min=-66.0124, Max=82.4536, RMS=69.9780
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.5624, Std=0.1046, Min=-0.6841, Max=-0.3665, RMS=0.5720
  Col 1: Mean=-0.4651, Std=0.1186, Min=-0.6467, Max=-0.3081, RMS=0.4799
  Col 2: Mean=0.1049, Std=0.0733, Min=-0.0337, Max=0.2327, RMS=0.1280
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.4776, Std=0.1407, Min=-0.6414, Max=-0.2295, RMS=0.4979
  Col 13: Mean=0.4484, Std=0.0922, Min=0.3120, Max=0.5825, RMS=0.4577
  Col 14: Mean=-0.3958, Std=0.1015, Min=-0.5479, Max=-0.1289, RMS=0.4086
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.2816, Std=0.1106, Min=0.0103, Max=0.4343, RMS=0.3025
  Col 19: Mean=0.3747, Std=0.1488, Min=0.1182, Max=0.5647, RMS=0.4032
  Col 20: Mean=0.5278, Std=0.0772, Min=0.3940, Max=0.6565, RMS=0.5334
  Col 21: Mean=0.5093, Std=0.0837, Min=0.3757, Max=0.6177, RMS=0.5161
  Col 22: Mean=-0.6604, Std=0.1000, Min=-0.7922, Max=-0.4626, RMS=0.6679
  Col 23: Mean=0.0040, Std=0.1251, Min=-0.1667, Max=0.2346, RMS=0.1252
  Col 24: Mean=-0.6005, Std=0.0723, Min=-0.6877, Max=-0.4775, RMS=0.6048
  Col 25: Mean=0.2221, Std=0.1336, Min=-0.0334, Max=0.4915, RMS=0.2592
  Col 26: Mean=0.3074, Std=0.1300, Min=0.1016, Max=0.6094, RMS=0.3337
  Col 27: Mean=-0.5688, Std=0.1036, Min=-0.7363, Max=-0.2827, RMS=0.5781
  Col 28: Mean=0.6347, Std=0.1577, Min=0.3423, Max=1.0437, RMS=0.6540
  Col 29: Mean=0.0445, Std=0.1215, Min=-0.1409, Max=0.4307, RMS=0.1294
  Col 30: Mean=0.7014, Std=0.1568, Min=0.4319, Max=1.1858, RMS=0.7187
  Col 31: Mean=0.5392, Std=0.1177, Min=0.1970, Max=0.7427, RMS=0.5519
  Col 32: Mean=-0.1355, Std=0.1272, Min=-0.3533, Max=0.2593, RMS=0.1858
  Col 33: Mean=0.4164, Std=0.0822, Min=0.2959, Max=0.5544, RMS=0.4244
  Col 34: Mean=-0.6376, Std=0.1248, Min=-0.7839, Max=-0.4084, RMS=0.6497
  Col 35: Mean=0.0798, Std=0.1349, Min=-0.1228, Max=0.3135, RMS=0.1567
  Col 36: Mean=-0.4767, Std=0.1708, Min=-0.6775, Max=-0.2046, RMS=0.5063
  Col 37: Mean=0.1697, Std=0.1074, Min=-0.0217, Max=0.5271, RMS=0.2009
  Col 38: Mean=-0.6252, Std=0.1187, Min=-0.8884, Max=-0.4358, RMS=0.6364
  Col 39: Mean=-0.4921, Std=0.1361, Min=-0.6729, Max=-0.2698, RMS=0.5106
  Col 40: Mean=-0.0938, Std=0.1176, Min=-0.3032, Max=0.3342, RMS=0.1505
  Col 41: Mean=-0.5370, Std=0.1213, Min=-0.8511, Max=-0.3840, RMS=0.5505
  Col 42: Mean=0.0368, Std=0.1259, Min=-0.4890, Max=0.2568, RMS=0.1311
  Col 43: Mean=-0.4837, Std=0.1463, Min=-0.6995, Max=-0.2390, RMS=0.5053
  Col 44: Mean=-0.5895, Std=0.1220, Min=-0.9380, Max=-0.3999, RMS=0.6020
  Col 45: Mean=-0.3983, Std=0.1187, Min=-0.5820, Max=-0.1958, RMS=0.4156
  Col 46: Mean=0.6870, Std=0.1399, Min=0.4060, Max=0.9121, RMS=0.7011
  Col 47: Mean=0.0320, Std=0.1937, Min=-0.4365, Max=0.3826, RMS=0.1963
  Col 48: Mean=-0.3944, Std=0.1581, Min=-0.5906, Max=-0.1204, RMS=0.4249
  Col 49: Mean=0.6081, Std=0.1785, Min=0.2800, Max=0.9023, RMS=0.6338
  Col 50: Mean=-0.0647, Std=0.1887, Min=-0.4045, Max=0.4543, RMS=0.1995
  Col 51: Mean=-0.0503, Std=0.2338, Min=-0.6404, Max=0.3521, RMS=0.2391
  Col 52: Mean=0.6130, Std=0.1074, Min=0.3518, Max=0.8022, RMS=0.6224
  Col 53: Mean=-0.2222, Std=0.2937, Min=-0.5483, Max=0.2354, RMS=0.3683
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.5496, Std=0.1268, Min=-0.7676, Max=-0.2522, RMS=0.5640
  Col 58: Mean=0.0535, Std=0.1103, Min=-0.2312, Max=0.3599, RMS=0.1226
  Col 59: Mean=-0.4852, Std=0.1659, Min=-0.8298, Max=-0.1794, RMS=0.5128
  Col 60: Mean=-0.4661, Std=0.1765, Min=-0.7014, Max=-0.0701, RMS=0.4984
  Col 61: Mean=0.2966, Std=0.1182, Min=0.0083, Max=0.5334, RMS=0.3193
  Col 62: Mean=-0.2470, Std=0.1914, Min=-0.7051, Max=0.2329, RMS=0.3125
  Col 63: Mean=-0.1743, Std=0.2471, Min=-0.8596, Max=0.1646, RMS=0.3024
  Col 64: Mean=0.3410, Std=0.1388, Min=0.0806, Max=0.5469, RMS=0.3682
  Col 65: Mean=-0.7255, Std=0.2276, Min=-1.0952, Max=-0.2400, RMS=0.7604
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Quat.csv] (Cols: 92)
  Col 0: Mean=0.5039, Std=0.0124, Min=0.4704, Max=0.5256, RMS=0.5040
  Col 1: Mean=-0.4716, Std=0.0206, Min=-0.5215, Max=-0.4389, RMS=0.4721
  Col 2: Mean=-0.3291, Std=0.0239, Min=-0.3993, Max=-0.2799, RMS=0.3300
  Col 3: Mean=-0.6434, Std=0.0166, Min=-0.6666, Max=-0.5994, RMS=0.6436
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 13: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 14: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.6721, Std=0.0315, Min=0.5999, Max=0.7170, RMS=0.6728
  Col 17: Mean=0.3641, Std=0.0268, Min=0.3281, Max=0.4357, RMS=0.3651
  Col 18: Mean=-0.4609, Std=0.0301, Min=-0.5270, Max=-0.4231, RMS=0.4619
  Col 19: Mean=0.4472, Std=0.0254, Min=0.4048, Max=0.4950, RMS=0.4479
  Col 20: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 21: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
