--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Manuel/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0044, Std=1.1792, Min=-3.1991, Max=5.2434, RMS=1.1792
  Col 1: Mean=0.0041, Std=1.1553, Min=-4.5644, Max=4.2552, RMS=1.1553
  Col 2: Mean=0.0047, Std=3.3994, Min=-6.5793, Max=12.6080, RMS=3.3994
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0110, Std=0.8443, Min=-2.1412, Max=3.6469, RMS=0.8443
  Col 13: Mean=-0.0046, Std=0.6341, Min=-1.7812, Max=2.7351, RMS=0.6341
  Col 14: Mean=0.0040, Std=3.2241, Min=-6.0175, Max=9.5687, RMS=3.2241
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0154, Std=0.8060, Min=-2.1744, Max=2.1923, RMS=0.8062
  Col 19: Mean=-0.0064, Std=0.4491, Min=-0.8392, Max=1.6652, RMS=0.4492
  Col 20: Mean=0.0031, Std=2.9329, Min=-5.8092, Max=7.5307, RMS=2.9329
  Col 21: Mean=-0.0145, Std=0.9289, Min=-1.9560, Max=3.3596, RMS=0.9290
  Col 22: Mean=-0.0038, Std=0.5884, Min=-2.0881, Max=2.1866, RMS=0.5884
  Col 23: Mean=0.0059, Std=3.1052, Min=-5.9072, Max=9.7531, RMS=3.1052
  Col 24: Mean=-0.0100, Std=1.4175, Min=-3.3595, Max=4.1430, RMS=1.4176
  Col 25: Mean=0.0076, Std=1.1171, Min=-3.8103, Max=4.1938, RMS=1.1171
  Col 26: Mean=-0.0013, Std=3.1332, Min=-5.8572, Max=8.4135, RMS=3.1332
  Col 27: Mean=-0.0121, Std=1.4365, Min=-3.4941, Max=3.4155, RMS=1.4366
  Col 28: Mean=-0.0074, Std=0.7438, Min=-1.9682, Max=2.7189, RMS=0.7438
  Col 29: Mean=-0.0002, Std=3.2044, Min=-5.2787, Max=10.3979, RMS=3.2044
  Col 30: Mean=-0.0158, Std=1.9070, Min=-4.2450, Max=5.3377, RMS=1.9071
  Col 31: Mean=-0.0192, Std=0.8559, Min=-3.5443, Max=2.5058, RMS=0.8561
  Col 32: Mean=-0.0031, Std=2.9640, Min=-4.9199, Max=9.1606, RMS=2.9640
  Col 33: Mean=-0.0126, Std=0.8330, Min=-2.4107, Max=2.8342, RMS=0.8331
  Col 34: Mean=-0.0043, Std=0.7807, Min=-1.8991, Max=2.3213, RMS=0.7807
  Col 35: Mean=0.0062, Std=3.1350, Min=-6.2947, Max=10.3582, RMS=3.1350
  Col 36: Mean=0.0021, Std=1.3964, Min=-4.3044, Max=6.5119, RMS=1.3964
  Col 37: Mean=-0.0045, Std=0.9497, Min=-2.7145, Max=2.8027, RMS=0.9498
  Col 38: Mean=-0.0020, Std=3.1374, Min=-6.2654, Max=8.6420, RMS=3.1374
  Col 39: Mean=-0.0121, Std=0.9624, Min=-3.0865, Max=2.9249, RMS=0.9624
