--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Manuel/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0005, Std=1.3406, Min=-3.5801, Max=5.2383, RMS=1.3406
  Col 1: Mean=0.0041, Std=1.5619, Min=-7.4412, Max=6.9120, RMS=1.5619
  Col 2: Mean=0.0052, Std=3.8279, Min=-6.3465, Max=15.9387, RMS=3.8279
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0135, Std=0.9172, Min=-2.5019, Max=3.1117, RMS=0.9173
  Col 13: Mean=-0.0038, Std=0.7542, Min=-1.9112, Max=2.5366, RMS=0.7542
  Col 14: Mean=0.0049, Std=3.5542, Min=-6.0718, Max=10.6941, RMS=3.5542
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0129, Std=0.9265, Min=-4.2352, Max=3.1203, RMS=0.9266
  Col 19: Mean=0.0011, Std=0.5446, Min=-1.0931, Max=1.5738, RMS=0.5447
  Col 20: Mean=-0.0046, Std=3.2670, Min=-5.4252, Max=8.8647, RMS=3.2670
  Col 21: Mean=-0.0182, Std=0.9500, Min=-2.5848, Max=2.5872, RMS=0.9501
  Col 22: Mean=-0.0052, Std=0.8080, Min=-2.6426, Max=2.5674, RMS=0.8080
  Col 23: Mean=0.0050, Std=3.5070, Min=-6.3935, Max=12.1815, RMS=3.5070
  Col 24: Mean=-0.0159, Std=1.7076, Min=-3.9302, Max=5.2694, RMS=1.7077
  Col 25: Mean=0.0098, Std=0.9162, Min=-3.0633, Max=3.7733, RMS=0.9162
  Col 26: Mean=-0.0032, Std=3.4337, Min=-5.8093, Max=10.1931, RMS=3.4337
  Col 27: Mean=-0.0310, Std=1.6318, Min=-3.2568, Max=3.5987, RMS=1.6321
  Col 28: Mean=-0.0002, Std=0.9822, Min=-3.0498, Max=3.1725, RMS=0.9822
  Col 29: Mean=0.0017, Std=3.4437, Min=-5.6870, Max=10.1279, RMS=3.4437
  Col 30: Mean=-0.0394, Std=2.1475, Min=-4.5681, Max=6.8290, RMS=2.1478
  Col 31: Mean=-0.0186, Std=1.2704, Min=-3.4334, Max=3.4808, RMS=1.2705
  Col 32: Mean=-0.0044, Std=3.1438, Min=-5.2287, Max=9.3789, RMS=3.1438
  Col 33: Mean=-0.0162, Std=0.9620, Min=-2.7732, Max=3.3748, RMS=0.9621
  Col 34: Mean=-0.0057, Std=0.9353, Min=-2.4931, Max=3.1958, RMS=0.9353
  Col 35: Mean=0.0050, Std=3.5669, Min=-6.0848, Max=11.3202, RMS=3.5669
  Col 36: Mean=-0.0014, Std=1.9131, Min=-4.0928, Max=7.0674, RMS=1.9131
  Col 37: Mean=-0.0114, Std=1.0369, Min=-2.3179, Max=4.2847, RMS=1.0370
  Col 38: Mean=-0.0066, Std=3.5678, Min=-5.9363, Max=9.1836, RMS=3.5678
  Col 39: Mean=-0.0640, Std=2.0728, Min=-4.1553, Max=4.6178, RMS=2.0738
  Col 40: Mean=0.0071, Std=1.5766, Min=-3.4722, Max=3.9742, RMS=1.5766
  Col 41: Mean=-0.0014, Std=3.8655, Min=-6.0936, Max=12.1172, RMS=3.8655
  Col 42: Mean=-0.0870, Std=2.6279, Min=-7.2523, Max=6.9628, RMS=2.6293
  Col 43: Mean=0.0310, Std=2.1378, Min=-4.0547, Max=7.0334, RMS=2.1381
  Col 44: Mean=-0.0134, Std=3.7726, Min=-5.8715, Max=12.5319, RMS=3.7726
  Col 45: Mean=0.0214, Std=3.2320, Min=-11.9347, Max=15.3691, RMS=3.2321
  Col 46: Mean=0.0034, Std=2.6233, Min=-11.9769, Max=11.0625, RMS=2.6234
  Col 47: Mean=-0.0013, Std=4.9076, Min=-13.7120, Max=18.5097, RMS=4.9076
  Col 48: Mean=-0.0800, Std=4.2590, Min=-15.7080, Max=12.7079, RMS=4.2598
  Col 49: Mean=-0.0394, Std=3.9302, Min=-18.4832, Max=25.2563, RMS=3.9304
  Col 50: Mean=-0.0757, Std=4.4616, Min=-7.0358, Max=19.4805, RMS=4.4622
  Col 51: Mean=0.0361, Std=6.8532, Min=-20.2082, Max=30.0872, RMS=6.8533
  Col 52: Mean=-0.0083, Std=4.0132, Min=-28.3844, Max=34.2088, RMS=4.0132
  Col 53: Mean=-0.0360, Std=5.9181, Min=-15.3943, Max=50.2951, RMS=5.9182
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0336, Std=3.6510, Min=-14.2439, Max=18.2414, RMS=3.6511
  Col 58: Mean=0.0013, Std=2.0141, Min=-8.6866, Max=8.3967, RMS=2.0141
  Col 59: Mean=-0.0067, Std=5.0129, Min=-11.3391, Max=20.8380, RMS=5.0129
  Col 60: Mean=-0.1162, Std=6.5462, Min=-26.3566, Max=29.7680, RMS=6.5472
  Col 61: Mean=-0.0359, Std=3.2167, Min=-16.3307, Max=14.1014, RMS=3.2169
  Col 62: Mean=-0.1120, Std=4.7480, Min=-11.2313, Max=27.9532, RMS=4.7494
  Col 63: Mean=0.0019, Std=7.0103, Min=-24.4569, Max=23.7540, RMS=7.0103
  Col 64: Mean=-0.0005, Std=4.5335, Min=-22.4361, Max=35.1094, RMS=4.5335
  Col 65: Mean=-0.0558, Std=6.8756, Min=-27.5681, Max=51.5415, RMS=6.8759
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-15.1827, Std=9.6678, Min=-40.6677, Max=2.8899, RMS=17.9995
  Col 1: Mean=-77.3549, Std=3.2984, Min=-82.3967, Max=-69.8243, RMS=77.4252
  Col 2: Mean=-145.2256, Std=9.0614, Min=-165.6535, Max=-118.6221, RMS=145.5080
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
