--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Manuel/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0098, Std=1.1369, Min=-2.9613, Max=2.8729, RMS=1.1370
  Col 1: Mean=0.0025, Std=1.1032, Min=-2.8980, Max=4.1178, RMS=1.1033
  Col 2: Mean=0.0034, Std=2.3599, Min=-4.6818, Max=8.3275, RMS=2.3599
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0051, Std=0.8914, Min=-3.3892, Max=1.8592, RMS=0.8914
  Col 13: Mean=-0.0001, Std=1.1934, Min=-3.1230, Max=3.7638, RMS=1.1934
  Col 14: Mean=0.0027, Std=2.5314, Min=-5.4417, Max=6.5696, RMS=2.5314
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0004, Std=0.7608, Min=-2.1605, Max=2.1021, RMS=0.7608
  Col 19: Mean=0.0046, Std=0.9877, Min=-1.9933, Max=2.5952, RMS=0.9877
  Col 20: Mean=-0.2907, Std=2.8116, Min=-9.1614, Max=6.3614, RMS=2.8266
  Col 21: Mean=-0.0055, Std=0.9758, Min=-3.7145, Max=1.7648, RMS=0.9758
  Col 22: Mean=-0.0013, Std=1.1674, Min=-3.2549, Max=3.4002, RMS=1.1674
  Col 23: Mean=-0.0002, Std=2.3025, Min=-4.3589, Max=7.7261, RMS=2.3025
  Col 24: Mean=-0.0016, Std=1.5707, Min=-5.1437, Max=3.4807, RMS=1.5707
  Col 25: Mean=-0.0028, Std=0.9847, Min=-2.2556, Max=2.6250, RMS=0.9847
  Col 26: Mean=-0.0055, Std=2.3151, Min=-4.6155, Max=7.1661, RMS=2.3152
  Col 27: Mean=0.0255, Std=2.2575, Min=-5.8749, Max=3.7938, RMS=2.2576
  Col 28: Mean=0.0023, Std=0.8600, Min=-2.1862, Max=2.5126, RMS=0.8600
  Col 29: Mean=0.0029, Std=2.2612, Min=-4.2362, Max=7.1754, RMS=2.2612
  Col 30: Mean=0.0478, Std=2.6457, Min=-7.3995, Max=4.4052, RMS=2.6461
  Col 31: Mean=0.0044, Std=1.0069, Min=-2.9126, Max=3.3593, RMS=1.0069
  Col 32: Mean=0.0037, Std=2.1434, Min=-3.7690, Max=6.5750, RMS=2.1434
  Col 33: Mean=-0.0059, Std=0.9378, Min=-3.6526, Max=2.2279, RMS=0.9378
  Col 34: Mean=0.0006, Std=1.1822, Min=-3.3834, Max=3.1297, RMS=1.1822
  Col 35: Mean=0.0008, Std=2.3519, Min=-4.5972, Max=7.7707, RMS=2.3519
  Col 36: Mean=-0.0075, Std=1.5906, Min=-4.3736, Max=3.5715, RMS=1.5906
  Col 37: Mean=0.0050, Std=1.0346, Min=-2.5585, Max=3.3533, RMS=1.0346
  Col 38: Mean=-0.0024, Std=2.3014, Min=-4.6078, Max=6.6292, RMS=2.3014
  Col 39: Mean=0.0057, Std=2.7415, Min=-8.3227, Max=5.4014, RMS=2.7415
  Col 40: Mean=0.0009, Std=0.8066, Min=-1.9691, Max=2.9424, RMS=0.8066
  Col 41: Mean=0.0014, Std=2.1394, Min=-3.8935, Max=7.4575, RMS=2.1394
  Col 42: Mean=0.0090, Std=3.2046, Min=-9.6062, Max=6.7728, RMS=3.2046
  Col 43: Mean=-0.0024, Std=1.0860, Min=-2.9221, Max=3.7624, RMS=1.0860
  Col 44: Mean=-0.0064, Std=2.0264, Min=-3.7074, Max=6.3022, RMS=2.0264
  Col 45: Mean=0.0076, Std=3.1750, Min=-10.3889, Max=9.9268, RMS=3.1750
  Col 46: Mean=0.0024, Std=1.5950, Min=-9.3419, Max=7.6840, RMS=1.5950
  Col 47: Mean=0.0024, Std=3.8049, Min=-9.9543, Max=16.2279, RMS=3.8049
  Col 48: Mean=0.0776, Std=4.0740, Min=-15.2735, Max=12.1467, RMS=4.0747
  Col 49: Mean=-0.0193, Std=2.7361, Min=-16.3996, Max=11.6717, RMS=2.7361
  Col 50: Mean=-0.0569, Std=4.3067, Min=-8.9931, Max=26.9721, RMS=4.3071
  Col 51: Mean=0.1032, Std=6.4220, Min=-41.4813, Max=14.9169, RMS=6.4229
  Col 52: Mean=-0.0219, Std=3.0096, Min=-17.0999, Max=18.4816, RMS=3.0096
  Col 53: Mean=-0.0181, Std=6.5891, Min=-20.0078, Max=47.5882, RMS=6.5892
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0162, Std=2.9798, Min=-11.9972, Max=7.6071, RMS=2.9798
  Col 58: Mean=0.0120, Std=1.5698, Min=-5.2443, Max=5.5150, RMS=1.5699
  Col 59: Mean=-0.0051, Std=3.8218, Min=-9.5854, Max=17.0066, RMS=3.8218
  Col 60: Mean=0.0720, Std=4.5017, Min=-9.5853, Max=24.4417, RMS=4.5023
  Col 61: Mean=0.0067, Std=2.3631, Min=-11.4668, Max=12.0967, RMS=2.3631
  Col 62: Mean=-0.0598, Std=5.4908, Min=-13.3033, Max=53.2405, RMS=5.4911
  Col 63: Mean=-0.0898, Std=6.2817, Min=-32.1789, Max=25.5938, RMS=6.2824
  Col 64: Mean=0.0370, Std=2.5132, Min=-9.5806, Max=18.1978, RMS=2.5135
  Col 65: Mean=-0.4407, Std=6.6135, Min=-19.5169, Max=57.5075, RMS=6.6282
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-10.3709, Std=6.2153, Min=-25.3985, Max=1.9265, RMS=12.0907
  Col 1: Mean=-71.3231, Std=1.9564, Min=-75.6955, Max=-66.2969, RMS=71.3500
  Col 2: Mean=1.4984, Std=6.6610, Min=-10.8561, Max=15.4953, RMS=6.8275
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=20.0397, Std=9.1760, Min=4.2085, Max=42.9536, RMS=22.0407
  Col 13: Mean=-75.1493, Std=3.7990, Min=-81.6271, Max=-67.2306, RMS=75.2453
  Col 14: Mean=151.3700, Std=11.7821, Min=123.6633, Max=170.4874, RMS=151.8278
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-90.3802, Std=15.8433, Min=-173.1526, Max=-83.9078, RMS=91.7583
  Col 19: Mean=11.2242, Std=5.4741, Min=1.0382, Max=21.9207, RMS=12.4879
  Col 20: Mean=163.2835, Std=6.7407, Min=151.2549, Max=179.1324, RMS=163.4226
  Col 21: Mean=59.6683, Std=4.3065, Min=54.1775, Max=68.7441, RMS=59.8235
  Col 22: Mean=-3.6304, Std=2.0042, Min=-8.0195, Max=0.2129, RMS=4.1469
  Col 23: Mean=-89.1407, Std=5.9676, Min=-101.3197, Max=-78.8586, RMS=89.3402
  Col 24: Mean=14.4335, Std=9.4250, Min=-7.5705, Max=31.7166, RMS=17.2382
  Col 25: Mean=-71.1813, Std=2.0817, Min=-75.1751, Max=-66.0696, RMS=71.2117
  Col 26: Mean=74.4257, Std=16.7309, Min=44.6052, Max=107.1179, RMS=76.2831
  Col 27: Mean=-7.6980, Std=18.3009, Min=-43.3002, Max=33.9516, RMS=19.8540
  Col 28: Mean=-70.2877, Std=4.9956, Min=-78.4170, Max=-58.2304, RMS=70.4650
  Col 29: Mean=119.3091, Std=26.0631, Min=63.8845, Max=163.8789, RMS=122.1227
  Col 30: Mean=-60.1033, Std=6.4867, Min=-71.0458, Max=-44.2673, RMS=60.4523
  Col 31: Mean=4.8954, Std=5.3995, Min=-5.1491, Max=18.6255, RMS=7.2883
  Col 32: Mean=-145.1735, Std=10.8436, Min=-167.2643, Max=-127.0693, RMS=145.5779
  Col 33: Mean=63.9220, Std=4.2891, Min=57.5863, Max=72.3782, RMS=64.0658
  Col 34: Mean=-4.2094, Std=2.2564, Min=-8.7802, Max=-0.0079, RMS=4.7760
  Col 35: Mean=-99.1980, Std=6.0752, Min=-111.9725, Max=-89.5509, RMS=99.3839
  Col 36: Mean=-20.6091, Std=22.4352, Min=-63.2875, Max=19.5536, RMS=30.4643
  Col 37: Mean=-78.4730, Std=2.1408, Min=-82.8888, Max=-72.7539, RMS=78.5022
  Col 38: Mean=-115.3540, Std=30.5184, Min=-165.5038, Max=-59.1319, RMS=119.3227
  Col 39: Mean=52.4928, Std=28.0775, Min=-37.4024, Max=76.6912, RMS=59.5302
  Col 40: Mean=-73.9480, Std=7.3856, Min=-86.0827, Max=-56.8323, RMS=74.3159
  Col 41: Mean=22.2389, Std=156.7277, Min=-179.7597, Max=179.9808, RMS=158.2976
  Col 42: Mean=77.8590, Std=5.0996, Min=64.1676, Max=87.7761, RMS=78.0258
  Col 43: Mean=13.3176, Std=9.3851, Min=-6.6377, Max=32.2603, RMS=16.2923
