--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Manuel/imu/walk/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0117, Std=1.5923, Min=-4.8811, Max=4.1077, RMS=1.5924
  Col 1: Mean=0.0057, Std=1.4467, Min=-4.2714, Max=4.8282, RMS=1.4467
  Col 2: Mean=-0.0016, Std=2.4064, Min=-4.5427, Max=8.2660, RMS=2.4064
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0046, Std=1.1015, Min=-2.5960, Max=3.1780, RMS=1.1015
  Col 13: Mean=0.0056, Std=0.9457, Min=-2.3415, Max=2.8975, RMS=0.9457
  Col 14: Mean=-0.0000, Std=2.3721, Min=-4.7962, Max=6.1341, RMS=2.3721
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0057, Std=0.6949, Min=-2.0365, Max=1.7850, RMS=0.6950
  Col 19: Mean=0.0038, Std=0.5669, Min=-1.1592, Max=1.2672, RMS=0.5669
  Col 20: Mean=0.0028, Std=2.3038, Min=-3.6106, Max=7.4853, RMS=2.3038
  Col 21: Mean=0.0030, Std=1.1345, Min=-2.6410, Max=2.9759, RMS=1.1345
  Col 22: Mean=0.0052, Std=0.8884, Min=-2.7189, Max=2.3376, RMS=0.8884
  Col 23: Mean=0.0005, Std=2.2907, Min=-3.7634, Max=7.9768, RMS=2.2907
  Col 24: Mean=0.0014, Std=1.5674, Min=-3.8601, Max=5.3200, RMS=1.5674
  Col 25: Mean=0.0118, Std=1.0086, Min=-2.0001, Max=4.3545, RMS=1.0087
  Col 26: Mean=-0.0037, Std=2.2635, Min=-4.0477, Max=6.0863, RMS=2.2635
  Col 27: Mean=-0.0107, Std=2.2901, Min=-5.5289, Max=6.9237, RMS=2.2901
  Col 28: Mean=-0.0052, Std=0.9559, Min=-2.3361, Max=3.0631, RMS=0.9559
  Col 29: Mean=-0.0004, Std=2.2361, Min=-3.6914, Max=6.8743, RMS=2.2361
  Col 30: Mean=-0.0192, Std=2.8092, Min=-6.6312, Max=8.0001, RMS=2.8092
  Col 31: Mean=-0.0103, Std=1.0315, Min=-2.3368, Max=3.1476, RMS=1.0315
  Col 32: Mean=-0.0043, Std=2.1837, Min=-3.7502, Max=5.7445, RMS=2.1837
  Col 33: Mean=0.0044, Std=1.0343, Min=-2.8726, Max=3.5143, RMS=1.0343
  Col 34: Mean=0.0038, Std=0.8910, Min=-2.2554, Max=2.1411, RMS=0.8910
  Col 35: Mean=-0.0007, Std=2.2866, Min=-3.5427, Max=8.3750, RMS=2.2866
  Col 36: Mean=0.0101, Std=1.5100, Min=-3.1709, Max=5.7415, RMS=1.5101
  Col 37: Mean=-0.0069, Std=0.8676, Min=-2.2241, Max=2.2944, RMS=0.8677
  Col 38: Mean=-0.0049, Std=2.2358, Min=-3.7422, Max=6.4236, RMS=2.2358
  Col 39: Mean=-0.0204, Std=2.5662, Min=-5.7756, Max=6.9515, RMS=2.5663
  Col 40: Mean=0.0045, Std=1.0422, Min=-3.2339, Max=1.8839, RMS=1.0422
  Col 41: Mean=-0.0018, Std=2.2087, Min=-3.4699, Max=7.4427, RMS=2.2087
  Col 42: Mean=-0.0309, Std=3.1036, Min=-6.3841, Max=8.2268, RMS=3.1037
  Col 43: Mean=0.0076, Std=1.2060, Min=-3.1502, Max=3.1631, RMS=1.2060
  Col 44: Mean=-0.0095, Std=2.1479, Min=-3.2709, Max=6.2737, RMS=2.1479
  Col 45: Mean=0.0085, Std=4.8421, Min=-16.2539, Max=16.2111, RMS=4.8421
  Col 46: Mean=-0.0216, Std=2.1176, Min=-12.0180, Max=12.1813, RMS=2.1177
  Col 47: Mean=0.0119, Std=3.7313, Min=-8.6716, Max=17.3712, RMS=3.7313
  Col 48: Mean=-0.0387, Std=5.3984, Min=-17.4739, Max=11.8960, RMS=5.3986
  Col 49: Mean=0.0058, Std=2.8854, Min=-8.4378, Max=13.2813, RMS=2.8854
  Col 50: Mean=-0.1056, Std=4.2673, Min=-13.4051, Max=31.9232, RMS=4.2687
  Col 51: Mean=-0.0967, Std=11.6123, Min=-38.4454, Max=36.4662, RMS=11.6127
  Col 52: Mean=0.0493, Std=3.7832, Min=-15.4050, Max=21.4493, RMS=3.7835
  Col 53: Mean=-0.1980, Std=7.1132, Min=-27.6757, Max=17.9732, RMS=7.1159
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0045, Std=4.5835, Min=-15.0457, Max=14.1590, RMS=4.5835
  Col 58: Mean=0.0144, Std=1.8822, Min=-7.7263, Max=6.8767, RMS=1.8822
  Col 59: Mean=-0.0020, Std=4.2449, Min=-9.8000, Max=19.8043, RMS=4.2449
  Col 60: Mean=-0.0316, Std=5.9711, Min=-17.0751, Max=21.1504, RMS=5.9712
  Col 61: Mean=-0.0187, Std=2.5778, Min=-12.4400, Max=7.3894, RMS=2.5779
