--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Marco/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0083, Std=1.1808, Min=-4.5848, Max=6.6136, RMS=1.1808
  Col 1: Mean=0.0001, Std=1.2558, Min=-3.6802, Max=3.6040, RMS=1.2558
  Col 2: Mean=0.0108, Std=1.7390, Min=-4.7031, Max=7.7463, RMS=1.7391
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0014, Std=0.7349, Min=-2.1894, Max=1.7998, RMS=0.7349
  Col 13: Mean=0.0007, Std=0.8430, Min=-2.5448, Max=1.7846, RMS=0.8430
  Col 14: Mean=0.0108, Std=1.4665, Min=-4.2426, Max=5.1047, RMS=1.4666
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0002, Std=0.9757, Min=-2.4589, Max=2.3010, RMS=0.9757
  Col 19: Mean=-0.0101, Std=0.8380, Min=-3.4075, Max=2.2527, RMS=0.8381
  Col 20: Mean=0.0067, Std=1.4347, Min=-4.4827, Max=4.5430, RMS=1.4347
  Col 21: Mean=0.0045, Std=0.9195, Min=-2.6539, Max=1.8473, RMS=0.9195
  Col 22: Mean=-0.0014, Std=0.7751, Min=-2.3397, Max=2.0622, RMS=0.7751
  Col 23: Mean=0.0097, Std=1.6060, Min=-3.8883, Max=5.4719, RMS=1.6060
  Col 24: Mean=0.0019, Std=1.0573, Min=-2.2576, Max=2.4362, RMS=1.0573
  Col 25: Mean=0.0076, Std=1.0963, Min=-2.9301, Max=3.7784, RMS=1.0963
  Col 26: Mean=0.0059, Std=1.6263, Min=-4.0922, Max=4.5015, RMS=1.6263
  Col 27: Mean=-0.0038, Std=1.2062, Min=-2.4671, Max=2.6833, RMS=1.2063
  Col 28: Mean=0.0002, Std=2.2734, Min=-5.1303, Max=4.2757, RMS=2.2734
  Col 29: Mean=0.0045, Std=2.3363, Min=-6.0799, Max=7.7181, RMS=2.3363
  Col 30: Mean=-0.0130, Std=1.4643, Min=-3.1327, Max=4.9905, RMS=1.4643
  Col 31: Mean=-0.0090, Std=2.8999, Min=-5.6445, Max=6.7237, RMS=2.8999
  Col 32: Mean=0.0067, Std=2.6897, Min=-7.1813, Max=7.6328, RMS=2.6897
  Col 33: Mean=0.0047, Std=0.8966, Min=-2.3573, Max=2.6492, RMS=0.8966
  Col 34: Mean=-0.0005, Std=1.0022, Min=-2.9719, Max=3.7915, RMS=1.0022
  Col 35: Mean=0.0111, Std=1.6724, Min=-4.2534, Max=5.6095, RMS=1.6724
  Col 36: Mean=-0.0033, Std=0.7446, Min=-1.7556, Max=1.7397, RMS=0.7447
  Col 37: Mean=0.0257, Std=1.5183, Min=-4.6989, Max=4.6710, RMS=1.5185
  Col 38: Mean=-0.3346, Std=2.2403, Min=-8.9291, Max=5.0520, RMS=2.2651
  Col 39: Mean=-0.0003, Std=0.7138, Min=-1.8550, Max=1.6919, RMS=0.7138
  Col 40: Mean=0.0056, Std=2.7342, Min=-6.7482, Max=5.8889, RMS=2.7342
  Col 41: Mean=-0.0045, Std=2.2140, Min=-5.5765, Max=7.0434, RMS=2.2140
  Col 42: Mean=-0.0065, Std=0.8680, Min=-2.1534, Max=2.0203, RMS=0.8680
  Col 43: Mean=0.0046, Std=3.5802, Min=-8.6048, Max=8.5968, RMS=3.5802
  Col 44: Mean=-0.0109, Std=2.5496, Min=-7.0474, Max=8.6539, RMS=2.5496
  Col 45: Mean=0.0149, Std=2.3445, Min=-12.1915, Max=10.8678, RMS=2.3445
  Col 46: Mean=-0.0037, Std=3.7075, Min=-11.2591, Max=12.3583, RMS=3.7075
  Col 47: Mean=-0.0035, Std=2.8649, Min=-8.4619, Max=14.6761, RMS=2.8649
  Col 48: Mean=-0.0135, Std=1.7853, Min=-9.1341, Max=7.0997, RMS=1.7854
  Col 49: Mean=-0.0182, Std=3.9653, Min=-15.6734, Max=10.5029, RMS=3.9654
  Col 50: Mean=-0.0602, Std=2.0931, Min=-6.4368, Max=11.6414, RMS=2.0940
  Col 51: Mean=-0.0055, Std=3.7083, Min=-17.3416, Max=20.1213, RMS=3.7083
  Col 52: Mean=-0.0267, Std=6.8396, Min=-24.5549, Max=30.1343, RMS=6.8396
  Col 53: Mean=-0.0635, Std=5.3309, Min=-26.2192, Max=23.3380, RMS=5.3313
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0074, Std=1.6908, Min=-7.4656, Max=7.2592, RMS=1.6908
  Col 58: Mean=0.0022, Std=3.6494, Min=-10.1648, Max=10.8315, RMS=3.6494
  Col 59: Mean=-0.0061, Std=2.9702, Min=-9.4647, Max=13.9167, RMS=2.9702
  Col 60: Mean=0.0073, Std=1.4300, Min=-6.8073, Max=9.5310, RMS=1.4301
  Col 61: Mean=-0.0358, Std=4.0322, Min=-14.8435, Max=11.4157, RMS=4.0323
  Col 62: Mean=-0.1867, Std=2.0424, Min=-8.7864, Max=13.1198, RMS=2.0509
