--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Marco/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0011, Std=1.0407, Min=-3.5361, Max=5.5703, RMS=1.0407
  Col 1: Mean=0.0001, Std=1.1845, Min=-3.5629, Max=4.2602, RMS=1.1845
  Col 2: Mean=-0.0032, Std=1.4096, Min=-2.3424, Max=6.0888, RMS=1.4096
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0017, Std=0.6446, Min=-1.7530, Max=1.5663, RMS=0.6446
  Col 13: Mean=0.0032, Std=1.0224, Min=-2.4280, Max=2.5666, RMS=1.0224
  Col 14: Mean=-0.0081, Std=1.2592, Min=-2.1913, Max=4.7644, RMS=1.2592
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0048, Std=0.9424, Min=-2.9583, Max=2.0334, RMS=0.9424
  Col 19: Mean=0.0056, Std=1.1138, Min=-2.8360, Max=3.4839, RMS=1.1139
  Col 20: Mean=-0.0085, Std=1.1813, Min=-1.9905, Max=4.8681, RMS=1.1814
  Col 21: Mean=0.0001, Std=0.9074, Min=-2.3984, Max=1.8869, RMS=0.9074
  Col 22: Mean=0.0048, Std=0.9876, Min=-2.8008, Max=2.5389, RMS=0.9876
  Col 23: Mean=-0.0063, Std=1.3082, Min=-1.9285, Max=5.7875, RMS=1.3082
  Col 24: Mean=0.0029, Std=0.9924, Min=-2.0973, Max=2.4293, RMS=0.9924
  Col 25: Mean=0.0017, Std=1.0982, Min=-3.9451, Max=3.2754, RMS=1.0982
  Col 26: Mean=-0.0089, Std=1.2345, Min=-2.3364, Max=4.5116, RMS=1.2346
  Col 27: Mean=0.0073, Std=1.0987, Min=-1.9879, Max=2.1663, RMS=1.0987
  Col 28: Mean=0.0112, Std=1.6620, Min=-4.4176, Max=3.5416, RMS=1.6621
  Col 29: Mean=-0.0049, Std=1.2774, Min=-2.7226, Max=4.5278, RMS=1.2774
  Col 30: Mean=0.0112, Std=1.2258, Min=-2.5869, Max=2.4837, RMS=1.2259
  Col 31: Mean=0.0140, Std=2.1680, Min=-6.4004, Max=4.0447, RMS=2.1681
  Col 32: Mean=-0.0025, Std=1.4352, Min=-3.1780, Max=4.8366, RMS=1.4352
  Col 33: Mean=0.0007, Std=0.8449, Min=-1.9013, Max=2.1270, RMS=0.8449
  Col 34: Mean=0.0016, Std=1.1677, Min=-3.0540, Max=3.0376, RMS=1.1677
  Col 35: Mean=-0.0069, Std=1.3952, Min=-1.8987, Max=7.0439, RMS=1.3952
  Col 36: Mean=-0.0043, Std=0.6577, Min=-1.7736, Max=1.3516, RMS=0.6577
  Col 37: Mean=-0.0058, Std=1.4481, Min=-3.3903, Max=4.4817, RMS=1.4481
