--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Marco/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0124, Std=1.0345, Min=-3.2397, Max=6.1372, RMS=1.0346
  Col 1: Mean=-0.0197, Std=1.1941, Min=-8.8039, Max=5.4796, RMS=1.1943
  Col 2: Mean=-0.1463, Std=3.0172, Min=-8.7479, Max=15.1145, RMS=3.0207
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0009, Std=0.6630, Min=-2.4772, Max=2.3433, RMS=0.6630
  Col 13: Mean=-0.0001, Std=0.6687, Min=-2.0584, Max=2.8315, RMS=0.6687
  Col 14: Mean=0.0020, Std=2.6785, Min=-4.5640, Max=13.8438, RMS=2.6785
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0106, Std=0.9395, Min=-3.5245, Max=3.2914, RMS=0.9396
  Col 19: Mean=-0.0015, Std=0.8068, Min=-2.1428, Max=2.2152, RMS=0.8068
  Col 20: Mean=0.0017, Std=2.5341, Min=-5.0679, Max=9.5782, RMS=2.5341
  Col 21: Mean=-0.0031, Std=0.7170, Min=-2.6511, Max=2.0845, RMS=0.7170
  Col 22: Mean=0.0003, Std=0.9821, Min=-4.5032, Max=5.3839, RMS=0.9821
  Col 23: Mean=0.0031, Std=2.9465, Min=-5.0711, Max=12.4493, RMS=2.9465
  Col 24: Mean=0.0040, Std=1.2820, Min=-3.8566, Max=5.1932, RMS=1.2820
  Col 25: Mean=0.0110, Std=0.9440, Min=-3.2240, Max=4.0372, RMS=0.9441
  Col 26: Mean=-0.0008, Std=3.0747, Min=-5.2743, Max=10.6860, RMS=3.0747
  Col 27: Mean=-0.0215, Std=2.5227, Min=-5.2800, Max=6.1741, RMS=2.5228
  Col 28: Mean=0.0013, Std=0.8149, Min=-2.5276, Max=3.7609, RMS=0.8149
  Col 29: Mean=-0.0033, Std=3.9156, Min=-6.6989, Max=12.2988, RMS=3.9156
  Col 30: Mean=-0.0372, Std=3.3434, Min=-7.4841, Max=7.1977, RMS=3.3436
  Col 31: Mean=0.0052, Std=1.1931, Min=-5.0795, Max=3.4257, RMS=1.1931
  Col 32: Mean=-0.0080, Std=4.2872, Min=-8.4966, Max=13.1136, RMS=4.2872
  Col 33: Mean=0.0014, Std=0.8036, Min=-3.5787, Max=2.5560, RMS=0.8036
  Col 34: Mean=-0.0028, Std=1.0195, Min=-6.4921, Max=5.7230, RMS=1.0195
  Col 35: Mean=0.0029, Std=3.1152, Min=-5.1811, Max=13.7945, RMS=3.1152
  Col 36: Mean=0.0130, Std=1.4165, Min=-3.4183, Max=6.8460, RMS=1.4166
  Col 37: Mean=-0.0090, Std=0.9514, Min=-4.5665, Max=2.6086, RMS=0.9514
  Col 38: Mean=-0.0021, Std=3.2726, Min=-5.8758, Max=12.6517, RMS=3.2726
  Col 39: Mean=-0.0492, Std=2.9240, Min=-6.3451, Max=6.0301, RMS=2.9244
  Col 40: Mean=-0.0044, Std=1.1045, Min=-4.7418, Max=3.1692, RMS=1.1045
  Col 41: Mean=0.0045, Std=4.2635, Min=-6.3932, Max=16.3034, RMS=4.2635
  Col 42: Mean=-0.0384, Std=3.9746, Min=-11.5484, Max=9.7371, RMS=3.9747
  Col 43: Mean=0.0167, Std=1.5017, Min=-4.8956, Max=6.0675, RMS=1.5018
  Col 44: Mean=-0.0541, Std=4.7691, Min=-9.3268, Max=17.6470, RMS=4.7694
  Col 45: Mean=0.0147, Std=3.4342, Min=-10.8981, Max=10.6200, RMS=3.4342
  Col 46: Mean=-0.0082, Std=1.8941, Min=-9.1184, Max=10.0903, RMS=1.8941
  Col 47: Mean=-0.0062, Std=3.7580, Min=-10.7955, Max=18.8273, RMS=3.7580
  Col 48: Mean=-0.0591, Std=4.1006, Min=-19.2454, Max=9.4387, RMS=4.1011
  Col 49: Mean=0.0025, Std=1.9867, Min=-10.3747, Max=10.4087, RMS=1.9867
