--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Marco/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0009, Std=1.0093, Min=-3.4337, Max=2.8116, RMS=1.0093
  Col 1: Mean=-0.0002, Std=1.0363, Min=-2.8691, Max=4.1599, RMS=1.0363
  Col 2: Mean=0.0051, Std=2.1289, Min=-4.1149, Max=9.2518, RMS=2.1289
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0116, Std=0.9742, Min=-3.3607, Max=2.8647, RMS=0.9742
  Col 13: Mean=0.0175, Std=0.7980, Min=-2.6162, Max=2.6670, RMS=0.7982
  Col 14: Mean=-0.3770, Std=2.6509, Min=-9.0831, Max=6.2523, RMS=2.6775
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0054, Std=1.2205, Min=-4.6845, Max=2.8373, RMS=1.2206
  Col 19: Mean=-0.0001, Std=1.2586, Min=-3.7757, Max=2.9580, RMS=1.2586
  Col 20: Mean=-0.0006, Std=1.9452, Min=-3.5440, Max=5.8715, RMS=1.9452
  Col 21: Mean=-0.0045, Std=0.9746, Min=-2.8730, Max=2.7404, RMS=0.9746
  Col 22: Mean=-0.0021, Std=1.2236, Min=-3.3306, Max=2.8718, RMS=1.2236
  Col 23: Mean=0.0011, Std=2.0201, Min=-3.8100, Max=8.9477, RMS=2.0201
  Col 24: Mean=-0.0029, Std=1.4269, Min=-4.2828, Max=4.7237, RMS=1.4269
  Col 25: Mean=-0.0010, Std=1.0784, Min=-2.3185, Max=2.5742, RMS=1.0784
  Col 26: Mean=0.0021, Std=2.0066, Min=-4.0690, Max=6.2226, RMS=2.0066
  Col 27: Mean=0.0028, Std=2.6260, Min=-6.3460, Max=4.9347, RMS=2.6260
  Col 28: Mean=0.0036, Std=0.7424, Min=-2.1706, Max=1.4075, RMS=0.7425
  Col 29: Mean=0.0068, Std=2.0320, Min=-3.9013, Max=6.3278, RMS=2.0320
  Col 30: Mean=-0.0009, Std=3.2500, Min=-8.1273, Max=5.8983, RMS=3.2500
  Col 31: Mean=0.0032, Std=0.7646, Min=-2.2791, Max=2.1462, RMS=0.7646
  Col 32: Mean=-0.0888, Std=2.4250, Min=-8.8141, Max=6.3136, RMS=2.4266
  Col 33: Mean=-0.0098, Std=0.9983, Min=-3.5179, Max=2.5552, RMS=0.9983
  Col 34: Mean=-0.0030, Std=1.2467, Min=-3.0667, Max=2.9918, RMS=1.2467
  Col 35: Mean=0.0014, Std=2.0812, Min=-3.7552, Max=9.0799, RMS=2.0812
  Col 36: Mean=-0.0134, Std=1.4461, Min=-4.0926, Max=4.5936, RMS=1.4461
  Col 37: Mean=-0.0009, Std=1.0765, Min=-2.5148, Max=2.8049, RMS=1.0765
  Col 38: Mean=0.0007, Std=2.0571, Min=-3.6117, Max=6.4551, RMS=2.0571
  Col 39: Mean=0.0068, Std=2.5580, Min=-6.0887, Max=4.7132, RMS=2.5580
  Col 40: Mean=0.0028, Std=1.1642, Min=-2.6437, Max=2.6691, RMS=1.1642
  Col 41: Mean=0.0083, Std=2.1463, Min=-4.3808, Max=7.1070, RMS=2.1463
  Col 42: Mean=0.0185, Std=3.3122, Min=-8.4851, Max=6.7134, RMS=3.3122
  Col 43: Mean=0.0060, Std=1.3175, Min=-3.2274, Max=3.4272, RMS=1.3175
  Col 44: Mean=0.0016, Std=2.3162, Min=-5.0100, Max=7.1815, RMS=2.3162
  Col 45: Mean=0.0114, Std=3.1476, Min=-12.5680, Max=13.4228, RMS=3.1477
  Col 46: Mean=0.0067, Std=1.7049, Min=-11.6155, Max=9.1697, RMS=1.7049
  Col 47: Mean=-0.1321, Std=3.4147, Min=-9.7387, Max=17.1102, RMS=3.4172
  Col 48: Mean=0.0430, Std=3.5732, Min=-16.2226, Max=11.6613, RMS=3.5735
  Col 49: Mean=-0.0194, Std=2.7011, Min=-30.3396, Max=15.4429, RMS=2.7012
  Col 50: Mean=-0.0448, Std=3.7275, Min=-8.0230, Max=32.6005, RMS=3.7278
  Col 51: Mean=0.0676, Std=5.7634, Min=-50.7825, Max=17.9889, RMS=5.7638
  Col 52: Mean=0.0189, Std=2.5617, Min=-22.1982, Max=25.5449, RMS=2.5618
