--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Marco/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0005, Std=1.0517, Min=-4.2094, Max=3.4837, RMS=1.0517
  Col 1: Mean=0.0022, Std=1.1766, Min=-3.7179, Max=4.8392, RMS=1.1766
  Col 2: Mean=0.0055, Std=2.5114, Min=-5.1818, Max=10.4836, RMS=2.5114
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0065, Std=1.0154, Min=-3.1911, Max=3.1000, RMS=1.0154
  Col 13: Mean=0.0064, Std=0.8947, Min=-3.1044, Max=3.3336, RMS=0.8947
  Col 14: Mean=-0.3755, Std=2.7765, Min=-9.1397, Max=7.5199, RMS=2.8018
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0063, Std=1.1646, Min=-5.2846, Max=3.2073, RMS=1.1646
  Col 19: Mean=0.0023, Std=1.3488, Min=-3.5372, Max=3.7330, RMS=1.3488
