--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Marco/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0019, Std=1.5468, Min=-5.7125, Max=4.4861, RMS=1.5468
  Col 1: Mean=0.0057, Std=1.2399, Min=-3.2093, Max=5.5166, RMS=1.2400
  Col 2: Mean=-0.0055, Std=1.6008, Min=-3.7230, Max=5.3793, RMS=1.6008
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0039, Std=0.7916, Min=-1.9028, Max=2.3263, RMS=0.7916
  Col 13: Mean=0.0002, Std=0.7272, Min=-2.0576, Max=2.3336, RMS=0.7272
  Col 14: Mean=-0.0011, Std=1.5422, Min=-2.6116, Max=4.7788, RMS=1.5422
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0009, Std=0.5977, Min=-1.9457, Max=1.7662, RMS=0.5977
  Col 19: Mean=-0.0025, Std=0.8286, Min=-2.0011, Max=3.3804, RMS=0.8286
  Col 20: Mean=-0.0010, Std=1.4737, Min=-2.2767, Max=4.9928, RMS=1.4737
  Col 21: Mean=-0.0027, Std=0.7289, Min=-1.9235, Max=2.1625, RMS=0.7289
  Col 22: Mean=0.0013, Std=0.8499, Min=-2.1546, Max=2.3395, RMS=0.8499
  Col 23: Mean=-0.0013, Std=1.4044, Min=-2.1743, Max=4.7140, RMS=1.4044
  Col 24: Mean=-0.0082, Std=0.9528, Min=-2.9136, Max=2.8130, RMS=0.9528
  Col 25: Mean=-0.0005, Std=1.1296, Min=-2.7419, Max=1.9787, RMS=1.1296
  Col 26: Mean=-0.0039, Std=1.3936, Min=-2.2332, Max=3.8157, RMS=1.3936
  Col 27: Mean=0.0019, Std=1.6598, Min=-3.3481, Max=3.5806, RMS=1.6598
  Col 28: Mean=-0.0036, Std=1.6975, Min=-3.0044, Max=3.5492, RMS=1.6975
  Col 29: Mean=-0.0069, Std=1.5678, Min=-3.1587, Max=4.1495, RMS=1.5678
  Col 30: Mean=0.0232, Std=2.1830, Min=-5.0117, Max=4.2152, RMS=2.1831
  Col 31: Mean=-0.0302, Std=1.9956, Min=-3.5367, Max=4.2716, RMS=1.9958
  Col 32: Mean=-0.3234, Std=2.3737, Min=-8.8938, Max=4.5099, RMS=2.3957
  Col 33: Mean=-0.0047, Std=0.9159, Min=-2.9533, Max=2.5862, RMS=0.9159
  Col 34: Mean=0.0021, Std=0.7460, Min=-2.4291, Max=2.0897, RMS=0.7460
  Col 35: Mean=-0.0008, Std=1.4543, Min=-2.3351, Max=4.7362, RMS=1.4543
  Col 36: Mean=-0.0059, Std=1.4726, Min=-3.0982, Max=4.0719, RMS=1.4726
  Col 37: Mean=0.0068, Std=0.6786, Min=-2.0671, Max=2.0793, RMS=0.6786
  Col 38: Mean=-0.0019, Std=1.4449, Min=-2.3114, Max=4.1864, RMS=1.4449
  Col 39: Mean=0.0139, Std=2.7564, Min=-5.3287, Max=5.0974, RMS=2.7564
  Col 40: Mean=-0.0055, Std=0.6489, Min=-1.9585, Max=1.5759, RMS=0.6489
  Col 41: Mean=-0.0000, Std=1.6203, Min=-3.5958, Max=4.0203, RMS=1.6203
  Col 42: Mean=0.0230, Std=3.5145, Min=-6.9730, Max=6.0757, RMS=3.5146
  Col 43: Mean=-0.0127, Std=0.9586, Min=-2.3823, Max=2.7424, RMS=0.9587
  Col 44: Mean=-0.0067, Std=1.7968, Min=-4.3844, Max=4.1172, RMS=1.7968
  Col 45: Mean=0.0086, Std=3.9554, Min=-14.4429, Max=11.7738, RMS=3.9554
  Col 46: Mean=0.0213, Std=3.0338, Min=-12.9263, Max=8.9175, RMS=3.0339
  Col 47: Mean=-0.0085, Std=3.4473, Min=-11.7816, Max=17.2216, RMS=3.4473
  Col 48: Mean=0.0131, Std=4.6860, Min=-13.7561, Max=13.1635, RMS=4.6860
  Col 49: Mean=-0.0208, Std=2.7845, Min=-9.7951, Max=7.2886, RMS=2.7846
  Col 50: Mean=-0.1062, Std=2.0535, Min=-6.5314, Max=11.3539, RMS=2.0563
  Col 51: Mean=0.0303, Std=7.9324, Min=-37.1218, Max=25.2367, RMS=7.9325
  Col 52: Mean=-0.0115, Std=5.3336, Min=-17.1048, Max=21.8539, RMS=5.3336
  Col 53: Mean=-0.1296, Std=6.1721, Min=-24.8868, Max=19.3138, RMS=6.1734
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.1107, Std=3.9940, Min=-8.7553, Max=11.2486, RMS=3.9955
  Col 58: Mean=0.0490, Std=2.1825, Min=-5.4649, Max=11.0714, RMS=2.1830
  Col 59: Mean=-0.2782, Std=3.6134, Min=-9.3375, Max=12.9457, RMS=3.6241
  Col 60: Mean=0.0382, Std=4.4709, Min=-8.9713, Max=13.2786, RMS=4.4711
  Col 61: Mean=-0.0067, Std=2.5454, Min=-8.9423, Max=12.0865, RMS=2.5454
  Col 62: Mean=-0.0995, Std=1.8327, Min=-5.1863, Max=12.0772, RMS=1.8354
  Col 63: Mean=0.0350, Std=8.4203, Min=-28.6313, Max=22.9415, RMS=8.4204
  Col 64: Mean=-0.0418, Std=4.5341, Min=-17.1594, Max=16.2787, RMS=4.5343
  Col 65: Mean=-0.1424, Std=6.4575, Min=-28.9464, Max=17.4551, RMS=6.4591
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-1.5365, Std=4.6564, Min=-9.7864, Max=6.5254, RMS=4.9033
  Col 1: Mean=-57.8971, Std=2.4399, Min=-61.9766, Max=-51.8207, RMS=57.9485
  Col 2: Mean=-23.9500, Std=3.9150, Min=-32.6927, Max=-13.2824, RMS=24.2679
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=13.6631, Std=5.8158, Min=-2.7277, Max=26.9754, RMS=14.8494
  Col 13: Mean=-70.7276, Std=2.3918, Min=-81.8328, Max=-66.5916, RMS=70.7680
  Col 14: Mean=131.9559, Std=4.6929, Min=116.0506, Max=142.8545, RMS=132.0393
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-107.8694, Std=3.2990, Min=-114.4529, Max=-99.0531, RMS=107.9198
  Col 19: Mean=-13.6126, Std=3.0899, Min=-20.9304, Max=-3.9806, RMS=13.9589
  Col 20: Mean=18.3196, Std=2.7707, Min=9.4472, Max=23.3127, RMS=18.5280
  Col 21: Mean=72.1473, Std=2.4276, Min=62.1352, Max=76.5651, RMS=72.1881
  Col 22: Mean=2.6554, Std=2.1596, Min=-2.0357, Max=8.2539, RMS=3.4227
  Col 23: Mean=-116.1989, Std=4.1569, Min=-124.2569, Max=-107.9192, RMS=116.2733
  Col 24: Mean=42.8438, Std=9.0817, Min=26.1976, Max=68.8131, RMS=43.7958
  Col 25: Mean=-62.9890, Std=2.3876, Min=-67.9632, Max=-55.6986, RMS=63.0342
  Col 26: Mean=23.6744, Std=15.7635, Min=-6.2468, Max=52.4344, RMS=28.4423
  Col 27: Mean=-50.0634, Std=3.6053, Min=-62.4693, Max=-38.1280, RMS=50.1930
  Col 28: Mean=-58.3073, Std=12.6682, Min=-80.4758, Max=-32.3823, RMS=59.6676
  Col 29: Mean=147.3598, Std=6.9034, Min=124.7201, Max=162.0299, RMS=147.5214
  Col 30: Mean=-74.3145, Std=20.2153, Min=-173.5616, Max=-54.2995, RMS=77.0149
  Col 31: Mean=7.6976, Std=11.7108, Min=-12.9606, Max=30.7765, RMS=14.0141
  Col 32: Mean=123.8425, Std=115.6238, Min=-179.9266, Max=179.9973, RMS=169.4279
  Col 33: Mean=71.5318, Std=2.4167, Min=60.3865, Max=75.8285, RMS=71.5726
  Col 34: Mean=-0.0179, Std=1.5160, Min=-4.1339, Max=4.4442, RMS=1.5161
  Col 35: Mean=-125.5771, Std=5.8532, Min=-136.3948, Max=-113.5680, RMS=125.7134
  Col 36: Mean=-49.9145, Std=13.5796, Min=-70.6765, Max=-23.1066, RMS=51.7287
  Col 37: Mean=-67.2276, Std=2.5508, Min=-72.9795, Max=-55.6490, RMS=67.2760
  Col 38: Mean=-82.3638, Std=21.7112, Min=-124.8638, Max=-47.2162, RMS=85.1773
  Col 39: Mean=-62.3042, Std=57.2159, Min=-179.1238, Max=179.4029, RMS=84.5900
  Col 40: Mean=73.2341, Std=12.5354, Min=45.5505, Max=88.7345, RMS=74.2992
  Col 41: Mean=-52.8354, Std=37.2780, Min=-166.1653, Max=4.5435, RMS=64.6624
  Col 42: Mean=-72.6442, Std=7.5579, Min=-85.5791, Max=-55.9567, RMS=73.0363
  Col 43: Mean=-3.4295, Std=14.4469, Min=-32.5235, Max=19.0083, RMS=14.8484
  Col 44: Mean=-41.0473, Std=5.2361, Min=-55.3193, Max=-30.2859, RMS=41.3800
  Col 45: Mean=0.4547, Std=112.1177, Min=-179.9747, Max=179.9968, RMS=112.1186
  Col 46: Mean=-75.1545, Std=6.7822, Min=-89.0952, Max=-61.5466, RMS=75.4599
  Col 47: Mean=43.5100, Std=109.9954, Min=-179.9551, Max=179.6495, RMS=118.2883
  Col 48: Mean=64.7360, Std=118.4938, Min=-179.8690, Max=179.9281, RMS=135.0242
  Col 49: Mean=-68.9746, Std=15.3607, Min=-88.3546, Max=-34.0136, RMS=70.6644
  Col 50: Mean=-21.8100, Std=90.1674, Min=-179.1717, Max=179.2276, RMS=92.7676
  Col 51: Mean=1.6876, Std=26.1473, Min=-24.9287, Max=120.1210, RMS=26.2017
  Col 52: Mean=-39.0207, Std=20.8174, Min=-82.2638, Max=-3.0350, RMS=44.2264
  Col 53: Mean=127.2943, Std=24.8821, Min=9.6649, Max=143.2529, RMS=129.7033
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=40.7366, Std=109.9001, Min=-179.9892, Max=179.9875, RMS=117.2071
  Col 58: Mean=-73.2021, Std=12.4485, Min=-88.8652, Max=-5.7293, RMS=74.2531
  Col 59: Mean=67.2039, Std=76.6546, Min=-179.9434, Max=179.9833, RMS=101.9427
  Col 60: Mean=-96.2537, Std=46.0128, Min=-141.6799, Max=11.3520, RMS=106.6862
  Col 61: Mean=-65.3968, Std=15.2368, Min=-82.5479, Max=-30.7548, RMS=67.1484
