--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/MariaVittoria/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0031, Std=1.2667, Min=-7.5952, Max=6.1544, RMS=1.2667
  Col 1: Mean=-0.0091, Std=1.1841, Min=-4.4889, Max=3.3905, RMS=1.1841
  Col 2: Mean=0.0033, Std=1.5103, Min=-2.9034, Max=8.5117, RMS=1.5103
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0001, Std=0.5653, Min=-1.4742, Max=2.0082, RMS=0.5653
  Col 13: Mean=-0.0030, Std=0.6593, Min=-1.6433, Max=1.9952, RMS=0.6593
  Col 14: Mean=0.0051, Std=1.3986, Min=-2.7693, Max=5.6191, RMS=1.3986
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0032, Std=0.4463, Min=-0.9596, Max=0.9465, RMS=0.4463
  Col 19: Mean=-0.0017, Std=0.5205, Min=-1.2470, Max=1.3974, RMS=0.5205
  Col 20: Mean=0.0044, Std=1.3928, Min=-2.7313, Max=6.9645, RMS=1.3928
  Col 21: Mean=0.0003, Std=0.6583, Min=-1.6343, Max=1.6496, RMS=0.6583
