--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/MariaVittoria/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0016, Std=1.0642, Min=-5.4195, Max=4.3829, RMS=1.0642
  Col 1: Mean=0.0019, Std=1.3484, Min=-4.4970, Max=3.2923, RMS=1.3484
  Col 2: Mean=-0.0032, Std=1.4113, Min=-2.9875, Max=5.7643, RMS=1.4114
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0020, Std=0.5351, Min=-1.7417, Max=1.2298, RMS=0.5351
  Col 13: Mean=-0.0017, Std=1.0175, Min=-2.3743, Max=3.3045, RMS=1.0175
  Col 14: Mean=-0.0045, Std=1.4690, Min=-2.3676, Max=4.9218, RMS=1.4690
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0009, Std=0.4439, Min=-0.9884, Max=0.9357, RMS=0.4439
  Col 19: Mean=0.0008, Std=0.6890, Min=-1.7885, Max=1.6046, RMS=0.6890
  Col 20: Mean=-0.0024, Std=1.3366, Min=-2.1118, Max=4.6581, RMS=1.3366
  Col 21: Mean=0.0009, Std=0.6149, Min=-1.8159, Max=1.6503, RMS=0.6149
  Col 22: Mean=-0.0014, Std=1.0036, Min=-2.5641, Max=3.3068, RMS=1.0036
  Col 23: Mean=-0.0027, Std=1.3606, Min=-2.4758, Max=5.0820, RMS=1.3606
  Col 24: Mean=0.0010, Std=0.6450, Min=-2.0939, Max=1.9288, RMS=0.6450
  Col 25: Mean=-0.0054, Std=0.9787, Min=-2.3048, Max=3.0391, RMS=0.9788
  Col 26: Mean=-0.0064, Std=1.4691, Min=-2.3453, Max=4.8903, RMS=1.4691
  Col 27: Mean=0.0104, Std=0.6425, Min=-1.6408, Max=1.8425, RMS=0.6426
  Col 28: Mean=-0.0092, Std=0.9629, Min=-2.6213, Max=2.0958, RMS=0.9630
  Col 29: Mean=-0.0071, Std=1.4670, Min=-2.4421, Max=5.1121, RMS=1.4670
  Col 30: Mean=0.0112, Std=0.8354, Min=-2.0005, Max=2.4116, RMS=0.8355
  Col 31: Mean=-0.0151, Std=1.5046, Min=-4.7991, Max=3.9534, RMS=1.5047
  Col 32: Mean=-0.0065, Std=1.4141, Min=-2.5053, Max=4.8587, RMS=1.4141
  Col 33: Mean=-0.0114, Std=0.6594, Min=-2.4391, Max=1.7651, RMS=0.6595
  Col 34: Mean=-0.0006, Std=1.0723, Min=-2.5185, Max=3.9569, RMS=1.0723
  Col 35: Mean=-0.1236, Std=1.7386, Min=-8.8913, Max=5.3501, RMS=1.7430
  Col 36: Mean=0.0111, Std=0.6408, Min=-2.2033, Max=1.5603, RMS=0.6409
  Col 37: Mean=-0.0215, Std=1.2533, Min=-2.9425, Max=4.4564, RMS=1.2534
  Col 38: Mean=-0.3286, Std=2.1975, Min=-8.9575, Max=4.7679, RMS=2.2220
  Col 39: Mean=-0.0039, Std=0.7261, Min=-2.3387, Max=1.9683, RMS=0.7261
  Col 40: Mean=-0.0121, Std=1.5975, Min=-4.5037, Max=3.5154, RMS=1.5976
  Col 41: Mean=-0.0085, Std=1.4918, Min=-3.4715, Max=5.8175, RMS=1.4918
  Col 42: Mean=-0.0092, Std=0.9861, Min=-3.2873, Max=2.6569, RMS=0.9861
  Col 43: Mean=-0.0216, Std=2.3018, Min=-6.1942, Max=4.6218, RMS=2.3019
  Col 44: Mean=-0.0141, Std=1.5943, Min=-3.8002, Max=6.6402, RMS=1.5944
  Col 45: Mean=0.0084, Std=1.4652, Min=-7.9656, Max=5.7156, RMS=1.4652
  Col 46: Mean=-0.0051, Std=2.4863, Min=-8.6834, Max=8.5803, RMS=2.4863
  Col 47: Mean=-0.0085, Std=1.8635, Min=-8.1530, Max=9.0674, RMS=1.8635
  Col 48: Mean=0.0009, Std=1.7351, Min=-8.7332, Max=9.5620, RMS=1.7351
  Col 49: Mean=-0.0233, Std=3.2095, Min=-12.6989, Max=7.4110, RMS=3.2096
  Col 50: Mean=-0.0589, Std=1.7679, Min=-6.5186, Max=9.1057, RMS=1.7688
  Col 51: Mean=-0.0073, Std=2.9056, Min=-23.9342, Max=18.0943, RMS=2.9056
