--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/MariaVittoria/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0009, Std=1.0254, Min=-3.5175, Max=5.3665, RMS=1.0254
  Col 1: Mean=0.0020, Std=1.3462, Min=-4.9512, Max=3.5471, RMS=1.3462
  Col 2: Mean=-0.0032, Std=1.4338, Min=-2.4755, Max=6.6264, RMS=1.4338
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0007, Std=0.5754, Min=-1.6966, Max=1.5179, RMS=0.5754
  Col 13: Mean=0.0007, Std=0.9602, Min=-2.2602, Max=2.8413, RMS=0.9602
  Col 14: Mean=-0.0050, Std=1.4925, Min=-2.9470, Max=5.0882, RMS=1.4926
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0008, Std=0.4457, Min=-1.0639, Max=0.9755, RMS=0.4457
  Col 19: Mean=0.0036, Std=0.5949, Min=-1.5938, Max=1.2893, RMS=0.5949
  Col 20: Mean=-0.0044, Std=1.3501, Min=-1.9552, Max=4.9104, RMS=1.3502
  Col 21: Mean=0.0007, Std=0.6199, Min=-1.3602, Max=1.8901, RMS=0.6199
  Col 22: Mean=0.0018, Std=0.9504, Min=-2.2077, Max=3.2216, RMS=0.9504
  Col 23: Mean=-0.0042, Std=1.3778, Min=-2.7326, Max=5.9326, RMS=1.3778
  Col 24: Mean=-0.0001, Std=0.6870, Min=-2.4305, Max=2.2853, RMS=0.6870
  Col 25: Mean=-0.0031, Std=1.0826, Min=-3.0320, Max=3.8175, RMS=1.0826
  Col 26: Mean=-0.0064, Std=1.5013, Min=-2.8418, Max=5.2094, RMS=1.5013
  Col 27: Mean=0.0063, Std=0.7304, Min=-4.1032, Max=4.0203, RMS=0.7304
  Col 28: Mean=-0.0085, Std=1.0454, Min=-2.9934, Max=2.3763, RMS=1.0454
  Col 29: Mean=-0.0047, Std=1.4426, Min=-2.3876, Max=5.5119, RMS=1.4426
  Col 30: Mean=0.0100, Std=0.7606, Min=-1.7445, Max=2.0773, RMS=0.7607
  Col 31: Mean=-0.0164, Std=1.5348, Min=-5.3246, Max=3.7278, RMS=1.5349
  Col 32: Mean=-0.0067, Std=1.4127, Min=-2.5302, Max=6.3652, RMS=1.4127
  Col 33: Mean=-0.0103, Std=0.6640, Min=-1.5353, Max=2.1669, RMS=0.6641
  Col 34: Mean=-0.0040, Std=1.0155, Min=-2.5212, Max=4.0057, RMS=1.0155
  Col 35: Mean=-0.1250, Std=1.7409, Min=-8.8947, Max=5.7701, RMS=1.7454
  Col 36: Mean=0.0123, Std=0.6822, Min=-1.9489, Max=2.0366, RMS=0.6823
  Col 37: Mean=-0.0116, Std=1.3713, Min=-2.6485, Max=6.2730, RMS=1.3714
  Col 38: Mean=-0.3139, Std=2.1644, Min=-8.9617, Max=4.9814, RMS=2.1870
  Col 39: Mean=-0.0082, Std=0.7382, Min=-2.4019, Max=1.7292, RMS=0.7383
  Col 40: Mean=0.0108, Std=1.6400, Min=-4.0767, Max=4.0484, RMS=1.6400
  Col 41: Mean=-0.0815, Std=1.4821, Min=-8.8089, Max=5.1923, RMS=1.4843
  Col 42: Mean=-0.0087, Std=0.9965, Min=-3.5619, Max=2.4428, RMS=0.9966
  Col 43: Mean=-0.0174, Std=2.4056, Min=-6.2716, Max=7.2508, RMS=2.4057
  Col 44: Mean=-0.0140, Std=1.3881, Min=-3.8913, Max=4.5519, RMS=1.3881
  Col 45: Mean=0.0053, Std=1.8252, Min=-13.7081, Max=9.3702, RMS=1.8252
  Col 46: Mean=-0.0056, Std=2.5880, Min=-8.1468, Max=8.3998, RMS=2.5880
  Col 47: Mean=-0.0058, Std=2.0332, Min=-8.0267, Max=10.5764, RMS=2.0332
  Col 48: Mean=-0.0032, Std=1.8056, Min=-11.3094, Max=6.8341, RMS=1.8056
  Col 49: Mean=-0.0231, Std=3.2632, Min=-13.1144, Max=7.7649, RMS=3.2632
  Col 50: Mean=-0.0530, Std=1.9316, Min=-6.9453, Max=12.3693, RMS=1.9323
  Col 51: Mean=-0.0081, Std=2.7708, Min=-15.3908, Max=23.8609, RMS=2.7708
  Col 52: Mean=-0.0501, Std=5.7357, Min=-25.3589, Max=18.9027, RMS=5.7359
  Col 53: Mean=-0.0671, Std=3.7421, Min=-15.9975, Max=17.3452, RMS=3.7427
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0067, Std=1.2378, Min=-4.5304, Max=5.5160, RMS=1.2378
  Col 58: Mean=-0.0020, Std=2.5605, Min=-8.3735, Max=11.0928, RMS=2.5605
  Col 59: Mean=-0.1049, Std=1.9788, Min=-8.8469, Max=11.0412, RMS=1.9816
  Col 60: Mean=-0.0064, Std=1.0961, Min=-4.5380, Max=6.7582, RMS=1.0961
  Col 61: Mean=0.0173, Std=3.0858, Min=-11.0819, Max=8.4759, RMS=3.0859
  Col 62: Mean=-0.1732, Std=1.7121, Min=-8.7320, Max=8.5391, RMS=1.7209
  Col 63: Mean=0.0455, Std=2.2872, Min=-12.9986, Max=11.9794, RMS=2.2877
  Col 64: Mean=-0.0208, Std=6.1600, Min=-28.4085, Max=21.7088, RMS=6.1601
  Col 65: Mean=-0.0688, Std=3.7682, Min=-15.4429, Max=25.7684, RMS=3.7688
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=6.7048, Std=3.3550, Min=-3.4708, Max=15.3355, RMS=7.4974
  Col 1: Mean=-64.4879, Std=2.7362, Min=-69.5549, Max=-59.6041, RMS=64.5460
  Col 2: Mean=-83.8634, Std=4.2521, Min=-89.7238, Max=-71.8254, RMS=83.9711
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-4.2963, Std=1.6194, Min=-8.4298, Max=-1.7934, RMS=4.5914
  Col 13: Mean=-58.6126, Std=2.8916, Min=-64.8521, Max=-54.1839, RMS=58.6838
  Col 14: Mean=100.0999, Std=3.8563, Min=94.4108, Max=109.6369, RMS=100.1742
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=95.1382, Std=1.9606, Min=91.0161, Max=99.8712, RMS=95.1584
  Col 19: Mean=-38.3203, Std=5.0033, Min=-49.7274, Max=-26.4916, RMS=38.6455
  Col 20: Mean=-99.0095, Std=4.0038, Min=-107.7488, Max=-90.1480, RMS=99.0904
  Col 21: Mean=64.0836, Std=2.6510, Min=58.6465, Max=68.1059, RMS=64.1385
  Col 22: Mean=4.7296, Std=0.9501, Min=3.0013, Max=7.2891, RMS=4.8241
  Col 23: Mean=-158.3493, Std=3.9313, Min=-167.0841, Max=-147.4406, RMS=158.3981
  Col 24: Mean=63.1384, Std=15.0790, Min=28.6339, Max=90.6847, RMS=64.9140
  Col 25: Mean=-79.1039, Std=2.9459, Min=-83.1614, Max=-70.1097, RMS=79.1587
  Col 26: Mean=-20.7305, Std=20.3066, Min=-54.4519, Max=27.1047, RMS=29.0192
  Col 27: Mean=1.3957, Std=9.1802, Min=-11.0197, Max=30.3587, RMS=9.2857
  Col 28: Mean=-64.8320, Std=4.0903, Min=-73.5723, Max=-54.1636, RMS=64.9609
  Col 29: Mean=68.5759, Std=15.0783, Min=32.4644, Max=94.0915, RMS=70.2140
  Col 30: Mean=-65.8853, Std=3.6697, Min=-74.1081, Max=-58.0137, RMS=65.9874
  Col 31: Mean=-8.8684, Std=4.5533, Min=-20.6492, Max=1.5288, RMS=9.9690
  Col 32: Mean=135.9641, Std=8.1798, Min=110.3222, Max=152.9658, RMS=136.2100
  Col 33: Mean=65.5778, Std=13.6870, Min=57.4888, Max=173.3836, RMS=66.9909
  Col 34: Mean=0.3027, Std=0.9487, Min=-1.8993, Max=2.9483, RMS=0.9958
