--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/MariaVittoria/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0042, Std=1.1676, Min=-3.3105, Max=5.2348, RMS=1.1676
  Col 1: Mean=0.0026, Std=1.4469, Min=-5.6925, Max=7.7157, RMS=1.4469
  Col 2: Mean=-0.0009, Std=2.9801, Min=-6.4753, Max=11.1337, RMS=2.9801
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0027, Std=0.4997, Min=-1.4192, Max=2.4205, RMS=0.4997
  Col 13: Mean=-0.0025, Std=0.5966, Min=-1.5806, Max=1.8851, RMS=0.5966
  Col 14: Mean=0.0021, Std=2.7190, Min=-5.0191, Max=10.8656, RMS=2.7190
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0006, Std=0.5394, Min=-1.9404, Max=1.4982, RMS=0.5394
  Col 19: Mean=-0.0019, Std=0.4577, Min=-1.3920, Max=1.4850, RMS=0.4577
  Col 20: Mean=0.0010, Std=2.6813, Min=-4.9273, Max=9.9305, RMS=2.6813
  Col 21: Mean=-0.0030, Std=0.7841, Min=-1.9821, Max=2.3377, RMS=0.7841
  Col 22: Mean=-0.0017, Std=0.6197, Min=-1.8700, Max=1.9655, RMS=0.6197
  Col 23: Mean=0.0023, Std=2.9749, Min=-6.1687, Max=11.6197, RMS=2.9749
  Col 24: Mean=-0.0039, Std=0.9669, Min=-2.3208, Max=2.8476, RMS=0.9669
  Col 25: Mean=0.0056, Std=0.9862, Min=-3.5358, Max=4.7636, RMS=0.9862
  Col 26: Mean=-0.0014, Std=2.8534, Min=-5.2665, Max=11.7209, RMS=2.8534
  Col 27: Mean=-0.0061, Std=1.1654, Min=-2.5783, Max=4.0404, RMS=1.1654
  Col 28: Mean=-0.0014, Std=0.9255, Min=-3.0005, Max=3.4594, RMS=0.9255
  Col 29: Mean=-0.0014, Std=2.7395, Min=-5.3559, Max=10.3002, RMS=2.7395
