--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/MariaVittoria/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0047, Std=1.3455, Min=-4.4727, Max=3.3341, RMS=1.3455
  Col 1: Mean=-0.0002, Std=1.0421, Min=-3.5509, Max=5.3532, RMS=1.0421
  Col 2: Mean=0.0003, Std=2.0620, Min=-4.0210, Max=6.7105, RMS=2.0620
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0048, Std=0.8059, Min=-2.4226, Max=1.9117, RMS=0.8059
  Col 13: Mean=0.0016, Std=0.6660, Min=-1.8280, Max=1.7128, RMS=0.6660
  Col 14: Mean=-0.0010, Std=2.2203, Min=-4.3004, Max=7.4427, RMS=2.2203
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0065, Std=0.5061, Min=-1.6659, Max=1.3593, RMS=0.5061
  Col 19: Mean=0.0026, Std=0.4634, Min=-1.0694, Max=0.8957, RMS=0.4634
  Col 20: Mean=-0.0006, Std=2.0931, Min=-3.7191, Max=6.8491, RMS=2.0931
  Col 21: Mean=-0.0066, Std=0.8497, Min=-3.2035, Max=1.9649, RMS=0.8497
  Col 22: Mean=0.0013, Std=0.6759, Min=-1.6283, Max=1.7213, RMS=0.6759
  Col 23: Mean=0.0002, Std=2.1401, Min=-4.2356, Max=7.1145, RMS=2.1401
  Col 24: Mean=-0.0049, Std=1.2430, Min=-3.9342, Max=2.4578, RMS=1.2430
  Col 25: Mean=0.0015, Std=0.8134, Min=-2.9417, Max=2.1109, RMS=0.8134
  Col 26: Mean=-0.0035, Std=2.1664, Min=-4.0161, Max=7.1468, RMS=2.1664
  Col 27: Mean=0.0003, Std=1.6350, Min=-4.6756, Max=3.4029, RMS=1.6350
  Col 28: Mean=0.0078, Std=0.7177, Min=-2.3745, Max=2.7669, RMS=0.7177
  Col 29: Mean=0.0006, Std=2.0266, Min=-3.6165, Max=7.0654, RMS=2.0266
  Col 30: Mean=0.0082, Std=2.2426, Min=-7.1584, Max=4.5617, RMS=2.2426
  Col 31: Mean=0.0081, Std=0.8617, Min=-2.3748, Max=2.7725, RMS=0.8617
  Col 32: Mean=-0.0054, Std=1.9066, Min=-3.8879, Max=6.9391, RMS=1.9066
  Col 33: Mean=-0.0072, Std=0.8261, Min=-2.7649, Max=2.2045, RMS=0.8262
  Col 34: Mean=0.0023, Std=0.7576, Min=-2.0522, Max=1.6245, RMS=0.7576
  Col 35: Mean=0.0008, Std=2.1600, Min=-4.3624, Max=7.2137, RMS=2.1600
  Col 36: Mean=-0.0108, Std=1.3566, Min=-5.5566, Max=3.1094, RMS=1.3567
  Col 37: Mean=0.0098, Std=0.9386, Min=-2.4832, Max=2.3548, RMS=0.9387
  Col 38: Mean=-0.0041, Std=2.0171, Min=-3.6964, Max=6.7235, RMS=2.0171
  Col 39: Mean=0.0021, Std=2.4196, Min=-6.4201, Max=5.8454, RMS=2.4196
  Col 40: Mean=0.0045, Std=0.9007, Min=-2.3371, Max=2.9870, RMS=0.9007
  Col 41: Mean=-0.0012, Std=1.7632, Min=-3.1475, Max=6.2876, RMS=1.7632
  Col 42: Mean=-0.0159, Std=3.2327, Min=-8.5843, Max=7.6561, RMS=3.2327
  Col 43: Mean=0.0031, Std=1.1711, Min=-3.2961, Max=3.0210, RMS=1.1711
  Col 44: Mean=-0.1409, Std=2.1255, Min=-8.8982, Max=6.1395, RMS=2.1301
  Col 45: Mean=0.0188, Std=2.7185, Min=-6.6896, Max=8.3743, RMS=2.7185
  Col 46: Mean=0.0044, Std=1.4135, Min=-7.0933, Max=6.3183, RMS=1.4135
  Col 47: Mean=-0.0077, Std=3.8059, Min=-9.6161, Max=23.3600, RMS=3.8059
  Col 48: Mean=0.0826, Std=3.8920, Min=-10.4541, Max=13.5304, RMS=3.8929
  Col 49: Mean=-0.0119, Std=2.1270, Min=-13.1503, Max=6.8138, RMS=2.1271
  Col 50: Mean=-0.0624, Std=4.2235, Min=-11.1812, Max=31.6409, RMS=4.2239
  Col 51: Mean=0.1711, Std=6.5969, Min=-46.9718, Max=18.4762, RMS=6.5991
  Col 52: Mean=0.0239, Std=5.4870, Min=-63.2028, Max=40.9213, RMS=5.4871
  Col 53: Mean=-0.0263, Std=7.0721, Min=-23.6443, Max=43.2830, RMS=7.0721
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0144, Std=2.9841, Min=-8.0286, Max=11.2254, RMS=2.9841
  Col 58: Mean=0.0106, Std=1.9098, Min=-8.1458, Max=21.4617, RMS=1.9099
  Col 59: Mean=-0.0096, Std=3.4186, Min=-9.8371, Max=24.5097, RMS=3.4186
  Col 60: Mean=0.0552, Std=4.3118, Min=-12.7868, Max=19.3174, RMS=4.3121
  Col 61: Mean=0.0271, Std=1.5050, Min=-3.7638, Max=6.9199, RMS=1.5053
  Col 62: Mean=-0.0672, Std=3.7766, Min=-9.3248, Max=40.5178, RMS=3.7772
  Col 63: Mean=0.1189, Std=6.7735, Min=-42.2739, Max=21.8670, RMS=6.7745
  Col 64: Mean=0.0225, Std=2.5401, Min=-21.5729, Max=24.8094, RMS=2.5402
  Col 65: Mean=-0.0653, Std=6.5879, Min=-24.3350, Max=42.0130, RMS=6.5882
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=5.3300, Std=7.3919, Min=-12.2762, Max=17.8124, RMS=9.1131
  Col 1: Mean=-63.5233, Std=4.4468, Min=-72.7800, Max=-56.9025, RMS=63.6787
  Col 2: Mean=10.2422, Std=7.0614, Min=-3.0309, Max=26.1224, RMS=12.4405
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
