--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/MariaVittoria/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0044, Std=2.0389, Min=-5.9091, Max=5.2813, RMS=2.0389
  Col 1: Mean=0.0015, Std=1.5953, Min=-4.8009, Max=5.4528, RMS=1.5953
  Col 2: Mean=0.0008, Std=2.6851, Min=-3.9770, Max=10.4991, RMS=2.6851
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0073, Std=0.8901, Min=-2.4097, Max=3.6305, RMS=0.8902
  Col 13: Mean=-0.0000, Std=0.8829, Min=-2.8709, Max=2.7793, RMS=0.8829
  Col 14: Mean=-0.0007, Std=2.4897, Min=-3.9846, Max=7.3717, RMS=2.4897
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0015, Std=0.5347, Min=-1.8860, Max=2.6850, RMS=0.5347
  Col 19: Mean=0.0007, Std=0.5958, Min=-1.6142, Max=1.7586, RMS=0.5958
  Col 20: Mean=0.0011, Std=2.4046, Min=-3.7384, Max=7.9243, RMS=2.4046
  Col 21: Mean=-0.0094, Std=0.9578, Min=-3.4453, Max=2.9863, RMS=0.9579
  Col 22: Mean=-0.0020, Std=0.8895, Min=-2.7406, Max=2.8020, RMS=0.8895
  Col 23: Mean=0.0030, Std=2.4482, Min=-4.0373, Max=8.5786, RMS=2.4482
  Col 24: Mean=-0.0018, Std=1.8630, Min=-4.2290, Max=4.4841, RMS=1.8630
  Col 25: Mean=-0.0100, Std=0.8193, Min=-3.2238, Max=2.3885, RMS=0.8194
  Col 26: Mean=-0.0148, Std=2.1046, Min=-3.5921, Max=7.6791, RMS=2.1046
  Col 27: Mean=0.0013, Std=3.8187, Min=-7.4974, Max=8.8927, RMS=3.8187
  Col 28: Mean=0.0009, Std=1.0864, Min=-4.3637, Max=3.2424, RMS=1.0864
  Col 29: Mean=-0.0122, Std=1.8645, Min=-3.0056, Max=7.9356, RMS=1.8645
  Col 30: Mean=0.0224, Std=5.0531, Min=-9.7158, Max=13.1822, RMS=5.0532
  Col 31: Mean=-0.0033, Std=1.3408, Min=-3.3536, Max=3.9895, RMS=1.3408
  Col 32: Mean=-0.0309, Std=2.3382, Min=-6.2729, Max=6.2869, RMS=2.3384
  Col 33: Mean=-0.0090, Std=0.9564, Min=-2.7473, Max=3.8148, RMS=0.9564
  Col 34: Mean=0.0012, Std=1.0026, Min=-3.1866, Max=2.7176, RMS=1.0026
  Col 35: Mean=0.0020, Std=2.4405, Min=-3.8748, Max=9.8999, RMS=2.4405
  Col 36: Mean=-0.0139, Std=1.9403, Min=-7.1292, Max=6.0152, RMS=1.9404
  Col 37: Mean=0.0134, Std=1.1318, Min=-2.7317, Max=3.3213, RMS=1.1319
  Col 38: Mean=-0.0075, Std=2.1521, Min=-3.5978, Max=8.0079, RMS=2.1521
  Col 39: Mean=0.0089, Std=3.4415, Min=-6.0740, Max=9.3243, RMS=3.4415
  Col 40: Mean=0.0113, Std=1.1048, Min=-3.1904, Max=3.5873, RMS=1.1049
  Col 41: Mean=-0.0133, Std=2.0612, Min=-4.2741, Max=6.0977, RMS=2.0612
