--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Matteo/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0138, Std=1.5286, Min=-5.2843, Max=4.7436, RMS=1.5286
  Col 1: Mean=-0.0211, Std=1.7981, Min=-7.0580, Max=4.4688, RMS=1.7982
  Col 2: Mean=0.0098, Std=2.4051, Min=-3.8964, Max=12.4213, RMS=2.4051
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0006, Std=0.9842, Min=-3.0400, Max=2.0843, RMS=0.9842
  Col 13: Mean=-0.0062, Std=0.8105, Min=-2.7958, Max=1.8548, RMS=0.8106
  Col 14: Mean=0.0121, Std=1.8434, Min=-3.8489, Max=7.1387, RMS=1.8435
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0054, Std=1.0376, Min=-2.2803, Max=2.6087, RMS=1.0376
  Col 19: Mean=0.0016, Std=0.9845, Min=-2.7869, Max=2.4751, RMS=0.9845
  Col 20: Mean=0.0108, Std=1.7480, Min=-3.8489, Max=6.7794, RMS=1.7480
  Col 21: Mean=-0.0042, Std=1.1052, Min=-3.1699, Max=1.9981, RMS=1.1052
  Col 22: Mean=-0.0057, Std=0.8202, Min=-2.6150, Max=1.8798, RMS=0.8202
  Col 23: Mean=0.0114, Std=1.9943, Min=-4.0411, Max=7.9992, RMS=1.9944
  Col 24: Mean=0.0020, Std=1.0404, Min=-4.0621, Max=3.2556, RMS=1.0404
  Col 25: Mean=-0.0046, Std=1.0794, Min=-2.5197, Max=2.7376, RMS=1.0794
  Col 26: Mean=0.0061, Std=2.2041, Min=-4.1810, Max=8.4682, RMS=2.2041
  Col 27: Mean=-0.0156, Std=0.8781, Min=-2.7738, Max=2.5005, RMS=0.8782
  Col 28: Mean=0.0167, Std=1.5731, Min=-4.3996, Max=3.1563, RMS=1.5732
  Col 29: Mean=0.0073, Std=2.2227, Min=-4.8057, Max=7.2994, RMS=2.2227
  Col 30: Mean=-0.0213, Std=0.9777, Min=-4.1813, Max=2.4459, RMS=0.9780
  Col 31: Mean=0.0334, Std=2.3483, Min=-6.8565, Max=5.9069, RMS=2.3485
  Col 32: Mean=0.0129, Std=2.1905, Min=-3.5055, Max=7.4260, RMS=2.1905
  Col 33: Mean=-0.0062, Std=1.1453, Min=-3.1283, Max=2.6163, RMS=1.1454
  Col 34: Mean=-0.0024, Std=0.8636, Min=-2.1479, Max=2.1811, RMS=0.8636
  Col 35: Mean=0.0088, Std=1.9340, Min=-4.3894, Max=8.1127, RMS=1.9340
  Col 36: Mean=-0.0129, Std=0.9568, Min=-2.7320, Max=3.5090, RMS=0.9569
  Col 37: Mean=-0.0087, Std=1.3621, Min=-4.5989, Max=4.3376, RMS=1.3621
  Col 38: Mean=0.0071, Std=1.9544, Min=-4.5473, Max=7.9146, RMS=1.9545
