--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Matteo/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0140, Std=1.4375, Min=-6.9802, Max=7.5046, RMS=1.4376
  Col 1: Mean=-0.0043, Std=1.9983, Min=-6.5966, Max=5.8750, RMS=1.9983
  Col 2: Mean=-0.0030, Std=2.0225, Min=-4.9975, Max=9.3564, RMS=2.0225
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0107, Std=0.9598, Min=-2.5824, Max=2.9171, RMS=0.9599
  Col 13: Mean=0.0129, Std=1.1465, Min=-2.4559, Max=3.8429, RMS=1.1466
  Col 14: Mean=-0.0082, Std=2.3804, Min=-5.0671, Max=7.6093, RMS=2.3804
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0108, Std=1.2671, Min=-2.4983, Max=3.0448, RMS=1.2672
  Col 19: Mean=-0.0179, Std=1.0455, Min=-3.2375, Max=3.8328, RMS=1.0457
  Col 20: Mean=-0.0146, Std=2.0664, Min=-3.8391, Max=7.1600, RMS=2.0664
  Col 21: Mean=0.0048, Std=1.4454, Min=-2.7733, Max=5.0630, RMS=1.4454
  Col 22: Mean=-0.0264, Std=1.1786, Min=-2.9875, Max=3.1566, RMS=1.1789
  Col 23: Mean=-0.2496, Std=2.2399, Min=-9.0243, Max=8.3479, RMS=2.2538
  Col 24: Mean=0.0121, Std=1.0493, Min=-3.1696, Max=2.7106, RMS=1.0494
  Col 25: Mean=0.0126, Std=1.3913, Min=-2.6898, Max=3.7948, RMS=1.3914
  Col 26: Mean=-0.0117, Std=2.3503, Min=-4.7576, Max=9.3175, RMS=2.3503
  Col 27: Mean=-0.0122, Std=0.8066, Min=-1.5158, Max=2.2536, RMS=0.8066
  Col 28: Mean=-0.0040, Std=1.8344, Min=-4.0416, Max=4.7111, RMS=1.8344
  Col 29: Mean=-0.0179, Std=2.0783, Min=-4.7162, Max=6.2714, RMS=2.0784
  Col 30: Mean=-0.0058, Std=0.9826, Min=-2.6932, Max=2.9517, RMS=0.9826
  Col 31: Mean=0.0182, Std=2.7394, Min=-6.2732, Max=8.6422, RMS=2.7395
  Col 32: Mean=-0.0178, Std=2.0880, Min=-4.8734, Max=6.5903, RMS=2.0881
  Col 33: Mean=-0.0077, Std=1.3733, Min=-3.6764, Max=3.4478, RMS=1.3734
  Col 34: Mean=-0.0036, Std=1.1920, Min=-3.3315, Max=3.1845, RMS=1.1920
  Col 35: Mean=-0.0012, Std=1.6322, Min=-3.8387, Max=8.5922, RMS=1.6322
  Col 36: Mean=-0.0163, Std=0.7799, Min=-2.3888, Max=2.1718, RMS=0.7801
  Col 37: Mean=0.0013, Std=1.5144, Min=-3.3825, Max=3.9665, RMS=1.5144
  Col 38: Mean=-0.0109, Std=2.1252, Min=-4.0036, Max=7.5969, RMS=2.1252
  Col 39: Mean=-0.0041, Std=0.9198, Min=-2.4956, Max=3.2898, RMS=0.9199
  Col 40: Mean=0.0196, Std=2.5008, Min=-5.8680, Max=6.7710, RMS=2.5009
  Col 41: Mean=-0.0164, Std=1.6757, Min=-3.9314, Max=7.6210, RMS=1.6758
  Col 42: Mean=-0.0066, Std=1.3896, Min=-2.6811, Max=5.0117, RMS=1.3896
  Col 43: Mean=0.0144, Std=3.3465, Min=-10.0165, Max=9.0650, RMS=3.3466
