--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Matteo/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0037, Std=1.3022, Min=-4.9999, Max=4.4602, RMS=1.3022
  Col 1: Mean=0.0015, Std=1.7088, Min=-6.4911, Max=5.1949, RMS=1.7088
  Col 2: Mean=-0.0064, Std=1.4892, Min=-3.5594, Max=7.3713, RMS=1.4892
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0105, Std=0.9308, Min=-2.4564, Max=2.7231, RMS=0.9309
  Col 13: Mean=-0.0018, Std=0.9274, Min=-2.3553, Max=3.2374, RMS=0.9274
  Col 14: Mean=-0.0084, Std=1.9864, Min=-4.6698, Max=6.2085, RMS=1.9864
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0088, Std=1.1357, Min=-1.8964, Max=2.5765, RMS=1.1357
  Col 19: Mean=-0.0032, Std=1.0216, Min=-2.3922, Max=4.4323, RMS=1.0216
  Col 20: Mean=-0.0103, Std=1.7424, Min=-3.6737, Max=7.2528, RMS=1.7425
  Col 21: Mean=0.0083, Std=1.2959, Min=-3.3621, Max=3.6098, RMS=1.2959
  Col 22: Mean=-0.0006, Std=1.0585, Min=-2.7644, Max=2.9170, RMS=1.0585
  Col 23: Mean=-0.2399, Std=1.9224, Min=-8.7586, Max=5.9947, RMS=1.9373
  Col 24: Mean=-0.0116, Std=0.9225, Min=-2.6593, Max=2.9118, RMS=0.9226
  Col 25: Mean=-0.0015, Std=1.1606, Min=-2.3095, Max=3.6505, RMS=1.1606
  Col 26: Mean=-0.0131, Std=1.8843, Min=-3.9327, Max=6.8990, RMS=1.8843
  Col 27: Mean=-0.0052, Std=0.6395, Min=-1.6216, Max=1.6202, RMS=0.6395
  Col 28: Mean=-0.0171, Std=1.3767, Min=-3.6627, Max=3.5753, RMS=1.3768
  Col 29: Mean=-0.0094, Std=1.7124, Min=-4.0163, Max=6.1046, RMS=1.7124
  Col 30: Mean=0.0022, Std=0.6964, Min=-1.6414, Max=1.6958, RMS=0.6964
  Col 31: Mean=-0.0339, Std=1.9735, Min=-6.4725, Max=6.2937, RMS=1.9738
  Col 32: Mean=-0.0039, Std=1.6813, Min=-3.9345, Max=5.9635, RMS=1.6813
  Col 33: Mean=-0.0065, Std=1.3264, Min=-4.3603, Max=2.9596, RMS=1.3264
  Col 34: Mean=-0.0026, Std=0.9675, Min=-2.1944, Max=2.6788, RMS=0.9675
  Col 35: Mean=-0.0051, Std=1.4316, Min=-2.6541, Max=6.6351, RMS=1.4316
  Col 36: Mean=-0.0086, Std=0.9157, Min=-2.8799, Max=2.4124, RMS=0.9158
  Col 37: Mean=0.0061, Std=1.2723, Min=-4.6004, Max=3.3764, RMS=1.2724
  Col 38: Mean=-0.0078, Std=1.8948, Min=-3.9693, Max=7.4072, RMS=1.8949
  Col 39: Mean=-0.0110, Std=0.7819, Min=-2.3518, Max=2.2676, RMS=0.7820
  Col 40: Mean=0.0113, Std=2.1633, Min=-5.4338, Max=6.2915, RMS=2.1633
  Col 41: Mean=-0.0164, Std=1.4902, Min=-3.0483, Max=4.7013, RMS=1.4903
  Col 42: Mean=-0.0154, Std=1.1492, Min=-3.0856, Max=3.8996, RMS=1.1493
  Col 43: Mean=0.0127, Std=2.8981, Min=-7.3970, Max=8.4103, RMS=2.8981
  Col 44: Mean=-0.0241, Std=1.4681, Min=-3.3645, Max=4.1656, RMS=1.4683
  Col 45: Mean=0.0085, Std=2.2679, Min=-12.4840, Max=7.8926, RMS=2.2679
  Col 46: Mean=-0.0110, Std=3.4460, Min=-13.3811, Max=10.4466, RMS=3.4461
  Col 47: Mean=-0.0077, Std=2.4993, Min=-12.2480, Max=9.2735, RMS=2.4993
  Col 48: Mean=-0.0151, Std=2.6561, Min=-9.8246, Max=14.1487, RMS=2.6561
  Col 49: Mean=-0.0349, Std=4.3140, Min=-18.8100, Max=11.2779, RMS=4.3142
  Col 50: Mean=-0.0817, Std=2.7114, Min=-12.4899, Max=15.4057, RMS=2.7126
  Col 51: Mean=-0.0646, Std=2.6485, Min=-15.6995, Max=16.7359, RMS=2.6493
  Col 52: Mean=-0.0521, Std=8.0948, Min=-33.2103, Max=38.7900, RMS=8.0950
  Col 53: Mean=-0.0876, Std=5.2233, Min=-28.3169, Max=17.5993, RMS=5.2240
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0119, Std=2.0033, Min=-6.6882, Max=11.2026, RMS=2.0034
  Col 58: Mean=-0.0144, Std=3.8585, Min=-14.4827, Max=14.2404, RMS=3.8585
  Col 59: Mean=0.0023, Std=2.6679, Min=-13.0514, Max=10.9118, RMS=2.6679
  Col 60: Mean=0.0088, Std=1.9990, Min=-9.8373, Max=9.4603, RMS=1.9991
  Col 61: Mean=-0.0294, Std=3.7529, Min=-13.1099, Max=9.0295, RMS=3.7530
  Col 62: Mean=-0.0649, Std=2.5265, Min=-10.4271, Max=11.4274, RMS=2.5274
  Col 63: Mean=0.0453, Std=2.2626, Min=-7.5171, Max=14.5897, RMS=2.2631
  Col 64: Mean=-0.0583, Std=8.2597, Min=-29.3014, Max=38.4764, RMS=8.2599
  Col 65: Mean=-0.0968, Std=5.2461, Min=-24.3439, Max=15.7558, RMS=5.2470
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-18.3737, Std=4.7008, Min=-32.1072, Max=-6.4363, RMS=18.9655
  Col 1: Mean=-71.2775, Std=2.9686, Min=-77.8249, Max=-64.2205, RMS=71.3393
  Col 2: Mean=-77.5906, Std=5.3689, Min=-89.7235, Max=-60.0408, RMS=77.7761
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
