--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Matteo/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0227, Std=2.5662, Min=-25.7307, Max=12.3769, RMS=2.5663
  Col 1: Mean=-0.0195, Std=2.7218, Min=-13.1467, Max=16.6897, RMS=2.7219
  Col 2: Mean=0.0089, Std=5.7630, Min=-11.1761, Max=42.7961, RMS=5.7630
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0021, Std=1.0603, Min=-2.7305, Max=4.0899, RMS=1.0603
  Col 13: Mean=-0.0034, Std=1.0909, Min=-4.5273, Max=2.9074, RMS=1.0909
  Col 14: Mean=0.0134, Std=4.0198, Min=-10.7300, Max=18.2985, RMS=4.0198
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0035, Std=1.1166, Min=-2.9986, Max=2.5461, RMS=1.1166
  Col 19: Mean=-0.0117, Std=1.2980, Min=-3.5237, Max=6.2487, RMS=1.2980
  Col 20: Mean=0.0061, Std=3.1193, Min=-9.7013, Max=10.4878, RMS=3.1193
  Col 21: Mean=0.0131, Std=1.5469, Min=-9.5946, Max=5.1113, RMS=1.5470
  Col 22: Mean=0.0211, Std=1.2347, Min=-6.5792, Max=4.6508, RMS=1.2349
  Col 23: Mean=0.0060, Std=3.5997, Min=-8.7250, Max=19.1800, RMS=3.5997
  Col 24: Mean=0.0198, Std=2.1749, Min=-12.1098, Max=10.6576, RMS=2.1750
  Col 25: Mean=-0.0010, Std=1.8329, Min=-7.1748, Max=5.2561, RMS=1.8329
  Col 26: Mean=-0.0220, Std=3.9078, Min=-9.1079, Max=18.1318, RMS=3.9079
  Col 27: Mean=-0.0114, Std=1.1926, Min=-3.8623, Max=4.0285, RMS=1.1927
  Col 28: Mean=0.0098, Std=2.0460, Min=-6.5815, Max=4.3728, RMS=2.0461
  Col 29: Mean=-0.0187, Std=3.5445, Min=-6.8571, Max=13.6865, RMS=3.5445
  Col 30: Mean=-0.0418, Std=1.8477, Min=-8.8708, Max=3.7447, RMS=1.8481
  Col 31: Mean=0.0237, Std=3.0499, Min=-10.7248, Max=8.3887, RMS=3.0500
  Col 32: Mean=-0.0529, Std=3.2642, Min=-6.2940, Max=14.6056, RMS=3.2646
  Col 33: Mean=-0.0253, Std=1.6764, Min=-9.6641, Max=4.8291, RMS=1.6766
  Col 34: Mean=-0.0214, Std=1.1261, Min=-9.3063, Max=4.8549, RMS=1.1263
  Col 35: Mean=-0.0038, Std=3.7515, Min=-8.6430, Max=18.9070, RMS=3.7515
  Col 36: Mean=-0.0080, Std=1.9150, Min=-10.4118, Max=9.8815, RMS=1.9151
  Col 37: Mean=-0.0088, Std=1.9182, Min=-7.8288, Max=8.2040, RMS=1.9183
  Col 38: Mean=-0.0105, Std=4.2755, Min=-10.3871, Max=20.8021, RMS=4.2755
  Col 39: Mean=0.0196, Std=2.0489, Min=-6.7767, Max=8.9883, RMS=2.0490
  Col 40: Mean=0.0582, Std=2.0927, Min=-11.5724, Max=4.9721, RMS=2.0935
  Col 41: Mean=0.0027, Std=3.9287, Min=-8.4891, Max=13.8260, RMS=3.9287
  Col 42: Mean=0.0437, Std=2.6971, Min=-5.9414, Max=16.6194, RMS=2.6975
  Col 43: Mean=0.1044, Std=3.4826, Min=-16.0012, Max=11.6610, RMS=3.4842
  Col 44: Mean=-0.0401, Std=4.1467, Min=-9.1772, Max=16.8329, RMS=4.1469
  Col 45: Mean=-0.0011, Std=4.2357, Min=-23.6607, Max=16.6921, RMS=4.2357
  Col 46: Mean=-0.0118, Std=4.7926, Min=-14.8267, Max=14.7983, RMS=4.7926
  Col 47: Mean=-0.0111, Std=4.5378, Min=-14.7952, Max=26.2355, RMS=4.5378
  Col 48: Mean=-0.0151, Std=4.6654, Min=-23.0816, Max=18.8088, RMS=4.6654
  Col 49: Mean=0.0778, Std=5.7735, Min=-15.9448, Max=20.9109, RMS=5.7740
  Col 50: Mean=-0.1391, Std=4.5525, Min=-15.3739, Max=28.6069, RMS=4.5546
  Col 51: Mean=0.0945, Std=6.2313, Min=-28.3282, Max=45.6049, RMS=6.2320
  Col 52: Mean=0.0065, Std=9.0244, Min=-26.5109, Max=22.7104, RMS=9.0244
  Col 53: Mean=-0.0204, Std=7.6709, Min=-28.2783, Max=40.7883, RMS=7.6710
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0066, Std=4.0360, Min=-15.6461, Max=17.3662, RMS=4.0360
  Col 58: Mean=-0.0103, Std=5.4146, Min=-13.3395, Max=21.3533, RMS=5.4146
  Col 59: Mean=-0.0134, Std=4.0722, Min=-12.7389, Max=20.3654, RMS=4.0723
  Col 60: Mean=-0.0060, Std=4.0313, Min=-15.3142, Max=14.5545, RMS=4.0314
  Col 61: Mean=0.0484, Std=5.6946, Min=-18.5078, Max=18.8636, RMS=5.6948
  Col 62: Mean=-0.1463, Std=4.1524, Min=-15.6208, Max=23.5298, RMS=4.1550
  Col 63: Mean=-0.0702, Std=4.9076, Min=-31.2105, Max=17.9673, RMS=4.9081
  Col 64: Mean=-0.0359, Std=9.2334, Min=-41.0636, Max=30.2089, RMS=9.2335
  Col 65: Mean=-0.0614, Std=7.9950, Min=-35.7433, Max=46.3986, RMS=7.9952
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-27.0126, Std=9.1601, Min=-71.3358, Max=-7.4591, RMS=28.5235
  Col 1: Mean=-76.1020, Std=3.7605, Min=-85.8423, Max=-65.7009, RMS=76.1949
  Col 2: Mean=125.7529, Std=10.3045, Min=103.6182, Max=174.2910, RMS=126.1744
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
