--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Matteo/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0178, Std=1.9357, Min=-9.2920, Max=7.1408, RMS=1.9358
  Col 1: Mean=0.0015, Std=2.4899, Min=-11.3789, Max=17.5135, RMS=2.4899
  Col 2: Mean=-0.0006, Std=3.4893, Min=-10.7664, Max=28.8033, RMS=3.4893
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0075, Std=1.1781, Min=-3.6287, Max=2.8173, RMS=1.1781
  Col 13: Mean=-0.0007, Std=1.1423, Min=-2.3509, Max=3.0222, RMS=1.1423
  Col 14: Mean=0.0025, Std=2.4583, Min=-6.0002, Max=10.1358, RMS=2.4583
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0100, Std=1.5732, Min=-3.1238, Max=3.8154, RMS=1.5732
  Col 19: Mean=0.0002, Std=1.2031, Min=-2.6967, Max=4.5257, RMS=1.2031
  Col 20: Mean=-0.0027, Std=2.0385, Min=-7.2829, Max=5.7056, RMS=2.0385
  Col 21: Mean=-0.0155, Std=1.9302, Min=-5.1638, Max=6.4185, RMS=1.9303
  Col 22: Mean=-0.0107, Std=1.8276, Min=-7.7681, Max=7.2715, RMS=1.8276
  Col 23: Mean=0.0028, Std=2.2585, Min=-10.6720, Max=10.2283, RMS=2.2585
  Col 24: Mean=-0.0121, Std=1.4373, Min=-4.4818, Max=7.7447, RMS=1.4374
  Col 25: Mean=0.0128, Std=2.1965, Min=-4.4553, Max=6.1562, RMS=2.1966
  Col 26: Mean=-0.0069, Std=2.6223, Min=-8.6082, Max=8.5699, RMS=2.6223
  Col 27: Mean=-0.0179, Std=1.5566, Min=-4.4717, Max=6.0139, RMS=1.5567
  Col 28: Mean=0.0277, Std=3.4737, Min=-7.1844, Max=9.0340, RMS=3.4738
  Col 29: Mean=-0.0290, Std=2.9435, Min=-8.9401, Max=11.4858, RMS=2.9436
  Col 30: Mean=-0.0190, Std=2.3090, Min=-7.5690, Max=8.1466, RMS=2.3091
  Col 31: Mean=0.0330, Std=4.5061, Min=-8.9527, Max=12.4571, RMS=4.5063
  Col 32: Mean=-0.0411, Std=3.0461, Min=-10.9914, Max=10.7352, RMS=3.0464
  Col 33: Mean=-0.0417, Std=1.9915, Min=-6.1925, Max=5.5288, RMS=1.9919
  Col 34: Mean=0.0051, Std=1.5705, Min=-5.9241, Max=5.8601, RMS=1.5705
  Col 35: Mean=-0.2771, Std=2.9997, Min=-10.6884, Max=11.2300, RMS=3.0125
  Col 36: Mean=-0.0239, Std=1.6069, Min=-5.5916, Max=4.5327, RMS=1.6071
  Col 37: Mean=0.0600, Std=2.7587, Min=-6.5996, Max=7.6517, RMS=2.7593
  Col 38: Mean=-0.1569, Std=2.8802, Min=-9.8740, Max=6.7000, RMS=2.8844
  Col 39: Mean=0.0090, Std=1.6053, Min=-5.4056, Max=4.2629, RMS=1.6053
  Col 40: Mean=0.0094, Std=5.2974, Min=-12.4733, Max=11.8825, RMS=5.2974
  Col 41: Mean=-0.0247, Std=3.3743, Min=-10.4079, Max=11.7964, RMS=3.3744
  Col 42: Mean=0.0120, Std=2.3459, Min=-6.4436, Max=9.3262, RMS=2.3459
  Col 43: Mean=-0.0403, Std=6.8813, Min=-16.3549, Max=13.9993, RMS=6.8814
  Col 44: Mean=-0.0498, Std=4.2282, Min=-13.1487, Max=11.7833, RMS=4.2285
  Col 45: Mean=-0.0326, Std=3.6279, Min=-15.5609, Max=15.8728, RMS=3.6280
  Col 46: Mean=-0.0065, Std=5.3985, Min=-24.3386, Max=19.1668, RMS=5.3985
  Col 47: Mean=-0.0313, Std=6.0658, Min=-17.3490, Max=31.0230, RMS=6.0659
  Col 48: Mean=0.0455, Std=4.2434, Min=-30.6039, Max=18.4798, RMS=4.2436
  Col 49: Mean=-0.2024, Std=6.7597, Min=-32.6721, Max=30.1619, RMS=6.7627
  Col 50: Mean=-0.1262, Std=7.9402, Min=-20.9702, Max=57.2255, RMS=7.9412
  Col 51: Mean=0.0535, Std=3.3888, Min=-31.7635, Max=16.9360, RMS=3.3892
  Col 52: Mean=-0.2402, Std=10.7291, Min=-32.2006, Max=78.4819, RMS=10.7318
  Col 53: Mean=-0.2501, Std=9.0466, Min=-23.7403, Max=59.1980, RMS=9.0500
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0195, Std=2.7616, Min=-8.9708, Max=12.8034, RMS=2.7617
  Col 58: Mean=0.0047, Std=5.4801, Min=-22.8363, Max=16.6225, RMS=5.4801
  Col 59: Mean=-0.0300, Std=6.2166, Min=-20.4715, Max=26.4902, RMS=6.2167
  Col 60: Mean=0.0637, Std=3.6088, Min=-19.8218, Max=27.4465, RMS=3.6094
  Col 61: Mean=-0.1405, Std=6.3328, Min=-20.9331, Max=44.7984, RMS=6.3343
  Col 62: Mean=-0.1296, Std=6.1563, Min=-19.3742, Max=38.9097, RMS=6.1576
  Col 63: Mean=0.1313, Std=3.4223, Min=-25.2470, Max=16.6659, RMS=3.4248
  Col 64: Mean=-0.2343, Std=10.4454, Min=-23.4089, Max=71.4694, RMS=10.4480
  Col 65: Mean=-0.2027, Std=9.0880, Min=-24.9650, Max=67.7186, RMS=9.0903
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-20.7620, Std=7.9765, Min=-39.2184, Max=4.6243, RMS=22.2415
  Col 1: Mean=-71.4025, Std=3.0100, Min=-80.8110, Max=-62.7323, RMS=71.4659
  Col 2: Mean=-65.1020, Std=7.9949, Min=-89.2841, Max=-49.3856, RMS=65.5911
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-1.5350, Std=18.1916, Min=-38.3695, Max=42.3347, RMS=18.2563
  Col 13: Mean=-72.9242, Std=4.8873, Min=-83.9326, Max=-60.1197, RMS=73.0878
  Col 14: Mean=94.7790, Std=20.2074, Min=46.2356, Max=133.1876, RMS=96.9093
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-83.0634, Std=1.6110, Min=-86.9082, Max=-79.5866, RMS=83.0791
  Col 19: Mean=2.1227, Std=4.4002, Min=-7.8999, Max=13.9514, RMS=4.8854
  Col 20: Mean=77.1289, Std=3.7520, Min=69.6308, Max=86.1091, RMS=77.2201
  Col 21: Mean=49.4066, Std=5.1038, Min=39.7747, Max=61.9701, RMS=49.6695
  Col 22: Mean=5.0145, Std=5.4587, Min=-4.9423, Max=16.4299, RMS=7.4123
  Col 23: Mean=-164.5519, Std=6.3304, Min=-177.2886, Max=-149.2320, RMS=164.6737
  Col 24: Mean=96.8661, Std=15.5208, Min=56.3052, Max=125.8507, RMS=98.1017
  Col 25: Mean=-68.5278, Std=5.4813, Min=-78.2302, Max=-57.0320, RMS=68.7467
  Col 26: Mean=-17.0275, Std=21.4047, Min=-52.1947, Max=29.3992, RMS=27.3514
  Col 27: Mean=-12.9608, Std=11.4077, Min=-42.2595, Max=23.4139, RMS=17.2661
  Col 28: Mean=-58.6282, Std=10.8363, Min=-78.1168, Max=-36.8897, RMS=59.6213
  Col 29: Mean=90.1360, Std=18.3422, Min=41.2426, Max=119.2918, RMS=91.9833
  Col 30: Mean=-59.7153, Std=7.6493, Min=-73.8247, Max=-36.5212, RMS=60.2032
  Col 31: Mean=13.8722, Std=11.9075, Min=-4.2018, Max=46.6385, RMS=18.2819
  Col 32: Mean=127.8413, Std=14.2752, Min=98.9111, Max=162.4315, RMS=128.6358
  Col 33: Mean=64.0142, Std=22.9358, Min=42.1226, Max=173.9536, RMS=67.9990
  Col 34: Mean=4.9784, Std=5.6653, Min=-5.5426, Max=18.1530, RMS=7.5419
