--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Matteo/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0019, Std=1.7730, Min=-6.8057, Max=8.3152, RMS=1.7730
  Col 1: Mean=0.0016, Std=2.1875, Min=-7.0508, Max=7.1571, RMS=2.1875
  Col 2: Mean=-0.0008, Std=2.6272, Min=-6.2658, Max=12.0424, RMS=2.6272
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0026, Std=1.0505, Min=-2.9005, Max=2.8961, RMS=1.0505
  Col 13: Mean=0.0173, Std=1.1894, Min=-2.5368, Max=4.3125, RMS=1.1895
  Col 14: Mean=0.0043, Std=2.6654, Min=-5.4309, Max=8.3731, RMS=2.6654
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0031, Std=1.3560, Min=-4.1442, Max=2.9326, RMS=1.3560
  Col 19: Mean=0.0086, Std=1.2883, Min=-3.5478, Max=3.4140, RMS=1.2883
  Col 20: Mean=-0.0042, Std=2.2638, Min=-4.0033, Max=6.5492, RMS=2.2638
  Col 21: Mean=-0.0096, Std=1.6914, Min=-5.2156, Max=5.0218, RMS=1.6914
  Col 22: Mean=0.0102, Std=1.8493, Min=-3.6542, Max=7.8583, RMS=1.8494
  Col 23: Mean=-0.0054, Std=1.8614, Min=-3.1312, Max=7.6235, RMS=1.8615
  Col 24: Mean=-0.0040, Std=1.3917, Min=-3.6062, Max=4.6899, RMS=1.3917
  Col 25: Mean=0.0179, Std=1.8840, Min=-3.3732, Max=5.9907, RMS=1.8841
  Col 26: Mean=-0.0010, Std=2.4728, Min=-4.3869, Max=7.9114, RMS=2.4728
  Col 27: Mean=-0.0027, Std=1.1104, Min=-3.4670, Max=4.3322, RMS=1.1104
  Col 28: Mean=-0.0192, Std=2.8147, Min=-5.9503, Max=8.8745, RMS=2.8148
  Col 29: Mean=0.0001, Std=2.0928, Min=-3.8085, Max=6.3732, RMS=2.0928
  Col 30: Mean=-0.0009, Std=1.3033, Min=-4.4426, Max=3.6044, RMS=1.3033
  Col 31: Mean=-0.0255, Std=3.7017, Min=-7.5020, Max=12.8473, RMS=3.7018
  Col 32: Mean=-0.0072, Std=2.1303, Min=-5.5431, Max=7.5333, RMS=2.1303
  Col 33: Mean=-0.0150, Std=1.8284, Min=-6.1214, Max=5.7134, RMS=1.8285
  Col 34: Mean=0.0391, Std=1.3495, Min=-3.2873, Max=5.7819, RMS=1.3501
  Col 35: Mean=-0.2836, Std=2.5962, Min=-9.0184, Max=7.7983, RMS=2.6117
  Col 36: Mean=-0.0103, Std=1.4987, Min=-5.0331, Max=3.9050, RMS=1.4987
  Col 37: Mean=0.0584, Std=2.2029, Min=-6.5571, Max=8.3547, RMS=2.2037
  Col 38: Mean=-0.0595, Std=2.1442, Min=-8.8411, Max=5.5301, RMS=2.1450
  Col 39: Mean=0.0118, Std=1.6751, Min=-5.4733, Max=4.6672, RMS=1.6752
  Col 40: Mean=0.1334, Std=4.5136, Min=-11.7553, Max=13.3856, RMS=4.5156
  Col 41: Mean=-0.1275, Std=2.4404, Min=-10.7164, Max=5.9598, RMS=2.4437
  Col 42: Mean=0.0340, Std=2.4885, Min=-8.5666, Max=9.6890, RMS=2.4888
