--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Matteo/imu/walk/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0131, Std=2.1166, Min=-4.5988, Max=6.8569, RMS=2.1167
  Col 1: Mean=0.0430, Std=1.6289, Min=-5.6539, Max=4.4900, RMS=1.6295
  Col 2: Mean=-0.1646, Std=2.0433, Min=-8.9161, Max=9.5859, RMS=2.0499
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0076, Std=0.9323, Min=-2.2067, Max=3.4629, RMS=0.9323
  Col 13: Mean=0.0080, Std=1.3149, Min=-4.2132, Max=2.8140, RMS=1.3149
  Col 14: Mean=-0.0026, Std=2.3718, Min=-5.3281, Max=6.1751, RMS=2.3718
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0020, Std=0.7981, Min=-2.5528, Max=2.8943, RMS=0.7981
  Col 19: Mean=0.0064, Std=1.3029, Min=-3.0898, Max=4.1700, RMS=1.3030
  Col 20: Mean=-0.0030, Std=1.9128, Min=-3.3498, Max=6.8750, RMS=1.9128
  Col 21: Mean=0.0077, Std=0.9058, Min=-2.1934, Max=3.1544, RMS=0.9058
  Col 22: Mean=0.0071, Std=1.4248, Min=-3.1942, Max=3.5957, RMS=1.4248
  Col 23: Mean=-0.0033, Std=1.7962, Min=-3.3354, Max=6.8141, RMS=1.7962
  Col 24: Mean=0.0171, Std=1.4369, Min=-4.3539, Max=3.2081, RMS=1.4371
  Col 25: Mean=0.0186, Std=1.3730, Min=-4.8916, Max=2.9123, RMS=1.3731
  Col 26: Mean=-0.0127, Std=2.2483, Min=-5.0080, Max=6.6350, RMS=2.2483
  Col 27: Mean=0.0011, Std=3.2060, Min=-6.6436, Max=7.8412, RMS=3.2060
  Col 28: Mean=0.0093, Std=1.6715, Min=-4.5423, Max=4.2334, RMS=1.6715
  Col 29: Mean=-0.0215, Std=1.9045, Min=-5.2632, Max=6.9694, RMS=1.9046
  Col 30: Mean=-0.0202, Std=4.4498, Min=-10.4747, Max=11.3613, RMS=4.4498
  Col 31: Mean=0.0032, Std=1.9737, Min=-5.7093, Max=6.0029, RMS=1.9737
  Col 32: Mean=-0.0399, Std=2.4900, Min=-7.7855, Max=6.9625, RMS=2.4903
  Col 33: Mean=0.0091, Std=1.1054, Min=-3.1358, Max=3.0342, RMS=1.1054
