--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Matteo/imu/walk/Run_4
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0085, Std=2.0876, Min=-5.2974, Max=6.7575, RMS=2.0877
  Col 1: Mean=-0.0219, Std=1.6664, Min=-5.6640, Max=4.8172, RMS=1.6666
  Col 2: Mean=-0.3803, Std=2.5776, Min=-9.0403, Max=6.9149, RMS=2.6055
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0121, Std=0.9092, Min=-2.0885, Max=3.1411, RMS=0.9093
  Col 13: Mean=-0.0047, Std=1.2680, Min=-3.6784, Max=3.3347, RMS=1.2680
  Col 14: Mean=0.0007, Std=2.3324, Min=-4.9141, Max=5.8027, RMS=2.3324
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0093, Std=0.6789, Min=-1.8865, Max=2.3004, RMS=0.6789
  Col 19: Mean=-0.0086, Std=1.2872, Min=-3.7318, Max=5.0848, RMS=1.2873
  Col 20: Mean=0.0004, Std=1.8237, Min=-3.3928, Max=6.4955, RMS=1.8237
  Col 21: Mean=0.0125, Std=0.9312, Min=-2.4325, Max=2.6090, RMS=0.9312
  Col 22: Mean=0.0024, Std=1.3268, Min=-3.2524, Max=2.9635, RMS=1.3268
  Col 23: Mean=-0.0037, Std=1.7723, Min=-3.1559, Max=7.3209, RMS=1.7723
  Col 24: Mean=-0.0236, Std=1.4112, Min=-3.9712, Max=2.9562, RMS=1.4114
  Col 25: Mean=0.0399, Std=1.1944, Min=-3.7423, Max=2.9341, RMS=1.1950
  Col 26: Mean=-0.0098, Std=2.2102, Min=-4.7359, Max=5.7207, RMS=2.2102
  Col 27: Mean=-0.0531, Std=3.0231, Min=-5.8605, Max=6.6039, RMS=3.0236
  Col 28: Mean=-0.0153, Std=1.0981, Min=-3.2735, Max=3.2302, RMS=1.0982
  Col 29: Mean=-0.0091, Std=1.8625, Min=-3.2182, Max=6.5575, RMS=1.8625
  Col 30: Mean=-0.0665, Std=4.1214, Min=-8.6863, Max=9.5627, RMS=4.1219
  Col 31: Mean=0.0324, Std=1.1312, Min=-3.1405, Max=3.1084, RMS=1.1316
  Col 32: Mean=-0.0300, Std=2.2566, Min=-4.6706, Max=6.4748, RMS=2.2568
  Col 33: Mean=0.0185, Std=1.0302, Min=-2.4533, Max=3.0134, RMS=1.0304
  Col 34: Mean=-0.0147, Std=1.3088, Min=-3.5806, Max=2.9536, RMS=1.3089
  Col 35: Mean=-0.0035, Std=1.7800, Min=-3.3371, Max=8.0877, RMS=1.7800
  Col 36: Mean=-0.0241, Std=1.9043, Min=-4.5861, Max=5.9104, RMS=1.9045
  Col 37: Mean=-0.0474, Std=1.0780, Min=-3.0754, Max=3.1735, RMS=1.0791
  Col 38: Mean=-0.0160, Std=1.8168, Min=-3.9814, Max=6.6047, RMS=1.8168
  Col 39: Mean=-0.0190, Std=3.9865, Min=-8.2573, Max=9.8067, RMS=3.9866
  Col 40: Mean=0.0047, Std=0.9714, Min=-3.2512, Max=3.2891, RMS=0.9714
  Col 41: Mean=-0.0248, Std=1.4674, Min=-4.1704, Max=5.7312, RMS=1.4676
  Col 42: Mean=-0.0159, Std=5.3463, Min=-12.7173, Max=11.7104, RMS=5.3464
  Col 43: Mean=-0.0150, Std=1.5229, Min=-5.5693, Max=4.3086, RMS=1.5229
