--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Romeo/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0024, Std=1.3030, Min=-6.0737, Max=4.8751, RMS=1.3030
  Col 1: Mean=0.0097, Std=1.7408, Min=-3.5192, Max=6.3981, RMS=1.7408
  Col 2: Mean=-0.0024, Std=2.4420, Min=-5.7493, Max=7.8997, RMS=2.4420
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0052, Std=0.8654, Min=-2.0706, Max=2.0901, RMS=0.8655
  Col 13: Mean=0.0015, Std=0.9036, Min=-2.2379, Max=2.2649, RMS=0.9036
  Col 14: Mean=0.0130, Std=1.9125, Min=-4.4373, Max=4.9906, RMS=1.9125
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0063, Std=0.7754, Min=-1.7739, Max=2.0251, RMS=0.7755
  Col 19: Mean=0.0019, Std=0.8686, Min=-2.4152, Max=2.5889, RMS=0.8686
  Col 20: Mean=0.0020, Std=1.7679, Min=-4.1086, Max=6.3526, RMS=1.7679
  Col 21: Mean=0.0035, Std=1.0675, Min=-2.3367, Max=2.8451, RMS=1.0675
  Col 22: Mean=-0.0129, Std=0.9777, Min=-3.0237, Max=2.8974, RMS=0.9778
  Col 23: Mean=-0.0651, Std=2.3077, Min=-8.7855, Max=7.8792, RMS=2.3086
  Col 24: Mean=-0.0055, Std=0.9485, Min=-2.4154, Max=2.6118, RMS=0.9485
  Col 25: Mean=-0.0043, Std=1.2398, Min=-2.4200, Max=4.4087, RMS=1.2398
  Col 26: Mean=0.0068, Std=2.2414, Min=-4.6558, Max=6.8860, RMS=2.2414
  Col 27: Mean=0.0045, Std=0.6447, Min=-2.3511, Max=1.7463, RMS=0.6447
  Col 28: Mean=-0.0208, Std=1.3324, Min=-3.4875, Max=3.5821, RMS=1.3325
  Col 29: Mean=0.0052, Std=2.2413, Min=-4.2943, Max=6.1041, RMS=2.2413
  Col 30: Mean=0.0039, Std=0.6974, Min=-2.2400, Max=2.1221, RMS=0.6974
  Col 31: Mean=-0.0252, Std=1.5578, Min=-3.9720, Max=4.6952, RMS=1.5581
  Col 32: Mean=0.0023, Std=2.2413, Min=-4.5849, Max=5.9722, RMS=2.2413
  Col 33: Mean=0.0012, Std=1.0465, Min=-2.9050, Max=2.8435, RMS=1.0465
  Col 34: Mean=-0.0018, Std=0.9548, Min=-2.7966, Max=2.5945, RMS=0.9548
  Col 35: Mean=0.0154, Std=2.1379, Min=-4.1243, Max=8.9591, RMS=2.1380
  Col 36: Mean=0.0139, Std=0.9344, Min=-2.4064, Max=2.5677, RMS=0.9345
  Col 37: Mean=0.0285, Std=1.3123, Min=-4.5223, Max=3.3303, RMS=1.3126
  Col 38: Mean=-0.0912, Std=2.3153, Min=-8.9799, Max=7.1046, RMS=2.3171
  Col 39: Mean=0.0060, Std=0.7661, Min=-2.8524, Max=2.0267, RMS=0.7661
  Col 40: Mean=-0.0096, Std=2.3018, Min=-5.8226, Max=4.8450, RMS=2.3018
  Col 41: Mean=0.0134, Std=2.0718, Min=-3.9610, Max=6.9207, RMS=2.0719
  Col 42: Mean=0.0156, Std=1.2297, Min=-3.4501, Max=3.4519, RMS=1.2298
  Col 43: Mean=-0.0254, Std=3.2371, Min=-6.5226, Max=6.8773, RMS=3.2372
  Col 44: Mean=0.0078, Std=2.3957, Min=-5.3866, Max=6.4535, RMS=2.3957
  Col 45: Mean=0.0117, Std=2.4182, Min=-9.1020, Max=6.9697, RMS=2.4182
  Col 46: Mean=0.0194, Std=4.1030, Min=-17.8753, Max=13.8018, RMS=4.1030
  Col 47: Mean=0.0192, Std=4.1639, Min=-11.0188, Max=18.4081, RMS=4.1640
  Col 48: Mean=0.0272, Std=2.9804, Min=-10.5368, Max=11.7502, RMS=2.9805
  Col 49: Mean=-0.0510, Std=5.1740, Min=-17.2878, Max=22.8756, RMS=5.1743
  Col 50: Mean=-0.0737, Std=4.0943, Min=-10.9247, Max=26.7099, RMS=4.0949
  Col 51: Mean=-0.0141, Std=4.5584, Min=-16.8963, Max=33.8678, RMS=4.5585
  Col 52: Mean=-0.0529, Std=8.9639, Min=-39.8160, Max=25.6141, RMS=8.9641
  Col 53: Mean=-0.1189, Std=5.7872, Min=-20.2009, Max=26.8330, RMS=5.7884
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0084, Std=2.0886, Min=-6.6528, Max=6.6311, RMS=2.0887
  Col 58: Mean=0.0192, Std=3.8806, Min=-17.2198, Max=11.3047, RMS=3.8807
  Col 59: Mean=0.0174, Std=3.7748, Min=-11.7891, Max=14.1798, RMS=3.7748
  Col 60: Mean=-0.0097, Std=2.9081, Min=-8.7757, Max=13.4782, RMS=2.9082
  Col 61: Mean=-0.0310, Std=4.3541, Min=-17.5348, Max=15.6638, RMS=4.3543
  Col 62: Mean=-0.0646, Std=3.1529, Min=-9.3715, Max=20.2598, RMS=3.1536
  Col 63: Mean=0.0105, Std=3.0788, Min=-14.1340, Max=17.7914, RMS=3.0788
  Col 64: Mean=-0.0672, Std=8.6602, Min=-33.2316, Max=25.2842, RMS=8.6604
  Col 65: Mean=-0.0866, Std=5.4103, Min=-17.9607, Max=25.1292, RMS=5.4110
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-8.5339, Std=11.8814, Min=-50.0650, Max=19.5864, RMS=14.6286
  Col 1: Mean=-80.4695, Std=2.6432, Min=-85.9711, Max=-73.8378, RMS=80.5129
  Col 2: Mean=-84.7920, Std=11.3615, Min=-105.2530, Max=-39.3295, RMS=85.5498
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=4.8024, Std=6.2856, Min=-9.7650, Max=23.0453, RMS=7.9102
  Col 13: Mean=-73.3030, Std=3.4307, Min=-81.5112, Max=-65.2265, RMS=73.3832
  Col 14: Mean=75.1695, Std=6.7275, Min=56.6745, Max=90.0129, RMS=75.4700
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-82.9736, Std=6.6997, Min=-91.8421, Max=-61.5491, RMS=83.2436
  Col 19: Mean=-10.0311, Std=1.4323, Min=-12.1909, Max=-6.7568, RMS=10.1329
  Col 20: Mean=159.4664, Std=3.4828, Min=153.8952, Max=167.6249, RMS=159.5044
  Col 21: Mean=54.0259, Std=12.2506, Min=45.7299, Max=173.7770, RMS=55.3974
  Col 22: Mean=2.8788, Std=1.5389, Min=-0.1720, Max=6.6828, RMS=3.2643
  Col 23: Mean=-146.2831, Std=96.7856, Min=-179.9399, Max=179.8512, RMS=175.4030
  Col 24: Mean=28.6173, Std=10.2682, Min=8.8684, Max=51.6856, RMS=30.4037
  Col 25: Mean=-70.0600, Std=2.2263, Min=-74.9238, Max=-64.2876, RMS=70.0954
  Col 26: Mean=-0.4567, Std=10.3948, Min=-22.7028, Max=16.0970, RMS=10.4048
  Col 27: Mean=-45.4665, Std=11.4190, Min=-69.8990, Max=-12.4866, RMS=46.8785
  Col 28: Mean=-72.9491, Std=4.8856, Min=-82.4412, Max=-60.0095, RMS=73.1125
  Col 29: Mean=81.4332, Std=13.7322, Min=49.7768, Max=110.1586, RMS=82.5829
  Col 30: Mean=-68.8384, Std=4.8439, Min=-79.2285, Max=-57.9474, RMS=69.0086
  Col 31: Mean=15.0425, Std=4.8921, Min=3.6859, Max=28.7928, RMS=15.8180
  Col 32: Mean=137.2660, Std=4.3623, Min=126.4977, Max=147.1543, RMS=137.3353
  Col 33: Mean=55.4052, Std=3.4316, Min=47.9916, Max=63.6266, RMS=55.5114
  Col 34: Mean=-4.3535, Std=1.4455, Min=-7.6108, Max=-1.6214, RMS=4.5872
  Col 35: Mean=161.9783, Std=3.4432, Min=153.3281, Max=166.5968, RMS=162.0149
  Col 36: Mean=-10.9387, Std=18.8080, Min=-178.8089, Max=9.0517, RMS=21.7576
  Col 37: Mean=-64.8471, Std=5.9931, Min=-68.8677, Max=-5.7514, RMS=65.1235
  Col 38: Mean=94.1776, Std=136.7992, Min=-179.8256, Max=179.9387, RMS=166.0827
  Col 39: Mean=40.5771, Std=16.6498, Min=-6.1628, Max=63.9681, RMS=43.8602
  Col 40: Mean=-64.6668, Std=10.6321, Min=-81.3875, Max=-37.1580, RMS=65.5350
  Col 41: Mean=105.4823, Std=22.6340, Min=74.4344, Max=166.8719, RMS=107.8833
  Col 42: Mean=75.9158, Std=10.2538, Min=50.2629, Max=94.7457, RMS=76.6052
  Col 43: Mean=6.3692, Std=11.9190, Min=-17.1012, Max=35.1927, RMS=13.5141
  Col 44: Mean=41.9350, Std=8.8580, Min=23.8397, Max=77.2728, RMS=42.8603
  Col 45: Mean=-104.9031, Std=55.2024, Min=-173.7909, Max=-15.2454, RMS=118.5409
  Col 46: Mean=-74.2390, Std=5.0788, Min=-84.7433, Max=-61.3224, RMS=74.4125
  Col 47: Mean=-22.1074, Std=135.9569, Min=-179.6529, Max=178.5124, RMS=137.7426
  Col 48: Mean=-44.6640, Std=146.3985, Min=-179.9084, Max=179.9464, RMS=153.0601
  Col 49: Mean=-72.1034, Std=14.3699, Min=-87.3747, Max=-35.6337, RMS=73.5214
  Col 50: Mean=-75.2888, Std=79.9416, Min=-179.8818, Max=175.3837, RMS=109.8138
  Col 51: Mean=-4.6310, Std=48.7180, Min=-179.0092, Max=179.3425, RMS=48.9376
  Col 52: Mean=-42.2112, Std=17.3155, Min=-88.5417, Max=-6.1959, RMS=45.6247
  Col 53: Mean=62.8837, Std=53.2187, Min=-160.5536, Max=177.9249, RMS=82.3807
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=88.8962, Std=68.1306, Min=-179.0723, Max=179.9180, RMS=112.0014
  Col 58: Mean=-76.4930, Std=5.6084, Min=-87.6301, Max=-64.6891, RMS=76.6983
