--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Romeo/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0128, Std=1.4009, Min=-4.7342, Max=6.6295, RMS=1.4009
  Col 1: Mean=0.0049, Std=1.6625, Min=-2.9980, Max=5.8747, RMS=1.6626
  Col 2: Mean=-0.0020, Std=2.2409, Min=-5.4519, Max=8.0077, RMS=2.2409
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0050, Std=0.9232, Min=-2.4347, Max=2.5522, RMS=0.9233
  Col 13: Mean=-0.0022, Std=0.9595, Min=-2.2222, Max=2.7375, RMS=0.9595
  Col 14: Mean=0.0139, Std=1.8657, Min=-3.8268, Max=5.3779, RMS=1.8657
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0064, Std=0.9181, Min=-2.8346, Max=2.5477, RMS=0.9181
  Col 19: Mean=0.0092, Std=0.9083, Min=-2.1074, Max=3.0864, RMS=0.9083
  Col 20: Mean=-0.0747, Std=1.8317, Min=-8.7635, Max=5.1082, RMS=1.8332
  Col 21: Mean=-0.0068, Std=1.1649, Min=-2.3881, Max=3.5225, RMS=1.1649
  Col 22: Mean=-0.0079, Std=1.0686, Min=-2.5714, Max=3.1193, RMS=1.0686
  Col 23: Mean=0.0142, Std=1.9964, Min=-3.6257, Max=6.6837, RMS=1.9965
  Col 24: Mean=-0.0113, Std=1.0013, Min=-2.5976, Max=2.4930, RMS=1.0013
  Col 25: Mean=-0.0085, Std=1.4629, Min=-4.8674, Max=3.9506, RMS=1.4630
  Col 26: Mean=0.0054, Std=2.1807, Min=-4.2494, Max=6.4507, RMS=2.1807
  Col 27: Mean=0.0044, Std=0.7564, Min=-2.9138, Max=1.6459, RMS=0.7564
  Col 28: Mean=-0.0260, Std=1.4992, Min=-3.5694, Max=4.5371, RMS=1.4995
  Col 29: Mean=-0.0003, Std=2.2890, Min=-4.6435, Max=6.9533, RMS=2.2890
  Col 30: Mean=0.0054, Std=0.8492, Min=-2.5220, Max=2.2187, RMS=0.8492
  Col 31: Mean=-0.0342, Std=1.8074, Min=-3.8333, Max=5.7050, RMS=1.8078
  Col 32: Mean=-0.0026, Std=2.3877, Min=-5.2716, Max=7.4554, RMS=2.3877
  Col 33: Mean=-0.0069, Std=1.1315, Min=-3.6465, Max=3.1257, RMS=1.1315
  Col 34: Mean=-0.0046, Std=0.9952, Min=-2.4806, Max=3.0937, RMS=0.9952
  Col 35: Mean=0.0140, Std=1.9650, Min=-3.8834, Max=7.2278, RMS=1.9650
  Col 36: Mean=-0.0071, Std=0.9949, Min=-1.9839, Max=2.6903, RMS=0.9950
  Col 37: Mean=0.0394, Std=1.3841, Min=-3.3405, Max=4.9032, RMS=1.3846
  Col 38: Mean=-0.1509, Std=2.2896, Min=-9.1133, Max=6.8725, RMS=2.2946
  Col 39: Mean=-0.0179, Std=0.7497, Min=-1.8555, Max=2.1692, RMS=0.7499
  Col 40: Mean=-0.0367, Std=2.2591, Min=-6.1015, Max=4.3036, RMS=2.2594
  Col 41: Mean=0.0131, Std=1.9750, Min=-3.5415, Max=6.7178, RMS=1.9751
  Col 42: Mean=-0.0107, Std=1.0575, Min=-2.1985, Max=3.2644, RMS=1.0575
  Col 43: Mean=-0.0672, Std=3.2640, Min=-6.5303, Max=7.2758, RMS=3.2647
  Col 44: Mean=0.0148, Std=2.3534, Min=-5.0792, Max=6.4474, RMS=2.3534
  Col 45: Mean=0.0086, Std=2.2270, Min=-8.2977, Max=6.0616, RMS=2.2270
  Col 46: Mean=0.0072, Std=3.9907, Min=-22.2150, Max=17.8027, RMS=3.9907
  Col 47: Mean=0.0186, Std=4.4284, Min=-12.3047, Max=22.7805, RMS=4.4285
  Col 48: Mean=0.0320, Std=2.8197, Min=-9.3150, Max=11.0512, RMS=2.8199
  Col 49: Mean=-0.0469, Std=4.9706, Min=-17.3287, Max=21.5161, RMS=4.9708
  Col 50: Mean=-0.0686, Std=3.8923, Min=-8.9636, Max=28.8424, RMS=3.8929
  Col 51: Mean=-0.0048, Std=3.6984, Min=-16.2803, Max=18.6643, RMS=3.6984
  Col 52: Mean=-0.0492, Std=8.8767, Min=-36.4251, Max=26.2245, RMS=8.8768
  Col 53: Mean=-0.1102, Std=5.5461, Min=-21.1065, Max=22.0211, RMS=5.5472
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0142, Std=2.0357, Min=-5.5352, Max=6.3449, RMS=2.0358
  Col 58: Mean=0.0104, Std=3.7483, Min=-14.5711, Max=11.1777, RMS=3.7483
  Col 59: Mean=0.0199, Std=3.5223, Min=-9.1659, Max=16.3783, RMS=3.5223
  Col 60: Mean=-0.0098, Std=2.4833, Min=-7.4455, Max=10.7255, RMS=2.4833
  Col 61: Mean=-0.0406, Std=4.3143, Min=-15.7439, Max=15.6280, RMS=4.3144
  Col 62: Mean=-0.0659, Std=3.0162, Min=-10.0789, Max=16.8427, RMS=3.0169
  Col 63: Mean=0.0127, Std=3.0077, Min=-15.5193, Max=14.0263, RMS=3.0078
  Col 64: Mean=-0.0635, Std=8.5895, Min=-43.7878, Max=28.9689, RMS=8.5897
  Col 65: Mean=-0.0934, Std=5.5543, Min=-18.5082, Max=20.7773, RMS=5.5551
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-7.5885, Std=12.8186, Min=-38.5356, Max=24.0228, RMS=14.8964
  Col 1: Mean=-80.4156, Std=2.8728, Min=-85.9414, Max=-73.6775, RMS=80.4669
  Col 2: Mean=-80.9875, Std=11.7471, Min=-107.5118, Max=-47.4118, RMS=81.8350
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
