--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Romeo/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0069, Std=1.0157, Min=-4.1166, Max=2.8953, RMS=1.0157
  Col 1: Mean=-0.0018, Std=1.4745, Min=-4.8158, Max=4.3475, RMS=1.4745
  Col 2: Mean=-0.0144, Std=1.7914, Min=-5.3384, Max=5.0306, RMS=1.7915
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0015, Std=0.8104, Min=-2.2747, Max=2.1478, RMS=0.8104
  Col 13: Mean=-0.0021, Std=1.0161, Min=-2.7675, Max=2.1910, RMS=1.0161
  Col 14: Mean=-0.0126, Std=1.8432, Min=-3.7716, Max=5.6644, RMS=1.8432
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0107, Std=0.7468, Min=-1.6747, Max=1.7259, RMS=0.7469
  Col 19: Mean=0.0053, Std=0.7565, Min=-2.3924, Max=1.6824, RMS=0.7565
  Col 20: Mean=-0.0045, Std=1.6964, Min=-3.0447, Max=6.2468, RMS=1.6964
  Col 21: Mean=-0.0030, Std=1.0902, Min=-3.1659, Max=2.7149, RMS=1.0902
  Col 22: Mean=0.0000, Std=1.0783, Min=-3.2127, Max=2.3500, RMS=1.0783
  Col 23: Mean=-0.0094, Std=1.7462, Min=-2.9903, Max=6.8470, RMS=1.7462
  Col 24: Mean=0.0049, Std=0.8059, Min=-1.9261, Max=2.4677, RMS=0.8059
  Col 25: Mean=-0.0047, Std=1.2438, Min=-2.9859, Max=3.2165, RMS=1.2438
  Col 26: Mean=-0.0149, Std=1.9253, Min=-3.7273, Max=6.0726, RMS=1.9254
  Col 27: Mean=0.0036, Std=0.6576, Min=-2.1448, Max=1.6491, RMS=0.6576
  Col 28: Mean=0.0073, Std=1.5568, Min=-4.2137, Max=4.1555, RMS=1.5568
  Col 29: Mean=-0.0141, Std=1.7854, Min=-3.5230, Max=5.7073, RMS=1.7855
  Col 30: Mean=0.0084, Std=0.6685, Min=-2.1401, Max=1.8717, RMS=0.6685
  Col 31: Mean=0.0102, Std=1.8859, Min=-5.2136, Max=5.7563, RMS=1.8859
  Col 32: Mean=-0.0186, Std=1.7727, Min=-4.1289, Max=5.8970, RMS=1.7728
  Col 33: Mean=-0.0005, Std=1.0107, Min=-2.5824, Max=2.7714, RMS=1.0107
  Col 34: Mean=0.0028, Std=1.0411, Min=-3.6071, Max=2.7086, RMS=1.0411
  Col 35: Mean=-0.0076, Std=1.7267, Min=-3.0484, Max=6.5812, RMS=1.7267
  Col 36: Mean=-0.0062, Std=0.8480, Min=-2.5227, Max=2.4672, RMS=0.8480
  Col 37: Mean=-0.0000, Std=1.2576, Min=-3.5715, Max=4.5410, RMS=1.2576
  Col 38: Mean=-0.0115, Std=1.7457, Min=-3.6440, Max=5.0661, RMS=1.7458
