--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Romeo/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0038, Std=1.2304, Min=-6.5985, Max=4.3543, RMS=1.2304
  Col 1: Mean=0.0114, Std=1.6344, Min=-5.1918, Max=4.7447, RMS=1.6345
  Col 2: Mean=-0.0110, Std=1.8190, Min=-4.7194, Max=5.5363, RMS=1.8190
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0025, Std=0.8891, Min=-2.1327, Max=2.2270, RMS=0.8891
  Col 13: Mean=0.0131, Std=1.1699, Min=-2.9260, Max=2.4774, RMS=1.1700
  Col 14: Mean=-0.0096, Std=1.9423, Min=-3.4592, Max=5.3534, RMS=1.9424
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0054, Std=0.7898, Min=-2.0064, Max=2.0380, RMS=0.7899
  Col 19: Mean=0.0265, Std=0.8092, Min=-1.8970, Max=1.6722, RMS=0.8096
  Col 20: Mean=-0.0089, Std=1.8186, Min=-3.0920, Max=7.2619, RMS=1.8187
  Col 21: Mean=0.0061, Std=1.1698, Min=-3.0370, Max=2.9067, RMS=1.1698
  Col 22: Mean=0.0201, Std=1.2660, Min=-3.1489, Max=3.0348, RMS=1.2662
  Col 23: Mean=-0.0094, Std=1.8145, Min=-2.9778, Max=6.4433, RMS=1.8146
  Col 24: Mean=0.0079, Std=0.9179, Min=-2.0198, Max=2.2397, RMS=0.9179
