--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Romeo/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0103, Std=2.7447, Min=-16.4390, Max=29.5927, RMS=2.7447
  Col 1: Mean=0.0121, Std=2.7428, Min=-10.7475, Max=29.4757, RMS=2.7428
  Col 2: Mean=-0.0064, Std=5.2884, Min=-14.8695, Max=61.3386, RMS=5.2885
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0015, Std=0.7729, Min=-4.0957, Max=2.2399, RMS=0.7729
  Col 13: Mean=0.0301, Std=1.0081, Min=-3.9795, Max=3.4897, RMS=1.0085
  Col 14: Mean=-0.3742, Std=4.5560, Min=-11.6025, Max=26.7550, RMS=4.5714
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0043, Std=1.0281, Min=-2.8699, Max=3.0084, RMS=1.0282
  Col 19: Mean=0.0237, Std=0.9044, Min=-2.6548, Max=2.3490, RMS=0.9047
  Col 20: Mean=0.0043, Std=3.1952, Min=-10.4247, Max=13.9495, RMS=3.1952
  Col 21: Mean=0.0288, Std=1.5825, Min=-8.2072, Max=9.4858, RMS=1.5827
  Col 22: Mean=0.0092, Std=1.8456, Min=-6.4534, Max=10.7849, RMS=1.8456
  Col 23: Mean=0.0094, Std=3.9081, Min=-13.2536, Max=25.0703, RMS=3.9081
  Col 24: Mean=0.0054, Std=2.4046, Min=-11.6240, Max=5.7259, RMS=2.4046
  Col 25: Mean=-0.0183, Std=2.3303, Min=-5.9371, Max=21.3140, RMS=2.3304
  Col 26: Mean=0.0008, Std=4.5524, Min=-12.7009, Max=27.0435, RMS=4.5524
  Col 27: Mean=0.0482, Std=2.8583, Min=-8.4833, Max=6.2342, RMS=2.8587
  Col 28: Mean=0.0342, Std=1.5836, Min=-5.4693, Max=9.3256, RMS=1.5840
  Col 29: Mean=0.0001, Std=4.2405, Min=-11.3635, Max=21.5502, RMS=4.2405
  Col 30: Mean=0.0763, Std=3.2584, Min=-8.4648, Max=7.3045, RMS=3.2593
  Col 31: Mean=0.0506, Std=2.1024, Min=-6.4606, Max=15.2869, RMS=2.1030
  Col 32: Mean=-0.0155, Std=4.1447, Min=-11.1833, Max=23.2419, RMS=4.1447
  Col 33: Mean=0.0204, Std=1.2700, Min=-5.9154, Max=8.7444, RMS=1.2701
  Col 34: Mean=0.0221, Std=1.9630, Min=-6.6971, Max=12.1270, RMS=1.9632
  Col 35: Mean=0.0029, Std=3.9659, Min=-11.5889, Max=29.5486, RMS=3.9659
  Col 36: Mean=0.0106, Std=2.0978, Min=-10.9878, Max=13.5471, RMS=2.0978
  Col 37: Mean=0.0302, Std=1.7645, Min=-5.9443, Max=13.1467, RMS=1.7648
  Col 38: Mean=-0.0044, Std=4.3849, Min=-11.2151, Max=21.5549, RMS=4.3849
  Col 39: Mean=0.0803, Std=2.8230, Min=-7.0769, Max=7.4390, RMS=2.8241
  Col 40: Mean=0.0071, Std=1.7870, Min=-6.3398, Max=7.6567, RMS=1.7870
  Col 41: Mean=-0.0021, Std=3.9072, Min=-10.3862, Max=19.8018, RMS=3.9072
  Col 42: Mean=0.1036, Std=4.0302, Min=-9.2991, Max=16.8134, RMS=4.0315
  Col 43: Mean=-0.0258, Std=2.3198, Min=-9.6002, Max=6.5950, RMS=2.3200
  Col 44: Mean=-0.0584, Std=4.2924, Min=-9.1814, Max=16.1106, RMS=4.2927
  Col 45: Mean=-0.0131, Std=3.9313, Min=-29.8374, Max=30.3751, RMS=3.9313
  Col 46: Mean=0.0476, Std=3.3460, Min=-12.1552, Max=27.9482, RMS=3.3463
  Col 47: Mean=-0.2345, Std=7.6556, Min=-19.0789, Max=99.7548, RMS=7.6592
  Col 48: Mean=0.0525, Std=5.1938, Min=-22.1713, Max=34.7556, RMS=5.1940
  Col 49: Mean=0.0919, Std=4.2682, Min=-16.6567, Max=19.7758, RMS=4.2692
  Col 50: Mean=-0.1876, Std=5.1086, Min=-15.2374, Max=36.7531, RMS=5.1121
  Col 51: Mean=0.1298, Std=9.9731, Min=-66.9539, Max=38.3224, RMS=9.9739
  Col 52: Mean=-0.0452, Std=4.9395, Min=-37.5340, Max=51.1942, RMS=4.9397
  Col 53: Mean=-0.0948, Std=8.2027, Min=-36.6907, Max=71.4208, RMS=8.2032
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0014, Std=3.9538, Min=-27.5448, Max=14.6387, RMS=3.9538
  Col 58: Mean=-0.0052, Std=3.5384, Min=-15.5345, Max=15.2663, RMS=3.5384
  Col 59: Mean=0.0040, Std=4.6714, Min=-11.2263, Max=34.9762, RMS=4.6714
  Col 60: Mean=0.0517, Std=5.8628, Min=-17.8447, Max=27.1895, RMS=5.8631
  Col 61: Mean=-0.0357, Std=4.5403, Min=-17.8380, Max=14.9548, RMS=4.5405
  Col 62: Mean=-0.1252, Std=3.9804, Min=-16.9261, Max=24.1098, RMS=3.9823
  Col 63: Mean=0.0267, Std=8.8967, Min=-33.6672, Max=30.9936, RMS=8.8967
  Col 64: Mean=0.0567, Std=4.0160, Min=-16.0175, Max=19.9302, RMS=4.0164
  Col 65: Mean=-0.0553, Std=6.6988, Min=-28.5471, Max=30.1677, RMS=6.6990
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-11.4865, Std=86.7780, Min=-178.5373, Max=178.9875, RMS=87.5349
  Col 1: Mean=-85.5923, Std=2.4735, Min=-89.8461, Max=-78.8923, RMS=85.6280
  Col 2: Mean=14.6343, Std=88.8030, Min=-179.4678, Max=179.6811, RMS=90.0007
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=20.6181, Std=38.5845, Min=-179.9850, Max=179.9763, RMS=43.7478
  Col 13: Mean=-73.4259, Std=16.2698, Min=-83.1632, Max=-5.9615, RMS=75.2068
  Col 14: Mean=73.2888, Std=154.0338, Min=-179.9900, Max=179.9953, RMS=170.5804
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
