--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Romeo/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0170, Std=1.3787, Min=-4.1546, Max=3.5047, RMS=1.3788
  Col 1: Mean=-0.0046, Std=1.4229, Min=-5.4386, Max=5.4448, RMS=1.4229
  Col 2: Mean=0.0029, Std=2.8777, Min=-6.6401, Max=9.5795, RMS=2.8777
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0009, Std=1.0004, Min=-2.7887, Max=3.2380, RMS=1.0004
  Col 13: Mean=-0.0028, Std=1.2274, Min=-2.8732, Max=4.1177, RMS=1.2274
  Col 14: Mean=0.0031, Std=2.7636, Min=-5.2697, Max=7.3091, RMS=2.7636
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0161, Std=0.8553, Min=-2.3078, Max=3.4701, RMS=0.8554
  Col 19: Mean=-0.0015, Std=1.1224, Min=-2.5764, Max=3.8858, RMS=1.1224
  Col 20: Mean=-0.0055, Std=2.6343, Min=-4.5882, Max=9.0980, RMS=2.6343
  Col 21: Mean=-0.0051, Std=1.3207, Min=-4.4498, Max=3.9448, RMS=1.3207
  Col 22: Mean=-0.0048, Std=1.6453, Min=-3.9155, Max=5.6212, RMS=1.6453
  Col 23: Mean=0.0061, Std=2.6544, Min=-4.6552, Max=8.4052, RMS=2.6544
  Col 24: Mean=-0.0040, Std=1.6726, Min=-7.2112, Max=3.8414, RMS=1.6726
  Col 25: Mean=0.0026, Std=1.4044, Min=-4.8696, Max=5.1050, RMS=1.4044
  Col 26: Mean=0.0004, Std=2.6006, Min=-4.8011, Max=7.0637, RMS=2.6006
  Col 27: Mean=-0.0169, Std=2.8870, Min=-6.9337, Max=8.8373, RMS=2.8871
  Col 28: Mean=0.0085, Std=1.1767, Min=-5.6046, Max=4.6681, RMS=1.1768
  Col 29: Mean=0.0035, Std=2.0740, Min=-3.7824, Max=6.7771, RMS=2.0740
  Col 30: Mean=-0.0245, Std=3.4432, Min=-7.4770, Max=10.0967, RMS=3.4433
  Col 31: Mean=0.0107, Std=1.4029, Min=-5.8782, Max=4.7854, RMS=1.4029
  Col 32: Mean=-0.0118, Std=2.0238, Min=-4.2909, Max=8.0331, RMS=2.0238
  Col 33: Mean=-0.0038, Std=1.1394, Min=-3.2969, Max=3.6654, RMS=1.1394
  Col 34: Mean=-0.0055, Std=1.6850, Min=-3.7734, Max=4.8440, RMS=1.6850
  Col 35: Mean=0.0080, Std=2.7158, Min=-4.8390, Max=7.9743, RMS=2.7158
  Col 36: Mean=0.0036, Std=1.7145, Min=-4.4660, Max=6.1823, RMS=1.7145
  Col 37: Mean=-0.0065, Std=1.2711, Min=-3.1328, Max=3.4417, RMS=1.2711
  Col 38: Mean=0.0014, Std=2.8075, Min=-4.9029, Max=7.6871, RMS=2.8075
  Col 39: Mean=0.0087, Std=3.5734, Min=-8.6160, Max=9.6946, RMS=3.5734
  Col 40: Mean=-0.0015, Std=1.1911, Min=-2.9382, Max=3.4575, RMS=1.1911
  Col 41: Mean=-0.0212, Std=1.5634, Min=-4.3715, Max=7.0263, RMS=1.5635
  Col 42: Mean=0.0031, Std=5.0710, Min=-13.1175, Max=11.4529, RMS=5.0710
  Col 43: Mean=0.0021, Std=1.4758, Min=-4.2217, Max=3.9463, RMS=1.4758
  Col 44: Mean=-0.0294, Std=1.6744, Min=-5.1298, Max=6.1756, RMS=1.6746
  Col 45: Mean=-0.0126, Std=4.2279, Min=-14.6226, Max=14.1478, RMS=4.2279
  Col 46: Mean=0.0014, Std=2.0754, Min=-6.1112, Max=8.0485, RMS=2.0754
  Col 47: Mean=0.0063, Std=4.2679, Min=-14.8694, Max=12.5218, RMS=4.2679
  Col 48: Mean=-0.0983, Std=5.1473, Min=-15.6309, Max=17.4386, RMS=5.1483
  Col 49: Mean=0.0005, Std=2.7942, Min=-10.6178, Max=14.4614, RMS=2.7942
  Col 50: Mean=-0.0749, Std=4.8714, Min=-19.1651, Max=36.8349, RMS=4.8719
  Col 51: Mean=-0.1359, Std=9.4762, Min=-18.1085, Max=63.3631, RMS=9.4772
  Col 52: Mean=0.0002, Std=4.1815, Min=-26.6449, Max=27.6063, RMS=4.1815
  Col 53: Mean=-0.0214, Std=7.6693, Min=-21.9751, Max=31.4759, RMS=7.6693
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0046, Std=3.5528, Min=-14.3591, Max=11.7453, RMS=3.5528
  Col 58: Mean=-0.0091, Std=2.2545, Min=-8.3399, Max=8.8245, RMS=2.2545
  Col 59: Mean=0.0006, Std=4.0765, Min=-12.9646, Max=11.3978, RMS=4.0765
  Col 60: Mean=-0.0782, Std=4.7055, Min=-19.4261, Max=16.6715, RMS=4.7062
  Col 61: Mean=-0.0064, Std=2.7935, Min=-13.8332, Max=12.2424, RMS=2.7935
  Col 62: Mean=-0.0746, Std=3.7687, Min=-12.5093, Max=21.2557, RMS=3.7694
  Col 63: Mean=-0.2037, Std=8.7535, Min=-23.5948, Max=67.0838, RMS=8.7559
  Col 64: Mean=-0.0139, Std=3.6988, Min=-21.2413, Max=27.8248, RMS=3.6989
  Col 65: Mean=0.0025, Std=8.1394, Min=-23.8893, Max=39.3541, RMS=8.1394
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-9.2935, Std=41.7574, Min=-176.2582, Max=178.4514, RMS=42.7791
