--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Romeo/imu/walk/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0006, Std=2.0752, Min=-6.0249, Max=4.9652, RMS=2.0752
  Col 1: Mean=0.0001, Std=1.3302, Min=-3.0780, Max=4.8305, RMS=1.3302
  Col 2: Mean=-0.0152, Std=2.7140, Min=-7.6782, Max=7.2647, RMS=2.7141
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0043, Std=0.9356, Min=-3.1671, Max=2.2796, RMS=0.9356
  Col 13: Mean=-0.0176, Std=0.8668, Min=-2.0289, Max=2.2583, RMS=0.8669
  Col 14: Mean=-0.6470, Std=3.1531, Min=-9.0841, Max=5.6488, RMS=3.2187
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0015, Std=0.5510, Min=-2.0774, Max=1.8257, RMS=0.5510
  Col 19: Mean=0.0033, Std=0.7891, Min=-2.3968, Max=2.1692, RMS=0.7891
  Col 20: Mean=0.0008, Std=2.4222, Min=-4.1614, Max=7.8404, RMS=2.4222
  Col 21: Mean=-0.0010, Std=0.9829, Min=-3.1410, Max=2.4957, RMS=0.9829
  Col 22: Mean=0.0003, Std=1.2319, Min=-3.0594, Max=3.9574, RMS=1.2319
  Col 23: Mean=0.0020, Std=2.4582, Min=-4.2616, Max=7.6294, RMS=2.4582
  Col 24: Mean=-0.0056, Std=1.5899, Min=-4.1857, Max=5.3682, RMS=1.5900
  Col 25: Mean=-0.0120, Std=1.2107, Min=-3.3519, Max=3.6443, RMS=1.2108
