--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Romeo/imu/walk/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0018, Std=2.1349, Min=-6.2902, Max=4.0879, RMS=2.1349
  Col 1: Mean=0.0035, Std=1.3701, Min=-3.5641, Max=6.0520, RMS=1.3701
  Col 2: Mean=-0.0155, Std=2.7978, Min=-7.5055, Max=6.9098, RMS=2.7978
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0121, Std=1.0072, Min=-2.4854, Max=2.7015, RMS=1.0073
  Col 13: Mean=0.0359, Std=0.9392, Min=-2.2466, Max=2.4589, RMS=0.9398
  Col 14: Mean=-0.5981, Std=3.3014, Min=-9.2224, Max=5.8338, RMS=3.3552
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0018, Std=0.5828, Min=-1.6070, Max=2.0614, RMS=0.5828
  Col 19: Mean=0.0126, Std=0.8235, Min=-2.2413, Max=3.4559, RMS=0.8236
  Col 20: Mean=-0.0006, Std=2.5241, Min=-4.0377, Max=7.0805, RMS=2.5241
  Col 21: Mean=-0.0019, Std=1.0346, Min=-2.9168, Max=2.7978, RMS=1.0346
  Col 22: Mean=0.0060, Std=1.2876, Min=-3.4735, Max=4.0279, RMS=1.2876
  Col 23: Mean=0.0020, Std=2.5760, Min=-4.7877, Max=7.6639, RMS=2.5760
  Col 24: Mean=-0.0079, Std=1.5854, Min=-4.7895, Max=4.7896, RMS=1.5854
  Col 25: Mean=-0.0163, Std=1.2337, Min=-3.4923, Max=4.0907, RMS=1.2338
  Col 26: Mean=0.0044, Std=2.7146, Min=-4.7403, Max=6.2981, RMS=2.7146
  Col 27: Mean=0.0625, Std=2.3563, Min=-5.9765, Max=5.1581, RMS=2.3571
  Col 28: Mean=0.0159, Std=0.8037, Min=-3.3729, Max=1.8293, RMS=0.8038
  Col 29: Mean=0.0326, Std=2.5457, Min=-4.2033, Max=6.9637, RMS=2.5459
  Col 30: Mean=0.1062, Std=3.0996, Min=-8.9797, Max=6.7032, RMS=3.1014
  Col 31: Mean=0.0135, Std=0.9570, Min=-4.0231, Max=2.5332, RMS=0.9571
  Col 32: Mean=0.0237, Std=2.5555, Min=-4.7206, Max=7.2220, RMS=2.5556
  Col 33: Mean=-0.0021, Std=1.0659, Min=-3.0369, Max=2.8011, RMS=1.0659
  Col 34: Mean=0.0089, Std=1.1853, Min=-3.6602, Max=2.8148, RMS=1.1854
  Col 35: Mean=-0.0020, Std=2.5680, Min=-4.5549, Max=8.2878, RMS=2.5680
  Col 36: Mean=-0.0088, Std=1.4991, Min=-4.1408, Max=4.8019, RMS=1.4991
  Col 37: Mean=0.0202, Std=0.9553, Min=-2.4960, Max=2.1940, RMS=0.9555
  Col 38: Mean=-0.0123, Std=2.5465, Min=-4.7314, Max=6.1110, RMS=2.5465
  Col 39: Mean=0.0253, Std=3.4327, Min=-6.9908, Max=7.4442, RMS=3.4328
