--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Sara/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0143, Std=1.6782, Min=-11.2676, Max=6.0488, RMS=1.6783
  Col 1: Mean=-0.0162, Std=1.5316, Min=-6.4579, Max=4.6952, RMS=1.5316
  Col 2: Mean=-0.0013, Std=1.9963, Min=-5.1854, Max=9.0675, RMS=1.9963
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0062, Std=0.7588, Min=-2.2368, Max=2.8241, RMS=0.7589
  Col 13: Mean=-0.0084, Std=0.9486, Min=-2.4853, Max=2.0341, RMS=0.9486
  Col 14: Mean=0.0073, Std=1.8211, Min=-3.9835, Max=8.1271, RMS=1.8211
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0012, Std=0.5271, Min=-1.4999, Max=1.6842, RMS=0.5271
  Col 19: Mean=-0.0051, Std=0.6932, Min=-1.6314, Max=2.3725, RMS=0.6932
  Col 20: Mean=0.0044, Std=1.8555, Min=-4.0729, Max=9.3353, RMS=1.8555
  Col 21: Mean=0.0115, Std=0.7333, Min=-3.1210, Max=2.4131, RMS=0.7334
  Col 22: Mean=-0.0064, Std=0.9527, Min=-2.5107, Max=2.2274, RMS=0.9527
  Col 23: Mean=0.0131, Std=2.0186, Min=-4.7316, Max=9.8587, RMS=2.0186
  Col 24: Mean=0.0223, Std=0.6799, Min=-2.5084, Max=2.5009, RMS=0.6802
  Col 25: Mean=-0.0065, Std=1.4432, Min=-4.0327, Max=4.1362, RMS=1.4433
  Col 26: Mean=0.0058, Std=1.9798, Min=-4.4566, Max=8.0561, RMS=1.9798
  Col 27: Mean=0.0134, Std=0.6859, Min=-2.2892, Max=2.5550, RMS=0.6860
  Col 28: Mean=0.0151, Std=2.3462, Min=-5.0308, Max=6.0357, RMS=2.3462
