--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Sara/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0032, Std=1.4216, Min=-10.6776, Max=5.0346, RMS=1.4216
  Col 1: Mean=-0.0001, Std=1.3965, Min=-4.8086, Max=4.8405, RMS=1.3965
  Col 2: Mean=0.0023, Std=1.8519, Min=-4.2827, Max=7.3069, RMS=1.8519
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0040, Std=0.6972, Min=-1.7842, Max=2.2562, RMS=0.6972
  Col 13: Mean=-0.0014, Std=0.9111, Min=-2.2005, Max=2.2394, RMS=0.9111
  Col 14: Mean=0.0092, Std=1.7681, Min=-4.2234, Max=6.3514, RMS=1.7681
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0056, Std=0.4616, Min=-1.0086, Max=1.5917, RMS=0.4616
  Col 19: Mean=0.0010, Std=0.6660, Min=-1.8468, Max=1.8680, RMS=0.6660
  Col 20: Mean=0.0080, Std=1.7958, Min=-4.1449, Max=7.8002, RMS=1.7958
  Col 21: Mean=-0.0087, Std=0.6254, Min=-1.8705, Max=2.1743, RMS=0.6254
  Col 22: Mean=-0.0030, Std=0.9488, Min=-3.0851, Max=2.3426, RMS=0.9488
  Col 23: Mean=0.0114, Std=1.9237, Min=-4.6865, Max=8.3293, RMS=1.9237
  Col 24: Mean=-0.0004, Std=0.6325, Min=-1.7865, Max=2.7757, RMS=0.6325
  Col 25: Mean=0.0006, Std=1.2997, Min=-5.4023, Max=3.2521, RMS=1.2997
  Col 26: Mean=0.0085, Std=1.9361, Min=-4.3873, Max=7.3584, RMS=1.9361
  Col 27: Mean=-0.0083, Std=0.6442, Min=-2.2825, Max=2.2991, RMS=0.6443
  Col 28: Mean=0.0213, Std=1.1379, Min=-2.8997, Max=2.7110, RMS=1.1381
  Col 29: Mean=0.0109, Std=1.9980, Min=-4.2631, Max=7.2121, RMS=1.9980
