--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Sara/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0123, Std=1.2100, Min=-4.1422, Max=7.0062, RMS=1.2100
  Col 1: Mean=0.0003, Std=1.7199, Min=-5.8690, Max=6.7686, RMS=1.7199
  Col 2: Mean=-0.0121, Std=1.7554, Min=-3.7571, Max=7.6201, RMS=1.7554
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0037, Std=0.7064, Min=-2.3227, Max=2.1987, RMS=0.7064
  Col 13: Mean=-0.0004, Std=1.3004, Min=-3.2654, Max=3.4973, RMS=1.3004
  Col 14: Mean=-0.0135, Std=1.6544, Min=-3.5433, Max=5.2662, RMS=1.6545
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0001, Std=0.5828, Min=-1.4043, Max=1.6260, RMS=0.5828
  Col 19: Mean=-0.0014, Std=0.8834, Min=-2.0607, Max=2.8419, RMS=0.8834
  Col 20: Mean=-0.0156, Std=1.5671, Min=-3.5223, Max=6.1984, RMS=1.5671
  Col 21: Mean=-0.0091, Std=0.7465, Min=-2.6935, Max=2.2524, RMS=0.7466
  Col 22: Mean=-0.0216, Std=1.2365, Min=-3.0764, Max=3.8277, RMS=1.2367
  Col 23: Mean=-0.2294, Std=2.0762, Min=-9.0493, Max=4.7713, RMS=2.0889
  Col 24: Mean=-0.0111, Std=0.6894, Min=-2.1416, Max=2.1849, RMS=0.6895
  Col 25: Mean=0.0001, Std=1.3334, Min=-3.6574, Max=3.8016, RMS=1.3334
  Col 26: Mean=-0.0153, Std=1.5217, Min=-3.6547, Max=4.8366, RMS=1.5218
  Col 27: Mean=-0.0050, Std=0.6063, Min=-1.5590, Max=1.6278, RMS=0.6063
  Col 28: Mean=-0.0150, Std=1.7317, Min=-3.7858, Max=5.0605, RMS=1.7318
  Col 29: Mean=-0.0162, Std=1.4729, Min=-3.2555, Max=4.4321, RMS=1.4730
  Col 30: Mean=-0.0019, Std=0.7952, Min=-2.1710, Max=2.4000, RMS=0.7952
  Col 31: Mean=-0.0190, Std=2.2769, Min=-4.9745, Max=6.6938, RMS=2.2769
  Col 32: Mean=-0.0214, Std=1.5116, Min=-4.0754, Max=4.2434, RMS=1.5118
  Col 33: Mean=-0.0065, Std=0.7426, Min=-2.6493, Max=2.1039, RMS=0.7426
  Col 34: Mean=-0.0036, Std=1.2421, Min=-3.0675, Max=3.8006, RMS=1.2421
  Col 35: Mean=-0.0104, Std=1.5324, Min=-3.5373, Max=4.7506, RMS=1.5324
  Col 36: Mean=0.0055, Std=0.7368, Min=-3.1636, Max=2.8907, RMS=0.7368
