--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Sara/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0009, Std=2.0538, Min=-9.2861, Max=6.5086, RMS=2.0538
  Col 1: Mean=0.0154, Std=2.0050, Min=-12.3417, Max=5.2181, RMS=2.0051
  Col 2: Mean=-0.0043, Std=4.6421, Min=-15.4120, Max=15.6894, RMS=4.6421
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0192, Std=0.8026, Min=-1.7840, Max=2.9088, RMS=0.8028
  Col 13: Mean=-0.0035, Std=0.7707, Min=-2.4825, Max=2.8090, RMS=0.7707
  Col 14: Mean=0.0048, Std=3.6643, Min=-11.8007, Max=12.3179, RMS=3.6643
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0044, Std=0.8396, Min=-2.9640, Max=1.7922, RMS=0.8397
  Col 19: Mean=-0.0076, Std=0.5806, Min=-2.2008, Max=1.4401, RMS=0.5807
  Col 20: Mean=-0.4335, Std=3.4178, Min=-10.2161, Max=9.5965, RMS=3.4452
  Col 21: Mean=-0.0141, Std=0.9482, Min=-2.6827, Max=3.7576, RMS=0.9483
  Col 22: Mean=0.0066, Std=0.9883, Min=-3.8245, Max=3.2507, RMS=0.9883
  Col 23: Mean=0.0056, Std=3.7291, Min=-13.3401, Max=13.3806, RMS=3.7291
  Col 24: Mean=-0.0095, Std=1.9037, Min=-5.4764, Max=5.8807, RMS=1.9037
  Col 25: Mean=0.0144, Std=1.3248, Min=-5.5455, Max=4.7561, RMS=1.3249
  Col 26: Mean=-0.0070, Std=3.7247, Min=-12.2951, Max=11.4123, RMS=3.7247
  Col 27: Mean=-0.0250, Std=2.3764, Min=-5.5414, Max=6.3616, RMS=2.3766
  Col 28: Mean=-0.0044, Std=1.0310, Min=-3.4147, Max=3.1482, RMS=1.0311
  Col 29: Mean=-0.0079, Std=3.8095, Min=-11.4423, Max=12.4724, RMS=3.8095
  Col 30: Mean=-0.0251, Std=2.9876, Min=-8.2555, Max=6.3872, RMS=2.9877
  Col 31: Mean=-0.0111, Std=1.5245, Min=-4.6062, Max=4.1902, RMS=1.5245
  Col 32: Mean=-0.0216, Std=3.5478, Min=-11.0315, Max=12.1320, RMS=3.5479
  Col 33: Mean=-0.0134, Std=0.7458, Min=-2.1919, Max=2.5242, RMS=0.7459
  Col 34: Mean=0.0023, Std=1.1453, Min=-3.6768, Max=3.0095, RMS=1.1453
  Col 35: Mean=0.0068, Std=3.7065, Min=-12.2055, Max=11.5769, RMS=3.7065
  Col 36: Mean=0.0172, Std=2.2825, Min=-6.6177, Max=6.3705, RMS=2.2825
  Col 37: Mean=-0.0055, Std=1.1101, Min=-3.3001, Max=3.5137, RMS=1.1101
  Col 38: Mean=-0.0048, Std=3.9850, Min=-12.0014, Max=12.0405, RMS=3.9850
  Col 39: Mean=-0.0239, Std=2.3251, Min=-7.9481, Max=7.0963, RMS=2.3252
  Col 40: Mean=-0.0045, Std=2.0544, Min=-7.1917, Max=5.3819, RMS=2.0544
  Col 41: Mean=-0.0117, Std=4.2068, Min=-12.8806, Max=13.7201, RMS=4.2068
  Col 42: Mean=-0.0509, Std=3.4962, Min=-12.6178, Max=9.8747, RMS=3.4966
  Col 43: Mean=-0.0064, Std=2.6948, Min=-7.1738, Max=7.2554, RMS=2.6948
  Col 44: Mean=-0.0525, Std=4.6823, Min=-15.4420, Max=14.3710, RMS=4.6826
  Col 45: Mean=0.0306, Std=3.9898, Min=-13.6344, Max=19.5243, RMS=3.9899
  Col 46: Mean=-0.0118, Std=3.1061, Min=-13.3889, Max=11.7023, RMS=3.1061
  Col 47: Mean=0.0103, Std=4.8996, Min=-12.4271, Max=28.0555, RMS=4.8996
  Col 48: Mean=-0.0760, Std=6.4961, Min=-24.9513, Max=17.8142, RMS=6.4965
  Col 49: Mean=-0.0338, Std=4.3291, Min=-15.8400, Max=17.0997, RMS=4.3292
  Col 50: Mean=-0.2118, Std=4.9795, Min=-16.2285, Max=23.7317, RMS=4.9840
  Col 51: Mean=-0.0834, Std=10.2727, Min=-29.3255, Max=36.6161, RMS=10.2730
  Col 52: Mean=0.0337, Std=4.8761, Min=-15.6036, Max=26.0395, RMS=4.8762
  Col 53: Mean=-0.0799, Std=10.4514, Min=-46.8559, Max=37.9018, RMS=10.4517
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0246, Std=3.8364, Min=-11.5580, Max=12.2554, RMS=3.8364
