--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Sara/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0042, Std=2.1356, Min=-6.7261, Max=7.7508, RMS=2.1356
  Col 1: Mean=0.0215, Std=2.3938, Min=-15.0525, Max=6.7380, RMS=2.3939
  Col 2: Mean=-0.0007, Std=4.6528, Min=-14.8488, Max=16.5445, RMS=4.6528
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0124, Std=0.9783, Min=-2.6446, Max=3.9305, RMS=0.9784
  Col 13: Mean=-0.0016, Std=0.9400, Min=-2.9403, Max=3.0512, RMS=0.9400
  Col 14: Mean=0.0064, Std=4.0141, Min=-12.6314, Max=13.4395, RMS=4.0141
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0066, Std=0.9931, Min=-3.2145, Max=2.7191, RMS=0.9931
  Col 19: Mean=-0.0078, Std=0.6070, Min=-2.2420, Max=1.6832, RMS=0.6071
  Col 20: Mean=0.0025, Std=3.4155, Min=-10.2346, Max=11.9466, RMS=3.4155
  Col 21: Mean=0.0062, Std=1.1409, Min=-2.7483, Max=3.8109, RMS=1.1409
  Col 22: Mean=0.0068, Std=1.1458, Min=-5.1535, Max=3.5093, RMS=1.1458
  Col 23: Mean=0.0052, Std=4.0613, Min=-13.4017, Max=14.6135, RMS=4.0613
  Col 24: Mean=0.0166, Std=2.0635, Min=-5.4623, Max=6.1593, RMS=2.0636
