--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Sara/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0034, Std=1.6628, Min=-7.5586, Max=4.0574, RMS=1.6628
  Col 1: Mean=-0.0001, Std=1.3386, Min=-7.7384, Max=4.3827, RMS=1.3386
  Col 2: Mean=-0.0104, Std=2.1842, Min=-5.3455, Max=8.1971, RMS=2.1842
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0004, Std=1.1452, Min=-3.6939, Max=2.6089, RMS=1.1452
  Col 13: Mean=-0.0006, Std=0.9561, Min=-3.5470, Max=2.5942, RMS=0.9561
  Col 14: Mean=-0.0016, Std=2.2558, Min=-4.7025, Max=5.9514, RMS=2.2558
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0007, Std=0.7813, Min=-3.3428, Max=1.9309, RMS=0.7813
  Col 19: Mean=-0.0022, Std=0.8372, Min=-2.8336, Max=2.1077, RMS=0.8372
  Col 20: Mean=-0.0016, Std=2.0385, Min=-4.1264, Max=5.7346, RMS=2.0385
  Col 21: Mean=-0.0025, Std=1.1082, Min=-4.3884, Max=2.5879, RMS=1.1082
  Col 22: Mean=-0.0036, Std=0.9503, Min=-2.4010, Max=2.8863, RMS=0.9503
  Col 23: Mean=0.0012, Std=1.9971, Min=-6.8336, Max=5.4900, RMS=1.9971
  Col 24: Mean=-0.0011, Std=1.4532, Min=-4.2621, Max=3.8345, RMS=1.4532
  Col 25: Mean=-0.0067, Std=0.8343, Min=-3.1782, Max=2.1340, RMS=0.8343
  Col 26: Mean=-0.0027, Std=2.0386, Min=-6.1860, Max=5.0654, RMS=2.0386
  Col 27: Mean=0.0099, Std=2.5152, Min=-6.0129, Max=5.4638, RMS=2.5152
  Col 28: Mean=0.0036, Std=0.9011, Min=-3.1565, Max=2.7376, RMS=0.9011
  Col 29: Mean=-0.0059, Std=1.7352, Min=-5.0763, Max=4.9232, RMS=1.7352
