--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Sara/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0006, Std=1.7670, Min=-6.3450, Max=4.5662, RMS=1.7670
  Col 1: Mean=0.0076, Std=1.2314, Min=-5.2340, Max=4.5976, RMS=1.2314
  Col 2: Mean=-0.0069, Std=1.9762, Min=-5.7473, Max=8.0675, RMS=1.9762
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0065, Std=1.0996, Min=-3.4999, Max=2.8610, RMS=1.0997
  Col 13: Mean=-0.0050, Std=0.9258, Min=-4.4107, Max=2.3967, RMS=0.9258
  Col 14: Mean=-0.1794, Std=2.4717, Min=-9.1818, Max=5.9711, RMS=2.4782
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0015, Std=0.7578, Min=-2.8261, Max=1.7816, RMS=0.7578
  Col 19: Mean=0.0046, Std=0.8183, Min=-3.0183, Max=2.1873, RMS=0.8184
  Col 20: Mean=-0.0001, Std=1.9164, Min=-4.4129, Max=5.6125, RMS=1.9164
  Col 21: Mean=-0.0098, Std=1.1135, Min=-5.2746, Max=2.2914, RMS=1.1135
  Col 22: Mean=0.0028, Std=0.9961, Min=-2.7479, Max=3.5202, RMS=0.9961
  Col 23: Mean=-0.0011, Std=1.8455, Min=-4.3828, Max=5.9703, RMS=1.8455
  Col 24: Mean=-0.0119, Std=1.5890, Min=-5.0652, Max=4.0726, RMS=1.5891
  Col 25: Mean=-0.0046, Std=0.7883, Min=-3.9689, Max=2.1345, RMS=0.7883
  Col 26: Mean=-0.0044, Std=1.8648, Min=-4.4839, Max=5.7608, RMS=1.8648
  Col 27: Mean=-0.0098, Std=2.7850, Min=-6.9972, Max=6.2146, RMS=2.7850
  Col 28: Mean=0.0000, Std=1.0104, Min=-3.9372, Max=2.9466, RMS=1.0104
  Col 29: Mean=-0.0125, Std=1.5559, Min=-3.8937, Max=5.2336, RMS=1.5560
  Col 30: Mean=-0.0097, Std=3.6458, Min=-9.3595, Max=8.0450, RMS=3.6458
  Col 31: Mean=0.0090, Std=1.2569, Min=-4.9131, Max=4.1553, RMS=1.2569
  Col 32: Mean=-0.0204, Std=1.5176, Min=-3.4967, Max=5.1828, RMS=1.5177
  Col 33: Mean=-0.0056, Std=1.0344, Min=-3.7411, Max=3.1143, RMS=1.0344
  Col 34: Mean=0.0034, Std=1.0562, Min=-3.0996, Max=3.6527, RMS=1.0562
  Col 35: Mean=-0.0019, Std=1.8821, Min=-4.0352, Max=5.4969, RMS=1.8821
  Col 36: Mean=-0.0147, Std=1.7887, Min=-4.7570, Max=5.3614, RMS=1.7887
  Col 37: Mean=0.0094, Std=1.0145, Min=-3.1730, Max=2.8451, RMS=1.0145
  Col 38: Mean=-0.0127, Std=2.1082, Min=-4.7386, Max=6.6662, RMS=2.1082
  Col 39: Mean=-0.0117, Std=3.8944, Min=-9.9889, Max=11.8702, RMS=3.8944
  Col 40: Mean=0.0093, Std=1.2861, Min=-4.2727, Max=4.0975, RMS=1.2862
  Col 41: Mean=-0.0290, Std=2.0107, Min=-6.4323, Max=5.8324, RMS=2.0110
  Col 42: Mean=-0.0718, Std=5.5319, Min=-13.8130, Max=18.6272, RMS=5.5324
  Col 43: Mean=-0.0243, Std=1.7044, Min=-4.3399, Max=5.8090, RMS=1.7046
  Col 44: Mean=-0.1919, Std=2.9275, Min=-11.1822, Max=8.1539, RMS=2.9338
  Col 45: Mean=-0.1045, Std=3.7228, Min=-15.5348, Max=12.3365, RMS=3.7243
  Col 46: Mean=-0.0181, Std=1.5912, Min=-8.0296, Max=5.7910, RMS=1.5913
  Col 47: Mean=-0.9126, Std=4.4896, Min=-11.0833, Max=14.5777, RMS=4.5814
  Col 48: Mean=-0.0149, Std=4.8969, Min=-20.4413, Max=18.0004, RMS=4.8969
  Col 49: Mean=0.0124, Std=2.7418, Min=-18.6512, Max=11.8230, RMS=2.7419
  Col 50: Mean=-0.2295, Std=4.5604, Min=-12.7551, Max=18.9389, RMS=4.5661
  Col 51: Mean=0.2316, Std=8.5421, Min=-57.0541, Max=30.3414, RMS=8.5452
  Col 52: Mean=0.1126, Std=5.1812, Min=-68.5111, Max=27.1146, RMS=5.1825
  Col 53: Mean=-0.1016, Std=7.7826, Min=-25.2984, Max=34.9110, RMS=7.7832
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0105, Std=3.6185, Min=-12.6759, Max=12.4777, RMS=3.6185
  Col 58: Mean=0.0135, Std=2.4044, Min=-9.9416, Max=9.0487, RMS=2.4044
  Col 59: Mean=-0.0070, Std=4.0104, Min=-13.6065, Max=18.5440, RMS=4.0104
  Col 60: Mean=0.0775, Std=5.1702, Min=-15.2592, Max=22.0168, RMS=5.1707
  Col 61: Mean=0.0573, Std=2.6555, Min=-8.9353, Max=11.1430, RMS=2.6561
  Col 62: Mean=-0.0868, Std=5.0401, Min=-15.7319, Max=38.3599, RMS=5.0408
  Col 63: Mean=0.2090, Std=8.6335, Min=-57.8400, Max=31.2514, RMS=8.6360
  Col 64: Mean=0.0309, Std=4.1760, Min=-32.5166, Max=38.7032, RMS=4.1761
  Col 65: Mean=-0.0320, Std=8.8381, Min=-25.6573, Max=70.0240, RMS=8.8381
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-0.1348, Std=4.4566, Min=-8.9211, Max=11.8598, RMS=4.4586
  Col 1: Mean=-61.2857, Std=2.0726, Min=-65.5516, Max=-57.1116, RMS=61.3208
  Col 2: Mean=13.1368, Std=5.4238, Min=0.7641, Max=27.2760, RMS=14.2124
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
