--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Sara/imu/walk/Run_4
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0034, Std=1.6394, Min=-5.8396, Max=4.3237, RMS=1.6394
  Col 1: Mean=-0.0041, Std=1.3692, Min=-5.8496, Max=3.2334, RMS=1.3692
  Col 2: Mean=-0.0055, Std=1.7708, Min=-3.7037, Max=6.6045, RMS=1.7708
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0052, Std=0.8447, Min=-2.3534, Max=1.8916, RMS=0.8447
  Col 13: Mean=-0.0051, Std=0.7616, Min=-2.2750, Max=1.9255, RMS=0.7617
  Col 14: Mean=0.0001, Std=1.5514, Min=-2.6849, Max=5.9463, RMS=1.5514
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0042, Std=0.5112, Min=-1.4638, Max=1.4743, RMS=0.5112
  Col 19: Mean=-0.0019, Std=0.4825, Min=-1.5202, Max=0.9655, RMS=0.4825
  Col 20: Mean=-0.0007, Std=1.5370, Min=-2.4663, Max=7.2832, RMS=1.5370
  Col 21: Mean=-0.0067, Std=0.8722, Min=-2.4232, Max=1.8295, RMS=0.8722
  Col 22: Mean=-0.0031, Std=0.7179, Min=-2.4944, Max=1.9849, RMS=0.7179
  Col 23: Mean=0.0021, Std=1.5576, Min=-2.6947, Max=6.4550, RMS=1.5576
  Col 24: Mean=-0.0040, Std=1.2507, Min=-3.8497, Max=2.6433, RMS=1.2507
  Col 25: Mean=-0.0100, Std=0.7314, Min=-3.0089, Max=1.6076, RMS=0.7315
  Col 26: Mean=-0.0036, Std=1.5100, Min=-2.6883, Max=5.1302, RMS=1.5100
  Col 27: Mean=0.0090, Std=1.6015, Min=-4.2911, Max=3.9484, RMS=1.6015
  Col 28: Mean=0.0030, Std=0.5936, Min=-2.0313, Max=1.5447, RMS=0.5936
  Col 29: Mean=-0.0028, Std=1.5674, Min=-3.0357, Max=4.8357, RMS=1.5674
  Col 30: Mean=0.0126, Std=2.0401, Min=-5.2337, Max=4.8139, RMS=2.0401
  Col 31: Mean=0.0039, Std=0.6305, Min=-2.1561, Max=1.4380, RMS=0.6305
  Col 32: Mean=-0.0052, Std=1.5617, Min=-3.5802, Max=4.2430, RMS=1.5617
  Col 33: Mean=-0.0040, Std=0.8422, Min=-2.3708, Max=2.2322, RMS=0.8422
  Col 34: Mean=-0.0035, Std=0.7614, Min=-2.4575, Max=2.5088, RMS=0.7614
  Col 35: Mean=0.0002, Std=1.5724, Min=-2.6897, Max=6.5655, RMS=1.5724
  Col 36: Mean=-0.0092, Std=1.4993, Min=-5.0216, Max=3.2097, RMS=1.4993
  Col 37: Mean=0.0053, Std=1.0025, Min=-2.1639, Max=2.7908, RMS=1.0025
  Col 38: Mean=-0.0110, Std=1.5355, Min=-2.9516, Max=5.8906, RMS=1.5356
  Col 39: Mean=-0.0004, Std=2.7631, Min=-5.3113, Max=6.4965, RMS=2.7631
  Col 40: Mean=-0.0061, Std=1.5630, Min=-3.4834, Max=3.7768, RMS=1.5630
  Col 41: Mean=-0.0158, Std=1.5626, Min=-3.5168, Max=5.7127, RMS=1.5627
  Col 42: Mean=0.0112, Std=3.9273, Min=-8.5277, Max=10.0226, RMS=3.9273
  Col 43: Mean=-0.0095, Std=2.2121, Min=-4.1780, Max=5.5610, RMS=2.2121
  Col 44: Mean=-0.2660, Std=2.2790, Min=-8.8880, Max=5.2070, RMS=2.2944
  Col 45: Mean=0.0084, Std=3.6763, Min=-7.5669, Max=12.2555, RMS=3.6763
  Col 46: Mean=0.0069, Std=1.9021, Min=-6.6642, Max=7.1312, RMS=1.9021
  Col 47: Mean=-0.2656, Std=4.0130, Min=-11.6057, Max=13.0197, RMS=4.0218
  Col 48: Mean=0.0227, Std=5.0682, Min=-9.7589, Max=16.5910, RMS=5.0682
  Col 49: Mean=-0.0200, Std=2.7130, Min=-12.9677, Max=9.9418, RMS=2.7130
  Col 50: Mean=-0.1262, Std=2.8284, Min=-10.6675, Max=18.6771, RMS=2.8312
  Col 51: Mean=0.2337, Std=9.3139, Min=-28.0637, Max=32.9462, RMS=9.3168
  Col 52: Mean=0.0700, Std=3.5144, Min=-16.3490, Max=10.9097, RMS=3.5151
  Col 53: Mean=-0.6223, Std=6.0781, Min=-25.1368, Max=14.9795, RMS=6.1099
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0061, Std=3.3761, Min=-14.3462, Max=11.5941, RMS=3.3761
  Col 58: Mean=-0.0133, Std=2.2058, Min=-7.8937, Max=6.5399, RMS=2.2059
  Col 59: Mean=-0.0001, Std=3.8865, Min=-12.4775, Max=16.4867, RMS=3.8865
  Col 60: Mean=0.0226, Std=4.8886, Min=-12.3718, Max=15.7159, RMS=4.8886
  Col 61: Mean=0.0373, Std=3.1230, Min=-8.6994, Max=15.0332, RMS=3.1232
  Col 62: Mean=-0.1154, Std=2.9749, Min=-10.5451, Max=19.0557, RMS=2.9771
  Col 63: Mean=0.0784, Std=8.8798, Min=-31.1007, Max=26.4180, RMS=8.8801
  Col 64: Mean=0.0180, Std=3.3848, Min=-16.9552, Max=15.0616, RMS=3.3848
  Col 65: Mean=-0.1788, Std=6.3573, Min=-27.8800, Max=18.0407, RMS=6.3598
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-4.0052, Std=5.7251, Min=-17.5256, Max=7.1921, RMS=6.9870
  Col 1: Mean=-67.2326, Std=1.2199, Min=-70.8467, Max=-63.6458, RMS=67.2437
  Col 2: Mean=24.6223, Std=5.0439, Min=15.1191, Max=39.8120, RMS=25.1336
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-2.2856, Std=1.8150, Min=-6.5523, Max=3.1470, RMS=2.9186
  Col 13: Mean=-57.2263, Std=2.2121, Min=-63.6682, Max=-50.9871, RMS=57.2690
  Col 14: Mean=-161.7043, Std=2.4218, Min=-167.9686, Max=-156.4463, RMS=161.7224
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-86.8548, Std=2.1477, Min=-90.6187, Max=-81.7275, RMS=86.8814
  Col 19: Mean=-41.6999, Std=3.0317, Min=-47.9781, Max=-34.5523, RMS=41.8099
  Col 20: Mean=5.2515, Std=3.5967, Min=-6.2888, Max=13.1001, RMS=6.3651
  Col 21: Mean=74.0290, Std=2.1617, Min=67.7394, Max=79.2721, RMS=74.0606
  Col 22: Mean=0.5353, Std=1.0727, Min=-2.4819, Max=3.0902, RMS=1.1988
  Col 23: Mean=-69.5691, Std=2.8897, Min=-77.3812, Max=-63.4959, RMS=69.6291
  Col 24: Mean=6.7602, Std=19.8268, Min=-28.2765, Max=54.6248, RMS=20.9476
  Col 25: Mean=-79.3356, Std=2.3765, Min=-83.4471, Max=-73.6394, RMS=79.3711
  Col 26: Mean=98.2415, Std=23.9004, Min=41.6342, Max=132.7693, RMS=101.1070
  Col 27: Mean=-43.8307, Std=4.8965, Min=-55.8839, Max=-12.9016, RMS=44.1034
