--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Valerio/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0019, Std=1.4422, Min=-5.2481, Max=5.8698, RMS=1.4422
  Col 1: Mean=-0.0072, Std=1.2458, Min=-4.8219, Max=3.0368, RMS=1.2458
  Col 2: Mean=0.0157, Std=1.9085, Min=-4.5248, Max=6.7326, RMS=1.9086
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0022, Std=0.7548, Min=-1.8920, Max=2.1319, RMS=0.7548
  Col 13: Mean=-0.0000, Std=0.8998, Min=-2.4078, Max=1.9748, RMS=0.8998
  Col 14: Mean=0.0172, Std=1.9108, Min=-4.3768, Max=5.8826, RMS=1.9109
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0022, Std=0.8329, Min=-2.3459, Max=2.3898, RMS=0.8330
  Col 19: Mean=0.0230, Std=0.8813, Min=-2.3722, Max=1.9293, RMS=0.8816
  Col 20: Mean=-0.3746, Std=2.4861, Min=-9.0457, Max=5.4989, RMS=2.5142
  Col 21: Mean=-0.0001, Std=0.9248, Min=-4.0510, Max=2.4192, RMS=0.9248
  Col 22: Mean=0.0012, Std=0.9623, Min=-3.2699, Max=2.8268, RMS=0.9623
  Col 23: Mean=0.0148, Std=1.9987, Min=-4.4303, Max=6.5737, RMS=1.9987
  Col 24: Mean=0.0122, Std=0.8885, Min=-1.7920, Max=2.4124, RMS=0.8886
  Col 25: Mean=0.0086, Std=1.2523, Min=-3.6889, Max=3.8880, RMS=1.2523
  Col 26: Mean=-0.2552, Std=2.4135, Min=-9.0503, Max=6.2377, RMS=2.4269
  Col 27: Mean=-0.0067, Std=0.7589, Min=-1.6522, Max=1.8767, RMS=0.7589
  Col 28: Mean=0.0262, Std=2.4226, Min=-5.4425, Max=6.5655, RMS=2.4228
  Col 29: Mean=0.0133, Std=1.9074, Min=-3.8706, Max=6.1798, RMS=1.9075
  Col 30: Mean=-0.0061, Std=0.9490, Min=-2.3460, Max=2.2227, RMS=0.9490
  Col 31: Mean=0.0449, Std=2.9926, Min=-7.4591, Max=7.7244, RMS=2.9929
  Col 32: Mean=0.0124, Std=1.9829, Min=-4.0129, Max=5.9119, RMS=1.9830
  Col 33: Mean=0.0015, Std=0.8906, Min=-3.0933, Max=2.2626, RMS=0.8906
  Col 34: Mean=0.0013, Std=0.9305, Min=-2.6692, Max=2.3323, RMS=0.9305
  Col 35: Mean=0.0148, Std=2.0344, Min=-4.5775, Max=6.8686, RMS=2.0345
  Col 36: Mean=-0.0020, Std=0.9346, Min=-2.9099, Max=1.7545, RMS=0.9346
  Col 37: Mean=-0.0031, Std=1.3577, Min=-4.4822, Max=2.5922, RMS=1.3577
  Col 38: Mean=0.0106, Std=2.0622, Min=-4.4618, Max=6.0488, RMS=2.0623
  Col 39: Mean=-0.0015, Std=1.1238, Min=-2.1414, Max=2.4783, RMS=1.1238
  Col 40: Mean=0.0079, Std=1.9352, Min=-5.3417, Max=3.2282, RMS=1.9353
  Col 41: Mean=0.0082, Std=2.1105, Min=-4.5341, Max=6.3889, RMS=2.1105
  Col 42: Mean=0.0006, Std=1.3417, Min=-2.8570, Max=3.4084, RMS=1.3417
  Col 43: Mean=0.0152, Std=2.5246, Min=-6.3340, Max=5.1870, RMS=2.5246
  Col 44: Mean=0.0018, Std=2.2620, Min=-4.6426, Max=6.6787, RMS=2.2620
  Col 45: Mean=0.0098, Std=1.6998, Min=-8.9249, Max=8.2773, RMS=1.6999
  Col 46: Mean=0.0630, Std=4.0620, Min=-18.1640, Max=17.0958, RMS=4.0625
  Col 47: Mean=-0.3253, Std=3.4460, Min=-11.9255, Max=14.5211, RMS=3.4613
  Col 48: Mean=0.0200, Std=1.9195, Min=-9.0368, Max=11.8705, RMS=1.9196
  Col 49: Mean=0.0366, Std=5.2213, Min=-24.7740, Max=18.8556, RMS=5.2215
  Col 50: Mean=-0.0634, Std=2.8799, Min=-9.9170, Max=13.5974, RMS=2.8806
  Col 51: Mean=0.0153, Std=2.3138, Min=-12.7787, Max=13.3135, RMS=2.3138
  Col 52: Mean=0.0333, Std=9.0917, Min=-33.5820, Max=27.6453, RMS=9.0918
  Col 53: Mean=-0.1169, Std=5.4409, Min=-21.7247, Max=22.9099, RMS=5.4422
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0069, Std=1.8690, Min=-16.1811, Max=9.2954, RMS=1.8690
  Col 58: Mean=-0.0134, Std=5.0062, Min=-20.4001, Max=18.7188, RMS=5.0062
  Col 59: Mean=-0.0017, Std=3.7748, Min=-20.6596, Max=14.9990, RMS=3.7748
  Col 60: Mean=-0.0318, Std=2.7895, Min=-21.6588, Max=10.9063, RMS=2.7896
  Col 61: Mean=0.0224, Std=5.4672, Min=-26.3306, Max=20.6864, RMS=5.4673
  Col 62: Mean=-0.0708, Std=3.4820, Min=-21.3746, Max=13.7819, RMS=3.4827
  Col 63: Mean=-0.0033, Std=2.1459, Min=-10.2661, Max=17.8786, RMS=2.1459
