--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Valerio/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0010, Std=1.2207, Min=-7.2115, Max=4.3683, RMS=1.2207
  Col 1: Mean=-0.0023, Std=1.4424, Min=-4.2884, Max=3.4008, RMS=1.4424
  Col 2: Mean=-0.0051, Std=1.3945, Min=-3.0344, Max=4.5793, RMS=1.3945
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0010, Std=0.7797, Min=-1.7845, Max=1.8650, RMS=0.7797
  Col 13: Mean=-0.0047, Std=0.9617, Min=-1.9546, Max=2.3895, RMS=0.9617
  Col 14: Mean=-0.0096, Std=1.5272, Min=-3.7242, Max=4.3105, RMS=1.5273
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0010, Std=0.8674, Min=-1.8005, Max=2.0286, RMS=0.8674
  Col 19: Mean=-0.0113, Std=0.8253, Min=-1.8966, Max=1.8054, RMS=0.8253
  Col 20: Mean=-0.0178, Std=1.4595, Min=-3.3269, Max=4.6799, RMS=1.4596
  Col 21: Mean=0.0013, Std=0.9316, Min=-2.4462, Max=2.3231, RMS=0.9316
  Col 22: Mean=-0.0048, Std=1.0054, Min=-2.0441, Max=3.7048, RMS=1.0054
  Col 23: Mean=-0.0092, Std=1.4106, Min=-3.4769, Max=4.5908, RMS=1.4107
  Col 24: Mean=-0.0015, Std=0.9049, Min=-2.6291, Max=1.9207, RMS=0.9049
  Col 25: Mean=0.0029, Std=1.1479, Min=-3.0306, Max=3.5680, RMS=1.1479
  Col 26: Mean=-0.0137, Std=1.4319, Min=-3.2613, Max=4.1004, RMS=1.4320
  Col 27: Mean=-0.0037, Std=0.6963, Min=-1.5760, Max=1.6225, RMS=0.6963
  Col 28: Mean=-0.0026, Std=1.8254, Min=-4.7941, Max=3.9564, RMS=1.8254
  Col 29: Mean=-0.0163, Std=1.3632, Min=-2.8858, Max=4.1200, RMS=1.3633
  Col 30: Mean=-0.0057, Std=0.7651, Min=-1.7058, Max=1.7314, RMS=0.7651
  Col 31: Mean=-0.0069, Std=2.2140, Min=-5.6573, Max=5.0447, RMS=2.2140
  Col 32: Mean=-0.0164, Std=1.4593, Min=-2.9697, Max=4.2622, RMS=1.4594
  Col 33: Mean=0.0014, Std=0.9039, Min=-2.3782, Max=2.3474, RMS=0.9039
  Col 34: Mean=-0.0059, Std=0.9580, Min=-2.1965, Max=2.4068, RMS=0.9580
  Col 35: Mean=-0.0088, Std=1.4394, Min=-3.6469, Max=4.8079, RMS=1.4394
  Col 36: Mean=-0.0062, Std=0.9297, Min=-2.3676, Max=1.9581, RMS=0.9297
  Col 37: Mean=0.0217, Std=1.2273, Min=-3.9062, Max=3.6294, RMS=1.2275
  Col 38: Mean=-0.4784, Std=2.4486, Min=-8.9852, Max=4.3790, RMS=2.4948
  Col 39: Mean=-0.0078, Std=1.0146, Min=-2.1891, Max=2.2286, RMS=1.0147
  Col 40: Mean=0.0004, Std=2.0762, Min=-5.0722, Max=5.3781, RMS=2.0762
  Col 41: Mean=-0.0289, Std=1.4258, Min=-3.3442, Max=4.6501, RMS=1.4261
  Col 42: Mean=-0.0131, Std=1.1687, Min=-2.1976, Max=2.6547, RMS=1.1687
  Col 43: Mean=-0.0004, Std=2.6288, Min=-6.9833, Max=7.0006, RMS=2.6288
  Col 44: Mean=-0.0379, Std=1.5629, Min=-3.7332, Max=4.5410, RMS=1.5633
  Col 45: Mean=0.0009, Std=1.2969, Min=-11.4741, Max=4.7132, RMS=1.2969
  Col 46: Mean=-0.0004, Std=3.4824, Min=-11.5477, Max=11.0896, RMS=3.4824
  Col 47: Mean=-0.0068, Std=2.2154, Min=-6.6612, Max=8.3932, RMS=2.2154
  Col 48: Mean=-0.0185, Std=1.5484, Min=-10.8885, Max=6.7707, RMS=1.5485
  Col 49: Mean=-0.0259, Std=4.6554, Min=-18.2320, Max=16.4369, RMS=4.6554
  Col 50: Mean=-0.0754, Std=2.0187, Min=-6.4646, Max=7.9300, RMS=2.0201
  Col 51: Mean=-0.0021, Std=1.9903, Min=-12.2487, Max=9.8497, RMS=1.9903
  Col 52: Mean=-0.0454, Std=8.2328, Min=-31.3373, Max=30.4154, RMS=8.2329
  Col 53: Mean=-0.1242, Std=4.4336, Min=-19.6413, Max=14.9406, RMS=4.4353
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
