--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Valerio/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0063, Std=1.2100, Min=-8.4732, Max=4.3164, RMS=1.2101
  Col 1: Mean=-0.0036, Std=1.4429, Min=-4.8695, Max=4.7279, RMS=1.4429
  Col 2: Mean=-0.0035, Std=1.6903, Min=-3.6388, Max=5.7340, RMS=1.6903
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0046, Std=0.7617, Min=-1.7237, Max=2.1248, RMS=0.7617
  Col 13: Mean=-0.0110, Std=1.0874, Min=-2.4032, Max=2.5313, RMS=1.0874
  Col 14: Mean=-0.0107, Std=1.8052, Min=-3.8345, Max=6.2943, RMS=1.8052
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0001, Std=0.9106, Min=-2.2749, Max=2.1383, RMS=0.9106
  Col 19: Mean=-0.0129, Std=0.9961, Min=-2.2120, Max=2.4415, RMS=0.9962
  Col 20: Mean=-0.0198, Std=1.6261, Min=-3.6130, Max=4.9914, RMS=1.6262
  Col 21: Mean=0.0050, Std=0.9313, Min=-2.3566, Max=2.5988, RMS=0.9313
  Col 22: Mean=-0.0177, Std=1.1088, Min=-2.6138, Max=3.1847, RMS=1.1090
  Col 23: Mean=-0.3183, Std=2.2252, Min=-8.8374, Max=6.1350, RMS=2.2479
  Col 24: Mean=-0.0075, Std=0.9346, Min=-2.3093, Max=2.2094, RMS=0.9346
  Col 25: Mean=-0.0040, Std=1.2540, Min=-3.6924, Max=3.8584, RMS=1.2541
  Col 26: Mean=-0.0166, Std=1.6588, Min=-4.1540, Max=5.1493, RMS=1.6589
  Col 27: Mean=-0.0097, Std=0.8620, Min=-2.1156, Max=1.9531, RMS=0.8620
  Col 28: Mean=-0.0088, Std=2.5248, Min=-6.4644, Max=5.0123, RMS=2.5248
  Col 29: Mean=-0.0206, Std=1.5481, Min=-3.2597, Max=4.2469, RMS=1.5482
  Col 30: Mean=-0.0106, Std=1.0344, Min=-2.7115, Max=2.8128, RMS=1.0345
  Col 31: Mean=-0.0127, Std=3.1039, Min=-7.4636, Max=6.5766, RMS=3.1039
  Col 32: Mean=-0.0225, Std=1.6732, Min=-4.0384, Max=4.1555, RMS=1.6734
  Col 33: Mean=-0.0053, Std=0.9144, Min=-2.4447, Max=2.0140, RMS=0.9144
  Col 34: Mean=-0.0085, Std=1.1215, Min=-2.4269, Max=2.9852, RMS=1.1215
  Col 35: Mean=-0.0099, Std=1.6714, Min=-3.8472, Max=6.2754, RMS=1.6715
  Col 36: Mean=-0.0039, Std=0.9432, Min=-2.5058, Max=2.1265, RMS=0.9432
  Col 37: Mean=-0.0189, Std=1.3890, Min=-4.0076, Max=3.3905, RMS=1.3891
  Col 38: Mean=-0.2552, Std=2.2199, Min=-9.0572, Max=5.8651, RMS=2.2345
  Col 39: Mean=-0.0069, Std=0.9690, Min=-1.8740, Max=1.8979, RMS=0.9691
  Col 40: Mean=-0.0080, Std=2.1873, Min=-4.4384, Max=5.4747, RMS=2.1873
  Col 41: Mean=-0.0176, Std=1.6296, Min=-3.2084, Max=6.3825, RMS=1.6297
