--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Valerio/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0032, Std=1.5274, Min=-3.7332, Max=5.2995, RMS=1.5274
  Col 1: Mean=0.0192, Std=1.3243, Min=-4.6175, Max=5.0621, RMS=1.3245
  Col 2: Mean=-0.0823, Std=3.0436, Min=-8.7757, Max=10.1017, RMS=3.0448
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0262, Std=0.6499, Min=-1.5701, Max=2.2072, RMS=0.6504
  Col 13: Mean=0.0111, Std=0.8922, Min=-2.8345, Max=2.3985, RMS=0.8923
  Col 14: Mean=0.0002, Std=2.6873, Min=-5.1089, Max=8.2544, RMS=2.6873
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0282, Std=0.7485, Min=-1.7214, Max=2.2266, RMS=0.7490
  Col 19: Mean=0.0167, Std=0.8596, Min=-2.1877, Max=2.3272, RMS=0.8597
  Col 20: Mean=-0.0151, Std=2.4756, Min=-5.9914, Max=6.6020, RMS=2.4756
  Col 21: Mean=-0.0372, Std=0.7299, Min=-1.7262, Max=2.0738, RMS=0.7308
  Col 22: Mean=0.0220, Std=1.2668, Min=-4.0877, Max=4.2674, RMS=1.2670
  Col 23: Mean=0.0052, Std=3.0292, Min=-6.1623, Max=9.5833, RMS=3.0292
  Col 24: Mean=-0.0215, Std=1.3056, Min=-3.4889, Max=4.0323, RMS=1.3057
  Col 25: Mean=0.0224, Std=1.3191, Min=-3.6637, Max=3.8517, RMS=1.3193
  Col 26: Mean=-0.0083, Std=2.9343, Min=-6.2018, Max=8.3186, RMS=2.9343
  Col 27: Mean=-0.0050, Std=2.0134, Min=-5.4161, Max=3.8548, RMS=2.0134
  Col 28: Mean=0.0073, Std=1.0543, Min=-2.6527, Max=2.8260, RMS=1.0543
  Col 29: Mean=-0.0318, Std=2.9109, Min=-6.2223, Max=9.6492, RMS=2.9111
  Col 30: Mean=-0.0085, Std=2.4874, Min=-5.8426, Max=5.6622, RMS=2.4875
  Col 31: Mean=-0.0002, Std=1.5713, Min=-4.4759, Max=3.7476, RMS=1.5713
  Col 32: Mean=-0.0403, Std=2.7756, Min=-4.8054, Max=9.6486, RMS=2.7759
  Col 33: Mean=-0.0225, Std=0.8231, Min=-1.8407, Max=2.8168, RMS=0.8234
  Col 34: Mean=0.0232, Std=1.2224, Min=-3.2973, Max=4.1875, RMS=1.2227
  Col 35: Mean=0.0079, Std=3.0703, Min=-6.5293, Max=9.6350, RMS=3.0703
  Col 36: Mean=-0.0042, Std=1.4056, Min=-2.4280, Max=4.3607, RMS=1.4057
  Col 37: Mean=0.0071, Std=1.3083, Min=-3.6959, Max=3.1366, RMS=1.3083
  Col 38: Mean=0.0013, Std=3.1485, Min=-6.6483, Max=8.6976, RMS=3.1485
  Col 39: Mean=-0.0437, Std=1.8916, Min=-4.0392, Max=4.6311, RMS=1.8921
  Col 40: Mean=0.0065, Std=1.2554, Min=-3.0267, Max=2.3774, RMS=1.2554
  Col 41: Mean=0.0061, Std=3.0334, Min=-5.8662, Max=9.4878, RMS=3.0334
  Col 42: Mean=-0.0436, Std=2.3837, Min=-4.8956, Max=6.6744, RMS=2.3841
  Col 43: Mean=0.0220, Std=1.5413, Min=-2.9778, Max=3.4660, RMS=1.5415
  Col 44: Mean=-0.0730, Std=3.2206, Min=-8.6264, Max=10.7348, RMS=3.2214
  Col 45: Mean=0.0288, Std=4.4663, Min=-12.6500, Max=11.3165, RMS=4.4664
  Col 46: Mean=0.0174, Std=1.8517, Min=-6.5641, Max=7.3950, RMS=1.8518
  Col 47: Mean=-0.0105, Std=3.9397, Min=-11.8061, Max=12.0839, RMS=3.9397
  Col 48: Mean=-0.1099, Std=6.3525, Min=-25.6836, Max=18.7799, RMS=6.3535
  Col 49: Mean=0.0545, Std=2.8714, Min=-11.1492, Max=9.1533, RMS=2.8719
  Col 50: Mean=-0.1497, Std=4.5512, Min=-15.1227, Max=13.4586, RMS=4.5537
  Col 51: Mean=-0.0078, Std=9.7655, Min=-23.5900, Max=34.7581, RMS=9.7655
  Col 52: Mean=-0.0085, Std=5.5727, Min=-42.9049, Max=42.1059, RMS=5.5727
  Col 53: Mean=-0.1120, Std=7.3089, Min=-29.3453, Max=43.1344, RMS=7.3097
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
