--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Valerio/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0040, Std=1.5196, Min=-4.3840, Max=3.3303, RMS=1.5196
  Col 1: Mean=-0.0142, Std=1.4081, Min=-4.4020, Max=4.8856, RMS=1.4081
  Col 2: Mean=0.0007, Std=2.1990, Min=-4.2010, Max=6.1042, RMS=2.1990
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0069, Std=0.9518, Min=-2.7129, Max=2.2481, RMS=0.9518
  Col 13: Mean=-0.0249, Std=0.9247, Min=-2.0254, Max=2.6419, RMS=0.9251
  Col 14: Mean=-0.4896, Std=2.8994, Min=-9.0555, Max=6.0021, RMS=2.9405
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0017, Std=0.9136, Min=-3.1911, Max=2.4022, RMS=0.9136
  Col 19: Mean=-0.0157, Std=1.0229, Min=-2.5018, Max=3.5882, RMS=1.0230
  Col 20: Mean=-0.0154, Std=2.1670, Min=-5.0302, Max=6.4340, RMS=2.1671
  Col 21: Mean=0.0086, Std=1.0254, Min=-2.6996, Max=2.3170, RMS=1.0254
  Col 22: Mean=-0.0150, Std=1.4793, Min=-4.2433, Max=3.3911, RMS=1.4793
  Col 23: Mean=0.0062, Std=2.2712, Min=-4.4480, Max=6.9097, RMS=2.2712
  Col 24: Mean=-0.0082, Std=1.5610, Min=-4.1926, Max=4.5236, RMS=1.5610
  Col 25: Mean=-0.0135, Std=1.3653, Min=-2.6699, Max=3.0375, RMS=1.3653
  Col 26: Mean=-0.0015, Std=2.1231, Min=-4.2265, Max=5.8428, RMS=2.1231
  Col 27: Mean=-0.0046, Std=2.6271, Min=-6.9003, Max=6.1260, RMS=2.6271
  Col 28: Mean=-0.0150, Std=0.9984, Min=-2.1012, Max=2.6247, RMS=0.9985
  Col 29: Mean=-0.0136, Std=1.8859, Min=-3.8612, Max=4.6589, RMS=1.8859
  Col 30: Mean=-0.0223, Std=3.1734, Min=-8.4162, Max=6.9238, RMS=3.1735
  Col 31: Mean=0.0027, Std=1.1972, Min=-2.8656, Max=3.7146, RMS=1.1972
  Col 32: Mean=-0.1243, Std=2.1140, Min=-8.9625, Max=4.6199, RMS=2.1176
  Col 33: Mean=0.0079, Std=1.0673, Min=-3.4206, Max=2.5028, RMS=1.0674
  Col 34: Mean=-0.0132, Std=1.4180, Min=-3.6748, Max=3.2319, RMS=1.4181
  Col 35: Mean=0.0056, Std=2.3229, Min=-4.6274, Max=6.9263, RMS=2.3229
  Col 36: Mean=0.0018, Std=1.6608, Min=-3.5871, Max=4.7875, RMS=1.6608
  Col 37: Mean=-0.0126, Std=1.1843, Min=-2.5965, Max=3.1663, RMS=1.1844
  Col 38: Mean=-0.0018, Std=2.2709, Min=-4.5814, Max=6.5456, RMS=2.2709
  Col 39: Mean=0.0292, Std=2.6062, Min=-6.7956, Max=4.9651, RMS=2.6063
  Col 40: Mean=-0.0227, Std=0.7088, Min=-1.7222, Max=1.8346, RMS=0.7092
  Col 41: Mean=-0.0041, Std=2.1480, Min=-4.5794, Max=7.6799, RMS=2.1480
  Col 42: Mean=0.0412, Std=3.2470, Min=-8.2941, Max=7.5987, RMS=3.2473
  Col 43: Mean=-0.0307, Std=0.8425, Min=-1.9692, Max=2.0990, RMS=0.8430
  Col 44: Mean=-0.0119, Std=2.1541, Min=-5.2214, Max=7.5973, RMS=2.1541
  Col 45: Mean=-0.0041, Std=4.0234, Min=-7.1793, Max=13.8753, RMS=4.0234
  Col 46: Mean=-0.0164, Std=1.4184, Min=-4.7591, Max=6.0273, RMS=1.4184
  Col 47: Mean=-0.0099, Std=3.9368, Min=-10.5634, Max=12.4827, RMS=3.9368
  Col 48: Mean=0.1039, Std=5.9588, Min=-11.7359, Max=22.0851, RMS=5.9597
  Col 49: Mean=-0.0622, Std=1.8624, Min=-5.3487, Max=6.3011, RMS=1.8634
  Col 50: Mean=-0.0797, Std=4.9149, Min=-12.9588, Max=18.6580, RMS=4.9156
  Col 51: Mean=0.2378, Std=8.4540, Min=-41.1837, Max=17.9383, RMS=8.4574
  Col 52: Mean=-0.0072, Std=2.7712, Min=-18.5808, Max=16.9762, RMS=2.7712
  Col 53: Mean=-0.0576, Std=8.4215, Min=-21.9004, Max=34.2116, RMS=8.4217
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0009, Std=4.8460, Min=-10.2827, Max=15.5662, RMS=4.8460
  Col 58: Mean=0.0021, Std=1.6348, Min=-6.3258, Max=5.3974, RMS=1.6348
  Col 59: Mean=-0.0091, Std=4.4271, Min=-12.7043, Max=16.0720, RMS=4.4271
  Col 60: Mean=0.1059, Std=6.0464, Min=-19.0115, Max=20.6364, RMS=6.0473
  Col 61: Mean=0.0369, Std=2.3632, Min=-13.4024, Max=14.1497, RMS=2.3634
  Col 62: Mean=-0.1112, Std=5.6893, Min=-14.3333, Max=22.3726, RMS=5.6904
  Col 63: Mean=0.2667, Std=9.0808, Min=-43.3414, Max=19.0125, RMS=9.0847
  Col 64: Mean=-0.0710, Std=2.6697, Min=-10.4178, Max=22.3184, RMS=2.6706
  Col 65: Mean=-0.0667, Std=9.1903, Min=-29.1156, Max=36.1875, RMS=9.1906
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-19.3712, Std=13.2371, Min=-57.0824, Max=7.6407, RMS=23.4620
  Col 1: Mean=-79.8562, Std=2.1458, Min=-85.3411, Max=-75.0926, RMS=79.8851
  Col 2: Mean=18.4080, Std=13.4971, Min=-10.0329, Max=55.6216, RMS=22.8261
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-42.0844, Std=71.0417, Min=-179.8835, Max=128.7242, RMS=82.5713
  Col 13: Mean=-80.1656, Std=18.6122, Min=-89.9122, Max=-6.2921, RMS=82.2978
  Col 14: Mean=-29.5313, Std=132.9672, Min=-179.9951, Max=179.9823, RMS=136.2071
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-76.6534, Std=7.7732, Min=-98.2142, Max=-69.1118, RMS=77.0465
  Col 19: Mean=-5.0974, Std=1.8678, Min=-9.6464, Max=-1.3197, RMS=5.4289
  Col 20: Mean=84.6558, Std=2.7585, Min=80.2053, Max=91.1531, RMS=84.7007
  Col 21: Mean=47.1731, Std=6.0007, Min=40.1321, Max=64.0688, RMS=47.5533
  Col 22: Mean=4.9181, Std=2.9327, Min=-1.2741, Max=11.3565, RMS=5.7261
  Col 23: Mean=-87.8241, Std=4.3736, Min=-96.0981, Max=-78.4982, RMS=87.9329
  Col 24: Mean=33.8791, Std=13.9186, Min=-6.5587, Max=54.2369, RMS=36.6267
  Col 25: Mean=-68.1162, Std=3.9361, Min=-78.8764, Max=-61.0914, RMS=68.2298
  Col 26: Mean=42.5344, Std=15.5776, Min=17.4207, Max=79.2465, RMS=45.2972
  Col 27: Mean=-39.2666, Std=23.4850, Min=-62.6326, Max=59.4530, RMS=45.7538
  Col 28: Mean=-72.9141, Std=7.8123, Min=-86.5654, Max=-53.0617, RMS=73.3314
  Col 29: Mean=150.1673, Std=39.4574, Min=-179.9613, Max=179.7354, RMS=155.2646
  Col 30: Mean=-71.1270, Std=12.0787, Min=-173.0505, Max=-57.9491, RMS=72.1453
  Col 31: Mean=-0.1130, Std=8.9050, Min=-19.0945, Max=21.9115, RMS=8.9057
  Col 32: Mean=-166.3340, Std=5.2455, Min=-179.2496, Max=-156.6522, RMS=166.4167
  Col 33: Mean=46.2629, Std=6.6109, Min=37.6300, Max=63.7835, RMS=46.7328
  Col 34: Mean=1.9126, Std=2.2102, Min=-2.2045, Max=6.7402, RMS=2.9229
  Col 35: Mean=-103.9983, Std=3.8490, Min=-111.7044, Max=-96.6023, RMS=104.0695
  Col 36: Mean=-37.8356, Std=19.8643, Min=-60.5398, Max=24.1508, RMS=42.7332
  Col 37: Mean=-71.4270, Std=4.5609, Min=-81.0422, Max=-61.6924, RMS=71.5725
  Col 38: Mean=-62.9534, Std=20.2768, Min=-119.1177, Max=-38.1520, RMS=66.1383
  Col 39: Mean=73.5172, Std=19.5937, Min=-57.2452, Max=93.5249, RMS=76.0834
  Col 40: Mean=-72.1090, Std=8.8532, Min=-87.7780, Max=-51.4092, RMS=72.6505
  Col 41: Mean=133.3548, Std=97.1970, Min=-179.5117, Max=179.4385, RMS=165.0174
  Col 42: Mean=-82.4929, Std=4.1424, Min=-90.0514, Max=-73.5468, RMS=82.5969
  Col 43: Mean=-5.0708, Std=10.0162, Min=-27.1160, Max=17.6597, RMS=11.2266
  Col 44: Mean=-21.8840, Std=3.6722, Min=-32.7131, Max=-15.0203, RMS=22.1900
  Col 45: Mean=-72.3753, Std=110.2812, Min=-179.9126, Max=178.9976, RMS=131.9096
  Col 46: Mean=-66.3229, Std=16.4697, Min=-89.3348, Max=-33.9669, RMS=68.3372
  Col 47: Mean=-135.1066, Std=70.8233, Min=-178.6497, Max=179.4706, RMS=152.5442
  Col 48: Mean=42.1104, Std=17.3758, Min=-33.0844, Max=64.0736, RMS=45.5544
  Col 49: Mean=-60.6908, Std=11.8442, Min=-76.8834, Max=-31.5624, RMS=61.8358
  Col 50: Mean=24.8883, Std=16.9587, Min=4.0863, Max=98.2868, RMS=30.1168
  Col 51: Mean=-21.3981, Std=12.9343, Min=-44.3688, Max=31.4143, RMS=25.0035
  Col 52: Mean=-42.9583, Std=17.9155, Min=-83.1066, Max=-20.8657, RMS=46.5444
  Col 53: Mean=155.8261, Std=13.1531, Min=102.5846, Max=175.6093, RMS=156.3802
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=15.1458, Std=129.2129, Min=-179.7149, Max=179.1072, RMS=130.0975
  Col 58: Mean=-67.9794, Std=10.1007, Min=-83.7497, Max=-41.6946, RMS=68.7257
  Col 59: Mean=105.2557, Std=48.0358, Min=28.8664, Max=164.6521, RMS=115.6988
  Col 60: Mean=-100.2101, Std=53.5127, Min=-179.0227, Max=177.0845, RMS=113.6032
  Col 61: Mean=-59.4654, Std=14.7597, Min=-82.8074, Max=-24.5067, RMS=61.2697
  Col 62: Mean=26.9773, Std=25.1996, Min=5.7831, Max=159.2534, RMS=36.9160
  Col 63: Mean=7.4928, Std=19.0528, Min=-76.1260, Max=26.9499, RMS=20.4732
  Col 64: Mean=-42.1524, Std=18.3352, Min=-81.0863, Max=-17.7274, RMS=45.9674
  Col 65: Mean=-160.9807, Std=19.2135, Min=-179.6929, Max=-77.0885, RMS=162.1232
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.6198, Std=0.1002, Min=-0.7778, Max=-0.4221, RMS=0.6279
  Col 1: Mean=0.0600, Std=0.0604, Min=-0.0581, Max=0.1919, RMS=0.0851
  Col 2: Mean=0.2384, Std=0.0736, Min=0.0977, Max=0.3792, RMS=0.2495
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.6254, Std=0.1145, Min=-0.7886, Max=-0.3359, RMS=0.6358
  Col 13: Mean=0.0175, Std=0.0595, Min=-0.1387, Max=0.1208, RMS=0.0620
  Col 14: Mean=-0.3568, Std=0.0918, Min=-0.5471, Max=-0.1890, RMS=0.3685
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.1140, Std=0.0711, Min=-0.2310, Max=0.0669, RMS=0.1344
  Col 19: Mean=0.5945, Std=0.0861, Min=0.3467, Max=0.7065, RMS=0.6007
  Col 20: Mean=0.2197, Std=0.1208, Min=0.0332, Max=0.5276, RMS=0.2507
  Col 21: Mean=0.0974, Std=0.0678, Min=-0.0605, Max=0.2212, RMS=0.1187
  Col 22: Mean=-0.7416, Std=0.0357, Min=-0.7903, Max=-0.6382, RMS=0.7425
  Col 23: Mean=-0.1511, Std=0.1336, Min=-0.3577, Max=0.2026, RMS=0.2017
  Col 24: Mean=-0.6098, Std=0.0847, Min=-0.7395, Max=-0.3872, RMS=0.6156
  Col 25: Mean=0.1270, Std=0.1157, Min=-0.0840, Max=0.3887, RMS=0.1718
  Col 26: Mean=-0.1813, Std=0.0479, Min=-0.3083, Max=-0.0793, RMS=0.1875
  Col 27: Mean=-0.5888, Std=0.1337, Min=-0.8572, Max=-0.3481, RMS=0.6038
  Col 28: Mean=0.4557, Std=0.0922, Min=0.2954, Max=0.6418, RMS=0.4649
  Col 29: Mean=-0.3737, Std=0.0868, Min=-0.5933, Max=-0.2383, RMS=0.3836
  Col 30: Mean=0.2967, Std=0.1319, Min=0.0513, Max=0.5608, RMS=0.3247
  Col 31: Mean=0.6157, Std=0.1336, Min=0.3738, Max=0.8794, RMS=0.6300
  Col 32: Mean=-0.3643, Std=0.0881, Min=-0.5667, Max=-0.2249, RMS=0.3748
  Col 33: Mean=0.0526, Std=0.0581, Min=-0.0859, Max=0.1653, RMS=0.0784
  Col 34: Mean=-0.6926, Std=0.0390, Min=-0.7590, Max=-0.5933, RMS=0.6937
  Col 35: Mean=-0.1228, Std=0.1550, Min=-0.3657, Max=0.2515, RMS=0.1977
  Col 36: Mean=-0.6110, Std=0.0882, Min=-0.7515, Max=-0.3843, RMS=0.6174
  Col 37: Mean=-0.2011, Std=0.1389, Min=-0.4402, Max=0.1011, RMS=0.2444
  Col 38: Mean=-0.1427, Std=0.0971, Min=-0.3242, Max=0.0750, RMS=0.1726
  Col 39: Mean=-0.5310, Std=0.1463, Min=-0.8123, Max=-0.2693, RMS=0.5508
