--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Valerio/imu/walk/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0157, Std=1.1455, Min=-3.3444, Max=3.0977, RMS=1.1456
  Col 1: Mean=-0.0077, Std=0.8623, Min=-2.6631, Max=2.6923, RMS=0.8623
  Col 2: Mean=-0.4382, Std=2.2454, Min=-9.0023, Max=3.7851, RMS=2.2878
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0010, Std=0.7728, Min=-1.7050, Max=1.9477, RMS=0.7728
  Col 13: Mean=-0.0006, Std=0.6970, Min=-1.4299, Max=1.4944, RMS=0.6970
  Col 14: Mean=-0.0001, Std=1.4844, Min=-2.9851, Max=4.0238, RMS=1.4844
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0040, Std=0.7058, Min=-2.6501, Max=1.8222, RMS=0.7058
  Col 19: Mean=0.0000, Std=0.6933, Min=-1.7945, Max=1.4180, RMS=0.6933
  Col 20: Mean=-0.0028, Std=1.4131, Min=-4.6912, Max=4.0319, RMS=1.4131
  Col 21: Mean=-0.0019, Std=0.7836, Min=-1.8091, Max=2.4853, RMS=0.7836
  Col 22: Mean=-0.0008, Std=0.7828, Min=-2.5259, Max=1.8731, RMS=0.7828
  Col 23: Mean=-0.0005, Std=1.3474, Min=-2.7427, Max=4.1569, RMS=1.3474
  Col 24: Mean=-0.0012, Std=0.9308, Min=-2.4416, Max=3.0719, RMS=0.9308
  Col 25: Mean=0.0008, Std=0.7905, Min=-1.9270, Max=1.2732, RMS=0.7905
  Col 26: Mean=-0.0030, Std=1.4351, Min=-3.2177, Max=3.8137, RMS=1.4351
  Col 27: Mean=-0.0076, Std=1.3768, Min=-3.3750, Max=3.1208, RMS=1.3768
  Col 28: Mean=-0.0013, Std=0.6910, Min=-1.3436, Max=1.7730, RMS=0.6910
  Col 29: Mean=-0.0029, Std=1.3629, Min=-2.5554, Max=3.3807, RMS=1.3629
  Col 30: Mean=-0.0096, Std=1.7840, Min=-4.2642, Max=4.5751, RMS=1.7841
  Col 31: Mean=-0.0012, Std=0.7322, Min=-1.4818, Max=2.0045, RMS=0.7322
  Col 32: Mean=-0.0034, Std=1.3807, Min=-2.5171, Max=3.2212, RMS=1.3807
  Col 33: Mean=-0.0014, Std=0.8134, Min=-1.8851, Max=2.4301, RMS=0.8134
  Col 34: Mean=-0.0017, Std=0.7716, Min=-1.6529, Max=1.6815, RMS=0.7716
  Col 35: Mean=0.0002, Std=1.3876, Min=-2.6672, Max=4.1946, RMS=1.3876
  Col 36: Mean=-0.0024, Std=1.0436, Min=-2.7710, Max=3.5480, RMS=1.0436
  Col 37: Mean=-0.0027, Std=0.8197, Min=-1.6444, Max=1.7577, RMS=0.8197
  Col 38: Mean=-0.0025, Std=1.4977, Min=-2.7595, Max=3.7914, RMS=1.4977
  Col 39: Mean=-0.0130, Std=1.3005, Min=-2.7013, Max=3.1404, RMS=1.3005
  Col 40: Mean=-0.0002, Std=0.8437, Min=-1.5379, Max=1.4325, RMS=0.8437
  Col 41: Mean=-0.0018, Std=1.4806, Min=-2.9351, Max=4.0348, RMS=1.4806
  Col 42: Mean=-0.0172, Std=1.8159, Min=-4.9613, Max=4.4340, RMS=1.8160
  Col 43: Mean=-0.0008, Std=0.9389, Min=-1.9572, Max=1.7745, RMS=0.9389
  Col 44: Mean=-0.0046, Std=1.5777, Min=-3.2510, Max=4.0468, RMS=1.5778
  Col 45: Mean=0.0011, Std=3.6746, Min=-10.5785, Max=11.7774, RMS=3.6746
  Col 46: Mean=0.0004, Std=1.4327, Min=-9.1747, Max=8.2878, RMS=1.4327
  Col 47: Mean=-0.0067, Std=2.6664, Min=-9.4531, Max=8.7512, RMS=2.6664
  Col 48: Mean=-0.0323, Std=5.1873, Min=-16.4953, Max=15.0666, RMS=5.1874
  Col 49: Mean=0.0296, Std=1.6042, Min=-4.2500, Max=9.1426, RMS=1.6045
  Col 50: Mean=-0.1089, Std=2.2564, Min=-6.8757, Max=7.6208, RMS=2.2590
  Col 51: Mean=-0.0432, Std=9.1839, Min=-24.9441, Max=35.1287, RMS=9.1840
  Col 52: Mean=0.0038, Std=2.2651, Min=-16.2106, Max=9.1003, RMS=2.2651
  Col 53: Mean=-0.1760, Std=5.5307, Min=-24.1517, Max=15.0686, RMS=5.5335
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0035, Std=4.4636, Min=-12.5581, Max=14.9615, RMS=4.4636
  Col 58: Mean=0.0009, Std=1.4708, Min=-11.4834, Max=5.6997, RMS=1.4708
  Col 59: Mean=-0.0087, Std=2.7139, Min=-9.5901, Max=11.7288, RMS=2.7139
  Col 60: Mean=-0.0192, Std=5.0255, Min=-15.7192, Max=14.0322, RMS=5.0256
  Col 61: Mean=-0.0276, Std=2.4301, Min=-18.6822, Max=7.0989, RMS=2.4303
  Col 62: Mean=-0.1007, Std=2.4309, Min=-9.1988, Max=7.7283, RMS=2.4330
  Col 63: Mean=-0.0516, Std=9.3579, Min=-25.2264, Max=34.0584, RMS=9.3581
  Col 64: Mean=0.0132, Std=2.2356, Min=-13.7039, Max=9.2601, RMS=2.2356
  Col 65: Mean=-0.1554, Std=5.5406, Min=-23.4460, Max=19.3881, RMS=5.5428
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=54.4334, Std=32.1286, Min=3.1100, Max=179.8006, RMS=63.2079
  Col 1: Mean=-81.3383, Std=16.8325, Min=-88.2758, Max=-6.3464, RMS=83.0617
  Col 2: Mean=135.6937, Std=38.1274, Min=-179.9201, Max=179.9041, RMS=140.9485
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=19.0418, Std=3.2456, Min=12.5173, Max=34.6169, RMS=19.3165
  Col 13: Mean=-74.4456, Std=1.5329, Min=-79.6289, Max=-69.7616, RMS=74.4614
  Col 14: Mean=-15.6404, Std=3.4339, Min=-31.6854, Max=-7.6160, RMS=16.0129
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=62.1839, Std=4.0077, Min=53.9888, Max=73.0202, RMS=62.3129
  Col 19: Mean=-4.1274, Std=0.7667, Min=-5.7209, Max=-1.7797, RMS=4.1980
  Col 20: Mean=-98.0237, Std=1.3488, Min=-101.7223, Max=-95.3090, RMS=98.0330
  Col 21: Mean=61.1082, Std=1.6393, Min=53.7861, Max=66.1902, RMS=61.1302
  Col 22: Mean=0.6913, Std=0.9776, Min=-2.0892, Max=3.7185, RMS=1.1973
  Col 23: Mean=97.8670, Std=2.0665, Min=92.3342, Max=101.6900, RMS=97.8888
