--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Valerio/imu/walk/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0146, Std=1.2793, Min=-3.8607, Max=4.0478, RMS=1.2794
  Col 1: Mean=0.0093, Std=0.9492, Min=-3.2223, Max=3.3374, RMS=0.9493
  Col 2: Mean=-0.5334, Std=2.6638, Min=-9.0322, Max=4.4389, RMS=2.7167
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0019, Std=0.8922, Min=-2.0302, Max=2.0006, RMS=0.8922
  Col 13: Mean=0.0012, Std=0.7368, Min=-1.7423, Max=1.5692, RMS=0.7368
  Col 14: Mean=0.0003, Std=1.8911, Min=-3.3964, Max=4.8389, RMS=1.8911
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0028, Std=0.7606, Min=-1.8391, Max=1.7826, RMS=0.7606
  Col 19: Mean=0.0019, Std=0.6876, Min=-1.8700, Max=1.6519, RMS=0.6876
  Col 20: Mean=-0.0031, Std=1.7975, Min=-3.6889, Max=4.4246, RMS=1.7975
  Col 21: Mean=0.0011, Std=0.8982, Min=-2.0261, Max=2.5677, RMS=0.8982
  Col 22: Mean=0.0018, Std=0.7719, Min=-2.4950, Max=1.5956, RMS=0.7719
  Col 23: Mean=-0.0006, Std=1.7729, Min=-3.3415, Max=4.9177, RMS=1.7729
  Col 24: Mean=0.0036, Std=1.0319, Min=-2.3541, Max=3.0407, RMS=1.0319
