--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Vito/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0014, Std=1.5487, Min=-9.3769, Max=10.3324, RMS=1.5487
  Col 1: Mean=0.0230, Std=1.8371, Min=-5.3104, Max=7.2643, RMS=1.8372
  Col 2: Mean=-0.0077, Std=2.6733, Min=-5.5373, Max=17.3265, RMS=2.6733
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0004, Std=0.6332, Min=-3.3619, Max=2.3599, RMS=0.6332
  Col 13: Mean=0.0113, Std=0.8369, Min=-1.8630, Max=4.1476, RMS=0.8369
  Col 14: Mean=0.0038, Std=1.9959, Min=-5.3168, Max=9.7894, RMS=1.9959
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0030, Std=0.7178, Min=-4.1805, Max=3.7939, RMS=0.7178
  Col 19: Mean=0.0023, Std=0.7220, Min=-2.1323, Max=3.1854, RMS=0.7220
  Col 20: Mean=-0.0670, Std=2.3702, Min=-8.8542, Max=17.1259, RMS=2.3711
  Col 21: Mean=-0.0001, Std=0.8470, Min=-2.2791, Max=6.2499, RMS=0.8470
  Col 22: Mean=-0.0048, Std=0.8613, Min=-3.7244, Max=4.4366, RMS=0.8613
  Col 23: Mean=-0.3485, Std=2.5761, Min=-8.8540, Max=16.5628, RMS=2.5995
  Col 24: Mean=-0.0026, Std=0.8834, Min=-4.2071, Max=4.3175, RMS=0.8834
  Col 25: Mean=0.0074, Std=1.5235, Min=-3.5309, Max=9.6503, RMS=1.5235
  Col 26: Mean=-0.0010, Std=2.0156, Min=-5.0579, Max=9.3994, RMS=2.0156
  Col 27: Mean=0.0046, Std=0.9031, Min=-2.6128, Max=2.7824, RMS=0.9031
  Col 28: Mean=-0.0036, Std=1.6628, Min=-4.6135, Max=7.6526, RMS=1.6628
  Col 29: Mean=0.0000, Std=2.2282, Min=-4.5768, Max=10.2948, RMS=2.2282
  Col 30: Mean=0.0151, Std=1.2853, Min=-4.5832, Max=4.5428, RMS=1.2854
  Col 31: Mean=-0.0101, Std=1.9567, Min=-5.5098, Max=8.9960, RMS=1.9567
  Col 32: Mean=-0.0045, Std=2.2675, Min=-3.9060, Max=8.8720, RMS=2.2675
  Col 33: Mean=-0.0034, Std=0.8560, Min=-6.3405, Max=5.6160, RMS=0.8560
  Col 34: Mean=0.0151, Std=0.9032, Min=-3.1186, Max=4.2007, RMS=0.9033
  Col 35: Mean=-0.1306, Std=2.2436, Min=-8.4461, Max=14.5641, RMS=2.2474
  Col 36: Mean=0.0133, Std=1.0845, Min=-3.7419, Max=5.6784, RMS=1.0846
  Col 37: Mean=0.0152, Std=1.8639, Min=-6.0567, Max=12.0693, RMS=1.8640
  Col 38: Mean=-0.0651, Std=2.3021, Min=-8.9670, Max=9.8841, RMS=2.3030
  Col 39: Mean=-0.0140, Std=1.4044, Min=-9.6694, Max=17.9267, RMS=1.4044
  Col 40: Mean=-0.0199, Std=2.9676, Min=-15.2903, Max=11.5295, RMS=2.9676
  Col 41: Mean=0.0103, Std=2.3968, Min=-10.4196, Max=9.8278, RMS=2.3968
  Col 42: Mean=-0.0382, Std=1.3171, Min=-4.7815, Max=6.4738, RMS=1.3177
  Col 43: Mean=-0.0475, Std=3.4118, Min=-10.0668, Max=11.6296, RMS=3.4121
  Col 44: Mean=0.0181, Std=2.6953, Min=-6.2017, Max=9.8520, RMS=2.6954
  Col 45: Mean=0.0120, Std=2.2161, Min=-11.4119, Max=11.0308, RMS=2.2162
  Col 46: Mean=-0.0062, Std=4.3173, Min=-18.3189, Max=21.1021, RMS=4.3173
  Col 47: Mean=-0.0312, Std=5.3778, Min=-27.7040, Max=49.1384, RMS=5.3778
  Col 48: Mean=0.0134, Std=3.5471, Min=-18.5895, Max=21.2655, RMS=3.5471
  Col 49: Mean=-0.0379, Std=5.4096, Min=-25.0968, Max=28.3212, RMS=5.4098
  Col 50: Mean=-0.0900, Std=3.2930, Min=-12.0118, Max=31.6773, RMS=3.2942
  Col 51: Mean=-0.0153, Std=2.9305, Min=-21.8767, Max=17.7771, RMS=2.9305
  Col 52: Mean=-0.0575, Std=8.5260, Min=-37.6311, Max=34.5869, RMS=8.5262
  Col 53: Mean=-0.1157, Std=5.4979, Min=-32.3589, Max=23.1709, RMS=5.4991
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0036, Std=2.1433, Min=-16.5654, Max=9.6042, RMS=2.1433
  Col 58: Mean=0.0062, Std=4.6656, Min=-21.4013, Max=40.7726, RMS=4.6656
  Col 59: Mean=-0.0104, Std=6.1341, Min=-46.5868, Max=66.8506, RMS=6.1341
  Col 60: Mean=0.0345, Std=3.3152, Min=-12.5941, Max=32.9591, RMS=3.3154
  Col 61: Mean=-0.0065, Std=6.0515, Min=-37.6800, Max=39.1722, RMS=6.0515
  Col 62: Mean=-0.0670, Std=4.1587, Min=-18.9204, Max=53.6260, RMS=4.1592
  Col 63: Mean=0.0248, Std=2.4557, Min=-12.7729, Max=20.2629, RMS=2.4559
  Col 64: Mean=-0.0519, Std=8.6331, Min=-42.2150, Max=34.1721, RMS=8.6333
  Col 65: Mean=-0.1038, Std=6.0263, Min=-25.0925, Max=37.2284, RMS=6.0271
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=23.0545, Std=12.7004, Min=-4.2950, Max=55.2331, RMS=26.3213
  Col 1: Mean=-77.7110, Std=2.9394, Min=-83.2894, Max=-67.2402, RMS=77.7665
  Col 2: Mean=-110.8504, Std=12.2628, Min=-146.8491, Max=-87.8059, RMS=111.5266
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-14.1972, Std=5.9908, Min=-28.0410, Max=-0.2414, RMS=15.4095
  Col 13: Mean=-70.1441, Std=3.1348, Min=-76.4808, Max=-65.4371, RMS=70.2142
  Col 14: Mean=110.8212, Std=6.0275, Min=99.9244, Max=124.2590, RMS=110.9850
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=115.0054, Std=8.3168, Min=107.2890, Max=173.8220, RMS=115.3058
  Col 19: Mean=-2.7295, Std=1.2303, Min=-4.3193, Max=1.0224, RMS=2.9940
  Col 20: Mean=-144.8511, Std=98.1995, Min=-179.9648, Max=179.9267, RMS=175.0000
  Col 21: Mean=56.0900, Std=22.5113, Min=44.6384, Max=174.0712, RMS=60.4388
  Col 22: Mean=-1.7949, Std=1.8733, Min=-6.4330, Max=2.7657, RMS=2.5944
  Col 23: Mean=-109.0795, Std=137.4977, Min=-179.9596, Max=179.9940, RMS=175.5106
  Col 24: Mean=43.3284, Std=17.5260, Min=7.9336, Max=85.3986, RMS=46.7388
  Col 25: Mean=-77.3027, Std=3.8559, Min=-81.7079, Max=-64.7420, RMS=77.3988
  Col 26: Mean=-32.8036, Std=19.8904, Min=-77.7961, Max=9.8898, RMS=38.3628
  Col 27: Mean=-63.9380, Std=23.0064, Min=-160.7496, Max=-42.8015, RMS=67.9512
  Col 28: Mean=-72.0660, Std=4.7595, Min=-81.8243, Max=-58.6453, RMS=72.2230
  Col 29: Mean=93.1174, Std=19.4178, Min=79.0652, Max=170.5061, RMS=95.1204
  Col 30: Mean=74.5590, Std=8.8880, Min=53.5164, Max=101.7560, RMS=75.0869
  Col 31: Mean=-26.9792, Std=3.4576, Min=-36.9480, Max=-19.3200, RMS=27.1998
  Col 32: Mean=-40.5230, Std=11.9427, Min=-71.3676, Max=-25.8237, RMS=42.2462
  Col 33: Mean=51.1227, Std=11.8668, Min=43.0246, Max=173.7633, RMS=52.4819
  Col 34: Mean=-1.6736, Std=2.0910, Min=-5.6413, Max=2.8373, RMS=2.6783
  Col 35: Mean=168.9802, Std=3.4154, Min=161.1703, Max=179.8780, RMS=169.0147
  Col 36: Mean=-51.7077, Std=23.3402, Min=-179.7515, Max=14.8208, RMS=56.7314
  Col 37: Mean=-73.9147, Std=9.4553, Min=-82.9186, Max=-6.2181, RMS=74.5170
  Col 38: Mean=-111.5894, Std=59.6634, Min=-179.7948, Max=179.5614, RMS=126.5382
  Col 39: Mean=52.0345, Std=78.3734, Min=-176.7315, Max=176.4514, RMS=94.0743
  Col 40: Mean=-75.6817, Std=11.2017, Min=-89.5339, Max=-37.5944, RMS=76.5062
  Col 41: Mean=52.0673, Std=65.3220, Min=-179.1820, Max=171.1795, RMS=83.5342
