--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Vito/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0035, Std=1.0669, Min=-4.3151, Max=6.8532, RMS=1.0669
  Col 1: Mean=-0.0043, Std=1.6795, Min=-6.3730, Max=4.9369, RMS=1.6795
  Col 2: Mean=-0.0087, Std=1.5908, Min=-3.7928, Max=9.9708, RMS=1.5909
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0029, Std=0.5054, Min=-2.1523, Max=2.2429, RMS=0.5054
  Col 13: Mean=0.0020, Std=0.8603, Min=-2.1843, Max=1.9665, RMS=0.8603
  Col 14: Mean=-0.0065, Std=1.3378, Min=-2.8549, Max=4.9415, RMS=1.3378
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0010, Std=0.4812, Min=-1.4308, Max=2.0077, RMS=0.4812
  Col 19: Mean=0.0039, Std=0.6579, Min=-1.6432, Max=1.6695, RMS=0.6579
  Col 20: Mean=-0.0033, Std=1.3090, Min=-2.8554, Max=5.8609, RMS=1.3090
  Col 21: Mean=0.0007, Std=0.6681, Min=-2.5108, Max=2.1497, RMS=0.6681
  Col 22: Mean=-0.0006, Std=0.8449, Min=-2.7900, Max=1.8768, RMS=0.8449
  Col 23: Mean=-0.0082, Std=1.3048, Min=-2.7045, Max=6.2708, RMS=1.3049
  Col 24: Mean=0.0059, Std=0.5162, Min=-1.6311, Max=1.7943, RMS=0.5162
  Col 25: Mean=-0.0050, Std=1.2430, Min=-6.4171, Max=3.9476, RMS=1.2430
  Col 26: Mean=-0.3815, Std=2.2255, Min=-8.9866, Max=5.1313, RMS=2.2579
  Col 27: Mean=0.0031, Std=0.7034, Min=-1.5358, Max=4.0355, RMS=0.7034
  Col 28: Mean=0.0062, Std=1.1445, Min=-4.2400, Max=3.4241, RMS=1.1445
  Col 29: Mean=-0.0102, Std=1.4580, Min=-2.9566, Max=5.7212, RMS=1.4581
  Col 30: Mean=0.0082, Std=1.0115, Min=-2.8846, Max=5.9444, RMS=1.0115
  Col 31: Mean=0.0072, Std=1.2979, Min=-4.9526, Max=3.7365, RMS=1.2980
  Col 32: Mean=-0.0118, Std=1.5831, Min=-4.2489, Max=5.9594, RMS=1.5832
  Col 33: Mean=0.0040, Std=0.5682, Min=-1.5208, Max=2.8143, RMS=0.5682
  Col 34: Mean=-0.0012, Std=0.9309, Min=-3.7826, Max=2.3608, RMS=0.9309
  Col 35: Mean=-0.0074, Std=1.3316, Min=-2.7221, Max=5.4931, RMS=1.3317
  Col 36: Mean=0.0013, Std=0.5600, Min=-2.0010, Max=2.1421, RMS=0.5600
  Col 37: Mean=0.0032, Std=1.5067, Min=-8.8900, Max=3.7674, RMS=1.5067
  Col 38: Mean=-0.0118, Std=1.3420, Min=-2.9270, Max=5.5962, RMS=1.3420
  Col 39: Mean=0.0055, Std=0.5104, Min=-1.7491, Max=2.0083, RMS=0.5104
  Col 40: Mean=0.0035, Std=1.8083, Min=-6.7509, Max=4.8972, RMS=1.8083
  Col 41: Mean=-0.0149, Std=1.1742, Min=-2.3899, Max=4.8841, RMS=1.1743
  Col 42: Mean=0.0108, Std=0.7466, Min=-2.8782, Max=2.4408, RMS=0.7467
  Col 43: Mean=0.0044, Std=1.9561, Min=-5.9529, Max=5.1898, RMS=1.9561
  Col 44: Mean=-0.0176, Std=1.2462, Min=-2.8819, Max=4.7949, RMS=1.2463
  Col 45: Mean=-0.0149, Std=1.8477, Min=-10.0133, Max=6.9131, RMS=1.8478
  Col 46: Mean=0.0146, Std=2.9209, Min=-12.1502, Max=9.7632, RMS=2.9210
  Col 47: Mean=-0.0155, Std=3.2429, Min=-12.9803, Max=17.6994, RMS=3.2429
  Col 48: Mean=-0.0127, Std=2.0010, Min=-10.3360, Max=12.4041, RMS=2.0010
  Col 49: Mean=0.0253, Std=4.2633, Min=-16.0718, Max=14.8825, RMS=4.2634
  Col 50: Mean=-0.0748, Std=2.8035, Min=-9.6236, Max=22.4271, RMS=2.8045
  Col 51: Mean=0.0244, Std=2.2290, Min=-12.8993, Max=11.8639, RMS=2.2291
  Col 52: Mean=0.0413, Std=7.3755, Min=-22.2595, Max=30.4289, RMS=7.3756
  Col 53: Mean=-0.0876, Std=4.0276, Min=-19.4301, Max=17.6401, RMS=4.0286
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0166, Std=1.6597, Min=-7.2083, Max=11.6328, RMS=1.6598
  Col 58: Mean=0.0143, Std=3.0878, Min=-14.0715, Max=13.2906, RMS=3.0879
  Col 59: Mean=-0.0154, Std=3.9311, Min=-23.3453, Max=36.2634, RMS=3.9312
  Col 60: Mean=-0.0350, Std=1.5756, Min=-12.0114, Max=7.2336, RMS=1.5760
  Col 61: Mean=0.0100, Std=4.9308, Min=-23.2532, Max=32.6993, RMS=4.9308
  Col 62: Mean=-0.0615, Std=3.6392, Min=-25.0593, Max=40.2017, RMS=3.6397
  Col 63: Mean=-0.0193, Std=1.5036, Min=-9.0352, Max=8.7792, RMS=1.5037
  Col 64: Mean=0.0521, Std=7.2488, Min=-24.8026, Max=34.7756, RMS=7.2489
  Col 65: Mean=-0.0560, Std=3.7967, Min=-14.6226, Max=23.2238, RMS=3.7971
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=26.2633, Std=10.3353, Min=6.2636, Max=51.9690, RMS=28.2237
  Col 1: Mean=-76.0705, Std=1.8869, Min=-80.4220, Max=-71.3141, RMS=76.0939
  Col 2: Mean=62.3650, Std=10.1401, Min=33.2069, Max=88.9447, RMS=63.1840
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-16.7594, Std=5.2940, Min=-26.6504, Max=-5.1990, RMS=17.5756
  Col 13: Mean=-69.7613, Std=2.6069, Min=-75.4573, Max=-64.8914, RMS=69.8100
  Col 14: Mean=-72.7105, Std=5.7977, Min=-83.4030, Max=-59.3636, RMS=72.9412
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=116.8294, Std=4.4514, Min=108.7474, Max=125.6479, RMS=116.9142
  Col 19: Mean=-3.6271, Std=1.1727, Min=-6.5486, Max=-1.6213, RMS=3.8120
  Col 20: Mean=1.5453, Std=3.1380, Min=-2.2896, Max=8.9079, RMS=3.4979
  Col 21: Mean=52.6465, Std=2.6986, Min=45.6646, Max=57.3656, RMS=52.7156
  Col 22: Mean=-1.8890, Std=1.3912, Min=-5.9052, Max=1.3829, RMS=2.3460
  Col 23: Mean=-3.1236, Std=3.5145, Min=-9.1886, Max=5.5813, RMS=4.7020
  Col 24: Mean=47.9206, Std=32.1763, Min=17.9307, Max=179.5641, RMS=57.7209
  Col 25: Mean=-75.5849, Std=15.2573, Min=-81.5727, Max=-6.2175, RMS=77.1094
  Col 26: Mean=146.2662, Std=15.9974, Min=107.9969, Max=179.6587, RMS=147.1384
  Col 27: Mean=-51.5578, Std=7.6653, Min=-82.1953, Max=-30.8340, RMS=52.1245
  Col 28: Mean=-73.3226, Std=4.0034, Min=-83.9529, Max=-64.9552, RMS=73.4318
  Col 29: Mean=-100.7997, Std=4.8663, Min=-109.7989, Max=-82.1567, RMS=100.9171
  Col 30: Mean=73.1346, Std=4.7158, Min=62.9019, Max=86.5586, RMS=73.2865
  Col 31: Mean=-25.2650, Std=3.8054, Min=-32.8898, Max=-16.9419, RMS=25.5500
  Col 32: Mean=138.7441, Std=8.2532, Min=118.1363, Max=155.1138, RMS=138.9893
  Col 33: Mean=50.1664, Std=2.8268, Min=43.3413, Max=54.8253, RMS=50.2460
  Col 34: Mean=0.5025, Std=1.5384, Min=-3.7999, Max=3.9123, RMS=1.6184
  Col 35: Mean=-17.4385, Std=3.6461, Min=-23.0671, Max=-8.3819, RMS=17.8156
  Col 36: Mean=-39.3951, Std=24.9010, Min=-85.0093, Max=29.6571, RMS=46.6050
  Col 37: Mean=-80.7970, Std=4.3031, Min=-88.8383, Max=-70.0659, RMS=80.9115
  Col 38: Mean=32.1443, Std=27.9800, Min=-42.5254, Max=80.8255, RMS=42.6161
  Col 39: Mean=45.1528, Std=46.1899, Min=-97.7469, Max=83.3385, RMS=64.5932
  Col 40: Mean=-78.9757, Std=5.6025, Min=-88.0908, Max=-57.9399, RMS=79.1742
  Col 41: Mean=-67.4532, Std=50.3762, Min=-112.4873, Max=85.7047, RMS=84.1884
  Col 42: Mean=89.7075, Std=5.5414, Min=73.6523, Max=102.5292, RMS=89.8784
  Col 43: Mean=1.6108, Std=6.8676, Min=-14.5191, Max=17.5969, RMS=7.0540
  Col 44: Mean=-128.8963, Std=9.5289, Min=-148.8838, Max=-111.2379, RMS=129.2480
  Col 45: Mean=-101.7951, Std=86.0111, Min=-179.9934, Max=179.8505, RMS=133.2672
