--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Vito/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0079, Std=2.2211, Min=-15.2372, Max=12.0953, RMS=2.2211
  Col 1: Mean=0.0003, Std=3.0866, Min=-21.0370, Max=7.6235, RMS=3.0866
  Col 2: Mean=-0.0260, Std=3.0622, Min=-9.9781, Max=19.2086, RMS=3.0623
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0201, Std=0.9512, Min=-4.5626, Max=3.1076, RMS=0.9514
  Col 13: Mean=0.0216, Std=1.5196, Min=-6.0215, Max=4.6000, RMS=1.5198
  Col 14: Mean=-0.0175, Std=2.2438, Min=-4.8699, Max=10.3278, RMS=2.2438
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0332, Std=0.8661, Min=-3.4533, Max=2.9801, RMS=0.8667
  Col 19: Mean=0.0306, Std=1.3330, Min=-4.0307, Max=4.3495, RMS=1.3334
  Col 20: Mean=-0.0119, Std=2.4617, Min=-4.4169, Max=18.7921, RMS=2.4617
  Col 21: Mean=-0.0206, Std=1.1144, Min=-7.2131, Max=5.2710, RMS=1.1146
  Col 22: Mean=0.0170, Std=1.6219, Min=-5.2403, Max=6.0683, RMS=1.6220
  Col 23: Mean=-0.0161, Std=2.4770, Min=-4.6680, Max=15.6883, RMS=2.4771
  Col 24: Mean=-0.0102, Std=1.1176, Min=-7.0866, Max=4.9039, RMS=1.1177
  Col 25: Mean=-0.0011, Std=2.1327, Min=-10.3550, Max=4.1614, RMS=2.1327
  Col 26: Mean=-0.3095, Std=2.5830, Min=-9.8127, Max=9.2665, RMS=2.6015
  Col 27: Mean=0.0069, Std=1.3064, Min=-5.4088, Max=4.2019, RMS=1.3064
  Col 28: Mean=0.0587, Std=2.6290, Min=-8.9914, Max=6.6809, RMS=2.6296
  Col 29: Mean=-0.0195, Std=2.2330, Min=-4.9362, Max=14.2518, RMS=2.2331
  Col 30: Mean=-0.0015, Std=1.7246, Min=-5.2730, Max=6.9707, RMS=1.7246
  Col 31: Mean=0.0861, Std=3.0338, Min=-8.7899, Max=7.5899, RMS=3.0350
  Col 32: Mean=-0.0233, Std=2.2568, Min=-5.3098, Max=11.1123, RMS=2.2570
  Col 33: Mean=-0.0238, Std=1.2397, Min=-6.6005, Max=5.7769, RMS=1.2399
  Col 34: Mean=0.0167, Std=1.7603, Min=-7.5948, Max=5.7391, RMS=1.7604
  Col 35: Mean=-0.0177, Std=2.5281, Min=-4.9788, Max=15.9238, RMS=2.5282
  Col 36: Mean=-0.0171, Std=1.1901, Min=-4.1626, Max=6.0801, RMS=1.1902
  Col 37: Mean=0.0100, Std=2.4059, Min=-7.8305, Max=5.5870, RMS=2.4060
  Col 38: Mean=-0.0334, Std=1.9480, Min=-4.4834, Max=8.2257, RMS=1.9483
  Col 39: Mean=-0.0479, Std=1.2923, Min=-5.5613, Max=3.2467, RMS=1.2932
  Col 40: Mean=0.0167, Std=4.9945, Min=-13.4055, Max=13.6621, RMS=4.9945
  Col 41: Mean=-0.0493, Std=2.6849, Min=-10.2005, Max=10.7628, RMS=2.6854
  Col 42: Mean=-0.0453, Std=1.8493, Min=-6.0621, Max=4.6070, RMS=1.8499
  Col 43: Mean=0.0224, Std=5.9750, Min=-15.1633, Max=17.0938, RMS=5.9751
  Col 44: Mean=-0.0642, Std=3.1476, Min=-11.4253, Max=9.0231, RMS=3.1482
  Col 45: Mean=-0.0366, Std=3.3207, Min=-13.3739, Max=17.8601, RMS=3.3209
  Col 46: Mean=0.0074, Std=5.5611, Min=-33.3589, Max=18.5214, RMS=5.5611
  Col 47: Mean=-0.0474, Std=6.2617, Min=-20.5247, Max=49.5820, RMS=6.2619
  Col 48: Mean=-0.0213, Std=4.0665, Min=-24.5152, Max=19.1511, RMS=4.0665
  Col 49: Mean=0.0530, Std=9.1880, Min=-48.1265, Max=35.9012, RMS=9.1882
  Col 50: Mean=-0.1799, Std=6.0094, Min=-30.6475, Max=41.8358, RMS=6.0121
  Col 51: Mean=0.0376, Std=3.4374, Min=-16.0718, Max=29.9379, RMS=3.4376
  Col 52: Mean=0.1009, Std=13.9099, Min=-61.4760, Max=62.5004, RMS=13.9102
  Col 53: Mean=-0.1918, Std=7.4492, Min=-47.1627, Max=28.9384, RMS=7.4516
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0134, Std=3.0966, Min=-12.8871, Max=16.9964, RMS=3.0966
  Col 58: Mean=0.0200, Std=7.1064, Min=-66.2081, Max=43.9369, RMS=7.1065
  Col 59: Mean=-0.0398, Std=6.8233, Min=-33.3222, Max=67.6902, RMS=6.8234
  Col 60: Mean=-0.0844, Std=3.8210, Min=-24.1391, Max=21.8278, RMS=3.8219
  Col 61: Mean=0.0585, Std=9.3108, Min=-59.0756, Max=52.4611, RMS=9.3110
  Col 62: Mean=-0.1617, Std=6.3328, Min=-28.8172, Max=48.1735, RMS=6.3349
  Col 63: Mean=-0.0302, Std=3.0397, Min=-16.9399, Max=17.1185, RMS=3.0398
  Col 64: Mean=0.1340, Std=13.1402, Min=-45.9886, Max=65.2727, RMS=13.1409
  Col 65: Mean=-0.0932, Std=8.3721, Min=-38.7348, Max=60.3261, RMS=8.3726
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=24.6125, Std=11.8650, Min=-2.2083, Max=50.1470, RMS=27.3231
  Col 1: Mean=-74.1835, Std=3.9177, Min=-84.0056, Max=-65.5073, RMS=74.2869
  Col 2: Mean=66.5518, Std=13.8148, Min=34.2617, Max=91.8449, RMS=67.9705
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
