--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Vito/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0360, Std=2.2356, Min=-12.7645, Max=8.4571, RMS=2.2359
  Col 1: Mean=0.0075, Std=2.4304, Min=-21.9846, Max=18.9312, RMS=2.4304
  Col 2: Mean=-0.0148, Std=4.4786, Min=-9.4031, Max=30.5391, RMS=4.4786
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0039, Std=1.1126, Min=-7.0784, Max=3.7805, RMS=1.1127
  Col 13: Mean=0.0007, Std=0.8473, Min=-2.5763, Max=3.8886, RMS=0.8473
  Col 14: Mean=-0.3852, Std=4.3424, Min=-9.4441, Max=16.7077, RMS=4.3594
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0161, Std=0.8938, Min=-2.2451, Max=4.3493, RMS=0.8940
