--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Vito/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0067, Std=1.5829, Min=-5.3099, Max=4.3685, RMS=1.5829
  Col 1: Mean=0.0003, Std=1.2758, Min=-5.2695, Max=3.8201, RMS=1.2758
  Col 2: Mean=-0.0039, Std=2.5966, Min=-8.2121, Max=13.5254, RMS=2.5966
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0063, Std=0.8876, Min=-2.1969, Max=3.4729, RMS=0.8876
  Col 13: Mean=-0.0003, Std=0.9269, Min=-3.2594, Max=3.0338, RMS=0.9269
  Col 14: Mean=-0.0032, Std=2.4767, Min=-5.6812, Max=7.6191, RMS=2.4767
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0062, Std=0.7284, Min=-1.5723, Max=2.4921, RMS=0.7285
  Col 19: Mean=-0.0030, Std=0.9927, Min=-2.4775, Max=3.5775, RMS=0.9927
  Col 20: Mean=-0.0017, Std=2.2828, Min=-5.5855, Max=9.0347, RMS=2.2828
  Col 21: Mean=0.0027, Std=1.1099, Min=-3.3277, Max=5.8110, RMS=1.1099
  Col 22: Mean=0.0002, Std=1.0368, Min=-3.0566, Max=2.6920, RMS=1.0368
  Col 23: Mean=-0.0033, Std=1.9221, Min=-3.9083, Max=7.1020, RMS=1.9221
  Col 24: Mean=-0.0025, Std=1.7658, Min=-5.7611, Max=8.1851, RMS=1.7658
  Col 25: Mean=-0.0038, Std=0.9401, Min=-3.2316, Max=2.9340, RMS=0.9402
  Col 26: Mean=-0.0050, Std=2.0953, Min=-4.7428, Max=7.6819, RMS=2.0953
  Col 27: Mean=0.0018, Std=2.7200, Min=-10.5108, Max=9.7740, RMS=2.7200
  Col 28: Mean=0.0176, Std=1.2832, Min=-2.8198, Max=10.3964, RMS=1.2834
  Col 29: Mean=-0.0061, Std=2.0001, Min=-7.4362, Max=7.3118, RMS=2.0001
  Col 30: Mean=0.0019, Std=3.1816, Min=-13.0450, Max=12.2425, RMS=3.1816
  Col 31: Mean=0.0232, Std=1.6912, Min=-5.2368, Max=6.8550, RMS=1.6914
  Col 32: Mean=-0.0074, Std=1.9777, Min=-4.9122, Max=7.4356, RMS=1.9777
  Col 33: Mean=0.0054, Std=1.0884, Min=-3.0608, Max=5.3625, RMS=1.0884
  Col 34: Mean=-0.0005, Std=0.9887, Min=-3.4352, Max=2.4526, RMS=0.9887
  Col 35: Mean=-0.0017, Std=1.9424, Min=-3.9165, Max=7.3637, RMS=1.9424
  Col 36: Mean=0.0153, Std=2.2514, Min=-9.1683, Max=7.3509, RMS=2.2514
  Col 37: Mean=0.0032, Std=1.3194, Min=-5.0812, Max=5.6549, RMS=1.3194
  Col 38: Mean=-0.0113, Std=2.0226, Min=-5.1995, Max=7.9082, RMS=2.0226
  Col 39: Mean=0.0377, Std=5.7450, Min=-15.6261, Max=22.3441, RMS=5.7451
  Col 40: Mean=-0.0371, Std=1.2572, Min=-5.5497, Max=6.6833, RMS=1.2577
  Col 41: Mean=-0.0280, Std=3.5649, Min=-21.9631, Max=17.6018, RMS=3.5650
  Col 42: Mean=0.0120, Std=7.1819, Min=-21.9071, Max=28.3167, RMS=7.1819
  Col 43: Mean=-0.0397, Std=1.8324, Min=-8.9440, Max=6.0604, RMS=1.8328
  Col 44: Mean=-0.0459, Std=4.7605, Min=-26.6447, Max=22.2429, RMS=4.7607
  Col 45: Mean=-0.0043, Std=5.4366, Min=-28.9337, Max=29.5085, RMS=5.4366
  Col 46: Mean=-0.0156, Std=2.4180, Min=-14.2042, Max=9.6135, RMS=2.4180
  Col 47: Mean=-0.0163, Std=4.2509, Min=-17.5106, Max=22.4089, RMS=4.2509
  Col 48: Mean=-0.1105, Std=7.9149, Min=-43.5401, Max=68.2290, RMS=7.9157
  Col 49: Mean=0.0120, Std=3.6821, Min=-16.9789, Max=26.7250, RMS=3.6821
  Col 50: Mean=-0.0917, Std=6.5526, Min=-33.5324, Max=36.0126, RMS=6.5532
  Col 51: Mean=-0.2128, Std=11.2749, Min=-33.3106, Max=91.9465, RMS=11.2769
  Col 52: Mean=-0.0404, Std=6.4908, Min=-41.6875, Max=57.4669, RMS=6.4910
  Col 53: Mean=-0.2336, Std=10.8503, Min=-48.0091, Max=85.2477, RMS=10.8528
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0039, Std=5.5842, Min=-23.9936, Max=21.2782, RMS=5.5842
  Col 58: Mean=0.0004, Std=2.3807, Min=-11.1677, Max=11.6281, RMS=2.3807
  Col 59: Mean=-0.0174, Std=4.5137, Min=-21.4895, Max=30.0037, RMS=4.5138
  Col 60: Mean=-0.2135, Std=7.4337, Min=-30.4585, Max=74.5980, RMS=7.4368
  Col 61: Mean=-0.1235, Std=4.2380, Min=-39.2259, Max=21.6108, RMS=4.2398
  Col 62: Mean=-0.0097, Std=8.3312, Min=-56.7825, Max=69.6411, RMS=8.3312
  Col 63: Mean=-0.4150, Std=11.4975, Min=-31.3926, Max=103.2055, RMS=11.5050
  Col 64: Mean=-0.0092, Std=4.3801, Min=-42.9388, Max=27.3335, RMS=4.3801
  Col 65: Mean=-0.2132, Std=11.3159, Min=-61.7363, Max=79.7271, RMS=11.3180
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=21.7475, Std=9.6049, Min=-1.0239, Max=41.6147, RMS=23.7741
  Col 1: Mean=-75.5945, Std=2.4431, Min=-80.6038, Max=-68.1843, RMS=75.6339
  Col 2: Mean=153.1148, Std=10.1494, Min=127.2077, Max=176.3250, RMS=153.4508
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-39.7166, Std=24.0899, Min=-96.5773, Max=-6.1253, RMS=46.4514
  Col 13: Mean=-79.6742, Std=4.8109, Min=-86.7978, Max=-72.1117, RMS=79.8193
  Col 14: Mean=40.7524, Std=25.7803, Min=6.1602, Max=105.1630, RMS=48.2223
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=116.0257, Std=8.9781, Min=103.6153, Max=132.8685, RMS=116.3726
  Col 19: Mean=-4.4703, Std=1.9452, Min=-7.3185, Max=1.2415, RMS=4.8752
  Col 20: Mean=92.1549, Std=3.7259, Min=82.9835, Max=100.7195, RMS=92.2302
  Col 21: Mean=45.8721, Std=5.5049, Min=36.8480, Max=54.3367, RMS=46.2013
  Col 22: Mean=-2.8330, Std=2.9712, Min=-9.0911, Max=5.6525, RMS=4.1054
  Col 23: Mean=90.3810, Std=4.6797, Min=79.8853, Max=102.0666, RMS=90.5021
  Col 24: Mean=52.0591, Std=18.5465, Min=15.6850, Max=84.3249, RMS=55.2642
  Col 25: Mean=-71.4564, Std=6.8787, Min=-80.1373, Max=-55.7255, RMS=71.7867
  Col 26: Mean=-132.2087, Std=19.9070, Min=-167.2276, Max=-96.9361, RMS=133.6990
  Col 27: Mean=-50.9094, Std=49.0202, Min=-178.6966, Max=177.9294, RMS=70.6736
  Col 28: Mean=-75.7446, Std=6.4777, Min=-89.7523, Max=-53.0430, RMS=76.0211
  Col 29: Mean=-3.7664, Std=37.4482, Min=-157.6795, Max=178.3678, RMS=37.6371
  Col 30: Mean=74.5897, Std=7.0839, Min=41.9748, Max=95.9141, RMS=74.9253
  Col 31: Mean=-24.2452, Std=6.1019, Min=-49.2840, Max=-4.7598, RMS=25.0012
